N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002247 	 1.0008512 	 1.1028 	 0.986 	 7.112
0.0220558 	 1.1833080 	 12.0443 	 0.960 	 35.131
0.0428436 	 1.2257950 	 22.6168 	 0.999 	 47.979
0.0625716 	 1.3034595 	 32.9937 	 1.006 	 51.548
0.0812882 	 1.3960688 	 43.4174 	 1.008 	 52.650
0.0990837 	 1.4966224 	 53.9612 	 1.010 	 53.138
0.1160521 	 1.6044469 	 64.5079 	 1.012 	 53.375
0.1322238 	 1.7184853 	 75.1439 	 1.013 	 53.468
0.1476636 	 1.8363107 	 85.6373 	 1.014 	 53.588
0.1624208 	 1.9616000 	 95.9848 	 1.016 	 53.553
0.1765445 	 2.0917711 	 105.9772 	 1.019 	 53.543
0.1900664 	 2.2269262 	 116.3396 	 1.021 	 53.534
0.2030378 	 2.3655636 	 127.3733 	 1.024 	 53.499
0.2154930 	 2.5084230 	 136.8532 	 1.025 	 53.473
0.2274577 	 2.6571529 	 146.6945 	 1.027 	 53.494
0.2389680 	 2.8083840 	 156.8838 	 1.029 	 53.459
0.2500436 	 2.9651551 	 167.1972 	 1.031 	 53.440
0.2607232 	 3.1262095 	 176.2699 	 1.033 	 53.454
0.2710137 	 3.2909789 	 186.6571 	 1.034 	 53.414
0.2809431 	 3.4603533 	 197.0920 	 1.037 	 53.420
0.2905342 	 3.6336660 	 209.1463 	 1.038 	 53.411
0.2998113 	 3.8102993 	 217.1493 	 1.040 	 53.357
0.3087774 	 3.9926626 	 227.9589 	 1.042 	 53.374
0.3174573 	 4.1787390 	 239.0343 	 1.045 	 53.359
0.3258568 	 4.3700676 	 248.8151 	 1.047 	 53.348
0.3339992 	 4.5630940 	 260.0939 	 1.048 	 53.327
0.3418936 	 4.7589238 	 269.4954 	 1.050 	 53.296
0.3495520 	 4.9634296 	 277.6920 	 1.052 	 53.298
0.3569852 	 5.1679020 	 288.6246 	 1.055 	 53.284
0.3641947 	 5.3786615 	 300.9902 	 1.056 	 53.282
0.3712030 	 5.5927674 	 311.3875 	 1.057 	 53.258
0.3780158 	 5.8124880 	 322.0262 	 1.060 	 53.255
0.3846412 	 6.0330907 	 335.3063 	 1.062 	 53.248
0.3910836 	 6.2580111 	 347.3981 	 1.064 	 53.211
0.3973601 	 6.4884431 	 356.4794 	 1.065 	 53.209
0.4034694 	 6.7226404 	 367.5071 	 1.067 	 53.183
0.4094162 	 6.9622064 	 379.4029 	 1.068 	 53.192
0.4152140 	 7.2012467 	 388.7417 	 1.070 	 53.166
0.4208609 	 7.4491927 	 399.7965 	 1.071 	 53.162
0.4263746 	 7.6967715 	 412.0872 	 1.073 	 53.135
0.4317506 	 7.9491847 	 423.3957 	 1.074 	 53.114
0.4369979 	 8.2048629 	 435.6979 	 1.076 	 53.117
0.4421214 	 8.4681685 	 445.3403 	 1.077 	 53.100
0.4471217 	 8.7321100 	 459.8934 	 1.078 	 53.096
0.4520079 	 9.0033416 	 468.1552 	 1.079 	 53.093
0.4567849 	 9.2740937 	 481.8286 	 1.080 	 53.079
0.4614497 	 9.5476335 	 490.4344 	 1.081 	 53.049
0.4660111 	 9.8264415 	 505.8106 	 1.081 	 53.030
0.4704738 	 10.1137290 	 515.2028 	 1.083 	 53.040
0.4748411 	 10.3982365 	 525.9273 	 1.085 	 53.024
0.4791140 	 10.6860434 	 537.3723 	 1.085 	 52.999
0.4832959 	 10.9821951 	 546.9760 	 1.086 	 52.972
0.4873895 	 11.2829815 	 558.3145 	 1.088 	 52.974
0.4914018 	 11.5823636 	 567.5184 	 1.088 	 52.967
0.4953300 	 11.8930297 	 577.8061 	 1.089 	 52.968
0.4991796 	 12.2004496 	 587.7239 	 1.088 	 52.951
0.5029492 	 12.5185318 	 598.3025 	 1.089 	 52.946
0.5066473 	 12.8353806 	 611.9814 	 1.090 	 52.945
0.5102743 	 13.1493488 	 624.6048 	 1.090 	 52.930
0.5138246 	 13.4727610 	 637.2720 	 1.089 	 52.915
0.5173097 	 13.8065816 	 653.0890 	 1.090 	 52.905
0.5207305 	 14.1407569 	 666.3303 	 1.090 	 52.867
0.5240865 	 14.4785123 	 673.0226 	 1.091 	 52.886
0.5273780 	 14.8182582 	 690.5214 	 1.091 	 52.872
0.5306105 	 15.1661251 	 707.4490 	 1.091 	 52.879
0.5337842 	 15.5150112 	 719.6951 	 1.091 	 52.871
0.5369011 	 15.8590851 	 737.3588 	 1.091 	 52.847
0.5399633 	 16.2188816 	 754.5607 	 1.090 	 52.851
0.5429681 	 16.5780618 	 776.0701 	 1.088 	 52.848
0.5459207 	 16.9452750 	 809.0065 	 1.088 	 52.832
0.5488226 	 17.3228978 	 839.7424 	 1.089 	 52.854
0.5516745 	 17.6922895 	 887.9814 	 1.087 	 52.825
0.5544750 	 18.0624333 	 948.1038 	 1.088 	 52.800
0.5572278 	 18.4567374 	 1038.6197 	 1.086 	 52.819
0.5599326 	 18.8494557 	 1158.5069 	 1.087 	 52.807
0.5625916 	 19.2436692 	 1351.0697 	 1.086 	 52.794
0.5652051 	 19.6465718 	 1603.2922 	 1.085 	 52.801
0.5677714 	 20.0538102 	 2024.7338 	 1.084 	 52.795
0.5702956 	 20.4738363 	 2710.8903 	 1.083 	 52.787
0.5727766 	 20.8989223 	 3829.6673 	 1.082 	 52.796
0.5752158 	 21.3294372 	 5726.8882 	 1.082 	 52.761
0.5776124 	 21.7826921 	 8841.2177 	 1.081 	 52.780
0.5799690 	 22.2305835 	 14167.4922 	 1.079 	 52.790
0.5822836 	 22.7207158 	 21994.1532 	 1.080 	 52.815
0.5845540 	 23.2058598 	 33657.3662 	 1.080 	 52.775
0.5867832 	 23.7197147 	 51370.2480 	 1.081 	 52.764
0.5889692 	 24.2747150 	 74278.2014 	 1.083 	 52.766
0.5911088 	 24.8583296 	 101511.4338 	 1.085 	 52.781
0.5932030 	 25.4902822 	 134247.4831 	 1.087 	 52.800
0.5952515 	 26.1496838 	 169913.6699 	 1.090 	 52.773
0.5972506 	 26.8589027 	 206791.7700 	 1.094 	 52.781
0.5992013 	 27.6197118 	 242686.6813 	 1.099 	 52.793
0.6011021 	 28.3978870 	 279007.8058 	 1.103 	 52.788
0.6029535 	 29.2325496 	 313068.2805 	 1.107 	 52.792
0.6047540 	 30.1063861 	 344592.2818 	 1.112 	 52.816
0.6065068 	 30.9863234 	 376190.3260 	 1.116 	 52.814
0.6082109 	 31.9152898 	 400046.1334 	 1.118 	 52.827
0.6098702 	 32.8914529 	 416487.0354 	 1.123 	 52.873
0.6114841 	 33.8605244 	 427818.4664 	 1.125 	 52.906
0.6130545 	 34.8594185 	 435921.9839 	 1.128 	 52.924
0.6145836 	 35.8567894 	 433986.3270 	 1.130 	 52.946
0.6160712 	 36.8760406 	 425063.7428 	 1.132 	 52.971
0.6175213 	 37.8903365 	 416842.7512 	 1.135 	 52.980
0.6189349 	 38.9370904 	 404323.2342 	 1.136 	 52.996
0.6203118 	 40.0081632 	 395194.3953 	 1.139 	 53.031
0.6216539 	 41.1253963 	 390548.6251 	 1.143 	 53.037
0.6229604 	 42.2773338 	 390162.2131 	 1.145 	 53.040
0.6242332 	 43.4885879 	 396044.4845 	 1.149 	 53.013
0.6254718 	 44.7817096 	 406732.5415 	 1.153 	 53.031
0.6266742 	 46.1470425 	 421166.6554 	 1.157 	 53.032
0.6278454 	 47.5378416 	 437366.8095 	 1.160 	 52.989
0.6289823 	 49.0336399 	 458325.7810 	 1.165 	 53.008
