N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002268 	 1.0008652 	 1.1026 	 1.000 	 7.114
0.0220753 	 1.1833203 	 11.9864 	 0.961 	 35.135
0.0428773 	 1.2259851 	 22.6332 	 0.998 	 47.970
0.0625967 	 1.3035830 	 33.1665 	 1.006 	 51.551
0.0812980 	 1.3960653 	 43.6288 	 1.009 	 52.646
0.0991033 	 1.4966050 	 54.2368 	 1.010 	 53.125
0.1160630 	 1.6044976 	 64.5313 	 1.012 	 53.355
0.1322467 	 1.7184449 	 74.5810 	 1.013 	 53.456
0.1476816 	 1.8366907 	 84.7371 	 1.014 	 53.581
0.1624426 	 1.9623493 	 95.2903 	 1.017 	 53.584
0.1765585 	 2.0923356 	 105.9394 	 1.018 	 53.564
0.1900879 	 2.2264031 	 116.7884 	 1.021 	 53.522
0.2030678 	 2.3658991 	 126.2487 	 1.023 	 53.514
0.2155170 	 2.5088379 	 135.7223 	 1.025 	 53.488
0.2274859 	 2.6570865 	 145.7581 	 1.028 	 53.477
0.2390022 	 2.8096157 	 156.7086 	 1.029 	 53.456
0.2500871 	 2.9662675 	 166.4687 	 1.031 	 53.470
0.2607661 	 3.1272466 	 177.0531 	 1.033 	 53.447
0.2710531 	 3.2910770 	 186.3221 	 1.035 	 53.414
0.2809914 	 3.4612461 	 197.1413 	 1.037 	 53.403
0.2905866 	 3.6342469 	 206.2199 	 1.039 	 53.399
0.2998549 	 3.8114011 	 215.9424 	 1.041 	 53.377
0.3088247 	 3.9935208 	 224.4599 	 1.042 	 53.345
0.3175022 	 4.1796442 	 235.4660 	 1.045 	 53.353
0.3259009 	 4.3689834 	 245.6458 	 1.046 	 53.334
0.3340435 	 4.5642384 	 256.1418 	 1.048 	 53.323
0.3419358 	 4.7601012 	 268.2770 	 1.050 	 53.286
0.3495907 	 4.9649115 	 279.4293 	 1.052 	 53.321
0.3570224 	 5.1707026 	 289.8488 	 1.055 	 53.281
0.3642354 	 5.3791884 	 299.7707 	 1.055 	 53.266
0.3712406 	 5.5947358 	 311.2011 	 1.057 	 53.292
0.3780501 	 5.8122561 	 321.5646 	 1.059 	 53.246
0.3846765 	 6.0324881 	 331.4957 	 1.062 	 53.226
0.3911205 	 6.2597306 	 343.5487 	 1.063 	 53.222
0.3973953 	 6.4901456 	 354.2170 	 1.064 	 53.200
0.4035029 	 6.7259605 	 363.7459 	 1.068 	 53.190
0.4094484 	 6.9621227 	 370.7262 	 1.069 	 53.180
0.4152438 	 7.2037876 	 383.2418 	 1.070 	 53.166
0.4208925 	 7.4486947 	 392.8191 	 1.072 	 53.168
0.4264002 	 7.6968212 	 399.3552 	 1.073 	 53.137
0.4317764 	 7.9513846 	 411.9790 	 1.074 	 53.132
