N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002264 	 1.0008531 	 1.1027 	 0.993 	 7.113
0.0220829 	 1.1832182 	 11.9806 	 0.961 	 35.163
0.0428860 	 1.2261412 	 22.4792 	 0.999 	 47.987
0.0625959 	 1.3035509 	 32.9550 	 1.005 	 51.549
0.0813062 	 1.3960260 	 43.2639 	 1.008 	 52.636
0.0991049 	 1.4968685 	 53.9640 	 1.010 	 53.157
0.1160671 	 1.6045071 	 64.0875 	 1.012 	 53.356
0.1322360 	 1.7186318 	 74.7308 	 1.013 	 53.470
0.1476737 	 1.8368495 	 85.1154 	 1.014 	 53.612
0.1624323 	 1.9620453 	 95.2597 	 1.016 	 53.581
0.1765576 	 2.0922880 	 105.5136 	 1.019 	 53.543
0.1900851 	 2.2266544 	 116.3850 	 1.021 	 53.511
0.2030676 	 2.3660135 	 126.3412 	 1.023 	 53.493
0.2155235 	 2.5091458 	 136.5890 	 1.025 	 53.493
0.2274914 	 2.6570894 	 148.0267 	 1.027 	 53.479
0.2390048 	 2.8093654 	 157.1204 	 1.029 	 53.464
0.2500834 	 2.9666435 	 167.8709 	 1.031 	 53.465
0.2607590 	 3.1268618 	 178.1050 	 1.033 	 53.433
0.2710510 	 3.2918388 	 189.4934 	 1.035 	 53.426
0.2809882 	 3.4612634 	 200.7303 	 1.037 	 53.414
0.2905745 	 3.6345184 	 210.6133 	 1.039 	 53.405
0.2998438 	 3.8116418 	 221.2680 	 1.040 	 53.380
0.3088154 	 3.9929307 	 231.4510 	 1.043 	 53.357
0.3174871 	 4.1779853 	 242.0364 	 1.044 	 53.341
0.3258875 	 4.3694054 	 251.5067 	 1.047 	 53.353
0.3340302 	 4.5643639 	 261.1898 	 1.049 	 53.330
0.3419212 	 4.7615864 	 272.6854 	 1.050 	 53.293
0.3495811 	 4.9633994 	 284.0177 	 1.053 	 53.301
0.3570076 	 5.1693681 	 296.4878 	 1.054 	 53.303
0.3642198 	 5.3786941 	 306.3353 	 1.056 	 53.268
0.3712310 	 5.5934805 	 314.3180 	 1.058 	 53.248
0.3780406 	 5.8098032 	 323.8254 	 1.060 	 53.223
0.3846626 	 6.0336083 	 336.8764 	 1.063 	 53.225
0.3911041 	 6.2584497 	 348.4689 	 1.063 	 53.216
0.3973755 	 6.4890102 	 357.6814 	 1.066 	 53.205
0.4034854 	 6.7216074 	 367.6983 	 1.067 	 53.177
0.4094335 	 6.9644278 	 381.5519 	 1.069 	 53.209
0.4152283 	 7.2026137 	 393.1246 	 1.069 	 53.174
0.4208814 	 7.4518705 	 403.3364 	 1.071 	 53.162
0.4263918 	 7.6976124 	 414.6934 	 1.072 	 53.125
0.4317678 	 7.9517382 	 427.3784 	 1.074 	 53.128
0.4370136 	 8.2096372 	 438.8196 	 1.076 	 53.100
0.4421355 	 8.4715937 	 451.3315 	 1.077 	 53.105
0.4471357 	 8.7320254 	 464.2840 	 1.078 	 53.064
0.4520215 	 9.0034720 	 476.0482 	 1.080 	 53.067
0.4567939 	 9.2751687 	 484.8368 	 1.081 	 53.058
0.4614602 	 9.5489919 	 486.8489 	 1.083 	 53.042
0.4660254 	 9.8291293 	 494.7228 	 1.084 	 53.049
0.4704858 	 10.1145293 	 508.9261 	 1.084 	 53.039
0.4748539 	 10.3999818 	 517.0914 	 1.085 	 52.996
0.4791269 	 10.6886844 	 527.9836 	 1.086 	 53.002
0.4833092 	 10.9841181 	 540.3876 	 1.087 	 53.003
0.4874015 	 11.2821156 	 553.7715 	 1.087 	 52.983
0.4914108 	 11.5870745 	 564.2646 	 1.089 	 52.974
0.4953407 	 11.8927496 	 579.5635 	 1.090 	 52.965
0.4991886 	 12.2000239 	 589.7430 	 1.090 	 52.975
0.5029606 	 12.5138433 	 596.8768 	 1.091 	 52.939
0.5066563 	 12.8342451 	 602.2701 	 1.090 	 52.931
0.5102834 	 13.1534524 	 609.3124 	 1.091 	 52.938
0.5138360 	 13.4785604 	 618.5924 	 1.091 	 52.914
0.5173239 	 13.8088146 	 630.2930 	 1.091 	 52.900
0.5207424 	 14.1374991 	 642.2359 	 1.090 	 52.893
0.5240977 	 14.4800728 	 656.7208 	 1.090 	 52.896
0.5273921 	 14.8146980 	 674.0720 	 1.090 	 52.863
0.5306246 	 15.1631553 	 682.7123 	 1.091 	 52.868
0.5337960 	 15.5080189 	 696.8266 	 1.090 	 52.867
0.5369128 	 15.8676909 	 717.8268 	 1.090 	 52.859
0.5399732 	 16.2210733 	 743.6883 	 1.090 	 52.852
0.5429786 	 16.5807677 	 770.2421 	 1.089 	 52.862
0.5459298 	 16.9391542 	 805.4261 	 1.089 	 52.820
0.5488330 	 17.3101433 	 851.3839 	 1.087 	 52.832
0.5516839 	 17.6894257 	 905.8889 	 1.087 	 52.849
0.5544865 	 18.0638761 	 998.6031 	 1.087 	 52.815
0.5572423 	 18.4385879 	 1114.6596 	 1.085 	 52.779
0.5599488 	 18.8291860 	 1273.7845 	 1.082 	 52.790
0.5626102 	 19.2243774 	 1543.1219 	 1.080 	 52.809
0.5652267 	 19.6382195 	 1974.5035 	 1.080 	 52.794
0.5677972 	 20.0472012 	 2584.9695 	 1.078 	 52.779
0.5703236 	 20.4636524 	 3509.8596 	 1.075 	 52.768
0.5728069 	 20.8903491 	 4899.7887 	 1.074 	 52.782
0.5752462 	 21.3356630 	 6678.4357 	 1.072 	 52.770
0.5776426 	 21.7763945 	 9070.4893 	 1.071 	 52.757
0.5799965 	 22.2618284 	 12094.4472 	 1.070 	 52.761
0.5823063 	 22.7604427 	 15745.3676 	 1.068 	 52.745
0.5845698 	 23.2740723 	 19798.4378 	 1.070 	 52.743
0.5867889 	 23.8172535 	 24368.5874 	 1.071 	 52.745
0.5889641 	 24.3862425 	 29939.2811 	 1.072 	 52.744
0.5910963 	 24.9895254 	 36971.4784 	 1.076 	 52.752
0.5931800 	 25.6220073 	 45748.5702 	 1.081 	 52.750
0.5952162 	 26.2967139 	 56443.0945 	 1.085 	 52.749
0.5972040 	 26.9915993 	 69351.5566 	 1.091 	 52.749
0.5991448 	 27.7191211 	 82416.9113 	 1.095 	 52.752
0.6010372 	 28.4819506 	 97596.8431 	 1.101 	 52.752
0.6028843 	 29.3014451 	 110978.5459 	 1.105 	 52.760
0.6046813 	 30.1310529 	 124182.9941 	 1.108 	 52.751
0.6064326 	 31.0025108 	 135897.4003 	 1.113 	 52.740
0.6081356 	 31.9037195 	 144696.5112 	 1.116 	 52.726
0.6097971 	 32.8402177 	 151217.0822 	 1.117 	 52.701
0.6114120 	 33.8255732 	 154876.5709 	 1.118 	 52.722
0.6129831 	 34.8386469 	 154289.9612 	 1.117 	 52.705
0.6145106 	 35.8610532 	 154106.2447 	 1.115 	 52.710
0.6159981 	 36.9095984 	 152220.2662 	 1.110 	 52.684
0.6174458 	 37.9512857 	 153043.5224 	 1.103 	 52.686
0.6188548 	 39.0014625 	 161996.9371 	 1.092 	 52.686
0.6202296 	 40.0418747 	 184537.4096 	 1.079 	 52.734
0.6215708 	 41.1023157 	 225178.5169 	 1.064 	 52.745
0.6228804 	 42.1091851 	 290424.6400 	 1.047 	 52.740
0.6241607 	 43.1710263 	 375268.1592 	 1.031 	 52.757
0.6254109 	 44.2930831 	 476440.2860 	 1.016 	 52.794
0.6266306 	 45.4981288 	 578120.6360 	 1.004 	 52.826
0.6278193 	 46.7590503 	 671741.3515 	 0.996 	 52.802
0.6289769 	 48.1218914 	 749938.6437 	 0.990 	 52.812
