N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002269 	 1.0008540 	 1.1028 	 0.981 	 7.113
0.0220584 	 1.1832634 	 12.0076 	 0.960 	 35.104
0.0428598 	 1.2259299 	 22.4849 	 0.998 	 47.970
0.0625857 	 1.3035269 	 32.8722 	 1.007 	 51.554
0.0812976 	 1.3960571 	 43.3550 	 1.007 	 52.632
0.0990876 	 1.4965355 	 53.6723 	 1.010 	 53.118
0.1160543 	 1.6046424 	 64.3955 	 1.011 	 53.377
0.1322247 	 1.7182826 	 74.4915 	 1.013 	 53.473
0.1476735 	 1.8366226 	 84.6612 	 1.014 	 53.604
0.1624375 	 1.9620517 	 94.8016 	 1.016 	 53.555
0.1765640 	 2.0921081 	 105.4010 	 1.019 	 53.543
0.1900945 	 2.2269538 	 115.5996 	 1.021 	 53.529
0.2030678 	 2.3664303 	 126.3984 	 1.023 	 53.522
0.2155282 	 2.5091172 	 136.9027 	 1.025 	 53.507
0.2275061 	 2.6578737 	 146.4152 	 1.028 	 53.493
0.2390118 	 2.8100404 	 156.7880 	 1.029 	 53.480
0.2500926 	 2.9661286 	 166.4342 	 1.030 	 53.457
0.2607614 	 3.1267299 	 176.9125 	 1.033 	 53.444
0.2710655 	 3.2919867 	 188.0419 	 1.035 	 53.424
0.2809962 	 3.4620827 	 199.2657 	 1.037 	 53.416
0.2905888 	 3.6349637 	 209.3764 	 1.039 	 53.403
0.2998673 	 3.8123858 	 219.7252 	 1.041 	 53.368
0.3088298 	 3.9933839 	 229.2772 	 1.043 	 53.368
0.3175034 	 4.1794716 	 238.7088 	 1.044 	 53.338
0.3259028 	 4.3704079 	 249.4560 	 1.046 	 53.338
0.3340486 	 4.5645172 	 260.2918 	 1.049 	 53.343
0.3419379 	 4.7619536 	 270.0307 	 1.051 	 53.301
0.3495906 	 4.9626849 	 279.5564 	 1.052 	 53.293
0.3570235 	 5.1686933 	 291.1823 	 1.054 	 53.271
0.3642344 	 5.3808923 	 300.8401 	 1.056 	 53.279
0.3712478 	 5.5945253 	 310.2173 	 1.058 	 53.260
0.3780579 	 5.8122902 	 321.4965 	 1.060 	 53.248
0.3846816 	 6.0336673 	 330.3573 	 1.061 	 53.238
0.3911227 	 6.2612721 	 341.1732 	 1.064 	 53.245
0.3973923 	 6.4907634 	 352.3803 	 1.065 	 53.217
0.4035008 	 6.7250419 	 362.6145 	 1.067 	 53.202
0.4094486 	 6.9599770 	 370.9904 	 1.068 	 53.153
0.4152469 	 7.2017331 	 383.3987 	 1.070 	 53.139
0.4208985 	 7.4485290 	 390.3031 	 1.072 	 53.150
0.4264072 	 7.6969754 	 400.0682 	 1.073 	 53.137
0.4317813 	 7.9493392 	 410.4629 	 1.073 	 53.114
0.4370271 	 8.2109105 	 418.7403 	 1.076 	 53.116
0.4421445 	 8.4697828 	 428.2441 	 1.077 	 53.100
0.4471466 	 8.7358750 	 438.7723 	 1.078 	 53.101
0.4520343 	 9.0014290 	 450.5136 	 1.079 	 53.069
0.4568099 	 9.2765875 	 461.9178 	 1.080 	 53.073
0.4614748 	 9.5529750 	 473.8480 	 1.080 	 53.078
0.4660391 	 9.8330296 	 482.9769 	 1.082 	 53.044
0.4705004 	 10.1136387 	 485.7493 	 1.083 	 53.031
0.4748614 	 10.3981243 	 495.4030 	 1.084 	 53.001
0.4791334 	 10.6897430 	 509.1739 	 1.085 	 53.011
0.4833156 	 10.9883826 	 522.4842 	 1.085 	 53.005
0.4874080 	 11.2888897 	 531.7175 	 1.087 	 52.992
0.4914160 	 11.5868394 	 543.8980 	 1.088 	 52.971
0.4953460 	 11.8910939 	 557.6680 	 1.088 	 52.968
0.4991955 	 12.1994295 	 565.5865 	 1.088 	 52.971
0.5029670 	 12.5117330 	 573.8680 	 1.090 	 52.944
0.5066603 	 12.8364192 	 579.9385 	 1.089 	 52.950
0.5102860 	 13.1485537 	 589.7044 	 1.091 	 52.916
0.5138425 	 13.4745668 	 595.2965 	 1.091 	 52.917
0.5173290 	 13.8069627 	 610.3105 	 1.092 	 52.902
0.5207491 	 14.1414478 	 620.3947 	 1.092 	 52.885
0.5241048 	 14.4792371 	 632.7231 	 1.092 	 52.882
0.5273978 	 14.8173448 	 648.5733 	 1.092 	 52.879
0.5306294 	 15.1642551 	 665.0845 	 1.091 	 52.865
0.5338044 	 15.5173887 	 679.1843 	 1.092 	 52.867
0.5369226 	 15.8721499 	 696.8559 	 1.091 	 52.848
0.5399809 	 16.2244177 	 721.0810 	 1.090 	 52.848
0.5429860 	 16.5867045 	 750.9446 	 1.089 	 52.830
0.5459356 	 16.9531549 	 787.6904 	 1.089 	 52.838
0.5488360 	 17.3223872 	 822.2002 	 1.088 	 52.834
0.5516825 	 17.7025313 	 867.0581 	 1.087 	 52.835
0.5544802 	 18.0778497 	 936.2872 	 1.085 	 52.825
0.5572319 	 18.4691032 	 1025.5889 	 1.086 	 52.825
0.5599337 	 18.8631109 	 1149.6988 	 1.084 	 52.796
0.5625880 	 19.2567317 	 1347.7706 	 1.084 	 52.807
0.5651985 	 19.6687730 	 1646.2111 	 1.082 	 52.795
0.5677638 	 20.0847661 	 2039.6952 	 1.081 	 52.771
0.5702845 	 20.5111503 	 2713.3666 	 1.079 	 52.792
0.5727619 	 20.9483172 	 3820.9152 	 1.078 	 52.783
0.5751963 	 21.3839958 	 5546.3495 	 1.074 	 52.808
0.5775880 	 21.8212712 	 8335.5996 	 1.070 	 52.788
0.5799391 	 22.2780206 	 12241.6281 	 1.066 	 52.794
0.5822483 	 22.7288190 	 18475.7710 	 1.060 	 52.806
0.5845194 	 23.1665938 	 27570.8595 	 1.053 	 52.799
0.5867535 	 23.6327450 	 41150.7904 	 1.044 	 52.800
0.5889511 	 24.1095731 	 60930.0410 	 1.034 	 52.811
0.5911127 	 24.5992506 	 89599.9538 	 1.022 	 52.788
0.5932356 	 25.1084866 	 131313.3969 	 1.009 	 52.765
0.5953206 	 25.6414964 	 188215.4058 	 0.994 	 52.742
0.5973664 	 26.2135871 	 258211.3485 	 0.980 	 52.693
0.5993720 	 26.8346918 	 345213.8734 	 0.966 	 52.656
0.6013340 	 27.4949601 	 440937.1978 	 0.953 	 52.613
0.6032525 	 28.1951029 	 539146.8056 	 0.941 	 52.554
0.6051260 	 28.9603131 	 630234.8712 	 0.932 	 52.531
0.6069547 	 29.7708670 	 711088.1203 	 0.925 	 52.469
0.6087358 	 30.6392601 	 779450.2081 	 0.919 	 52.448
0.6104690 	 31.5427316 	 833944.2232 	 0.916 	 52.387
0.6121526 	 32.5218247 	 876679.0523 	 0.913 	 52.378
0.6137887 	 33.5727417 	 906860.4488 	 0.913 	 52.391
0.6153755 	 34.6481701 	 929166.2614 	 0.913 	 52.346
0.6169155 	 35.7743074 	 948674.9551 	 0.914 	 52.346
0.6184095 	 36.9559627 	 962176.4190 	 0.916 	 52.318
0.6198568 	 38.1962194 	 969887.5645 	 0.918 	 52.318
0.6212595 	 39.4643840 	 976198.9528 	 0.920 	 52.289
0.6226184 	 40.8169897 	 981329.2936 	 0.922 	 52.290
0.6239350 	 42.1950939 	 984912.4046 	 0.925 	 52.252
0.6252073 	 43.6349840 	 988234.3769 	 0.927 	 52.247
0.6264390 	 45.1713666 	 990557.8939 	 0.931 	 52.247
0.6276320 	 46.7392303 	 992925.8851 	 0.934 	 52.238
0.6287860 	 48.3870104 	 994396.1673 	 0.936 	 52.232
0.6299010 	 50.0980932 	 995512.7616 	 0.940 	 52.234
