N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002251 	 1.0008561 	 1.1026 	 0.983 	 7.113
0.0220556 	 1.1831690 	 12.0365 	 0.960 	 35.126
0.0428343 	 1.2259084 	 22.5684 	 0.998 	 47.970
0.0625526 	 1.3032632 	 33.0246 	 1.006 	 51.551
0.0812659 	 1.3959194 	 43.5497 	 1.007 	 52.646
0.0990698 	 1.4965683 	 53.6681 	 1.009 	 53.130
0.1160179 	 1.6041510 	 64.1040 	 1.011 	 53.364
0.1321926 	 1.7182025 	 75.3227 	 1.013 	 53.472
0.1476275 	 1.8359574 	 85.9884 	 1.015 	 53.567
0.1623855 	 1.9617237 	 96.1229 	 1.016 	 53.580
0.1765044 	 2.0916396 	 107.5879 	 1.019 	 53.548
0.1900331 	 2.2260984 	 118.3209 	 1.022 	 53.551
0.2030101 	 2.3651954 	 128.4849 	 1.023 	 53.506
0.2154683 	 2.5088966 	 139.2573 	 1.025 	 53.507
0.2274477 	 2.6560255 	 150.6284 	 1.027 	 53.455
0.2389605 	 2.8088361 	 160.0625 	 1.030 	 53.456
0.2500442 	 2.9649305 	 169.9936 	 1.031 	 53.436
0.2607270 	 3.1261808 	 179.5191 	 1.033 	 53.428
0.2710195 	 3.2915688 	 190.8105 	 1.035 	 53.432
0.2809499 	 3.4595268 	 200.3066 	 1.037 	 53.394
0.2905483 	 3.6334542 	 211.3764 	 1.039 	 53.377
0.2998202 	 3.8110668 	 222.0624 	 1.041 	 53.375
0.3087964 	 3.9937010 	 231.7904 	 1.043 	 53.384
0.3174766 	 4.1796108 	 240.2117 	 1.045 	 53.384
0.3258801 	 4.3686867 	 250.5644 	 1.047 	 53.339
0.3340174 	 4.5633600 	 258.4871 	 1.048 	 53.332
0.3419073 	 4.7604470 	 269.6551 	 1.050 	 53.312
0.3495569 	 4.9630970 	 278.6765 	 1.053 	 53.310
0.3569825 	 5.1678286 	 288.1650 	 1.053 	 53.280
0.3641979 	 5.3788645 	 297.5248 	 1.056 	 53.279
0.3712006 	 5.5924618 	 308.4933 	 1.058 	 53.270
0.3780115 	 5.8115290 	 319.7967 	 1.060 	 53.270
0.3846349 	 6.0345400 	 327.9926 	 1.063 	 53.239
0.3910803 	 6.2589512 	 340.0163 	 1.064 	 53.252
0.3973486 	 6.4889886 	 350.2731 	 1.065 	 53.228
0.4034574 	 6.7231868 	 360.5962 	 1.067 	 53.182
0.4094044 	 6.9601295 	 371.0987 	 1.068 	 53.186
0.4152061 	 7.2021867 	 379.8108 	 1.069 	 53.159
0.4208573 	 7.4491470 	 388.7959 	 1.072 	 53.136
0.4263687 	 7.6978859 	 399.6942 	 1.073 	 53.124
0.4317474 	 7.9507031 	 410.0635 	 1.075 	 53.113
0.4369933 	 8.2084244 	 420.3154 	 1.076 	 53.114
0.4421147 	 8.4679412 	 430.0605 	 1.078 	 53.101
0.4471147 	 8.7304032 	 440.3926 	 1.078 	 53.088
0.4520002 	 9.0003228 	 451.4513 	 1.080 	 53.077
0.4567755 	 9.2723017 	 463.7762 	 1.081 	 53.057
0.4614393 	 9.5488720 	 476.5216 	 1.081 	 53.062
0.4660010 	 9.8297003 	 484.1353 	 1.083 	 53.061
0.4704640 	 10.1116899 	 496.1391 	 1.083 	 53.021
0.4748263 	 10.3975003 	 503.5191 	 1.085 	 53.017
0.4791008 	 10.6901519 	 514.5684 	 1.086 	 52.994
0.4832835 	 10.9885621 	 527.6949 	 1.088 	 53.016
0.4873781 	 11.2830121 	 538.9690 	 1.088 	 52.992
0.4913920 	 11.5887346 	 546.4128 	 1.090 	 52.985
0.4953208 	 11.8864557 	 556.5017 	 1.090 	 52.947
0.4991735 	 12.1985374 	 566.0022 	 1.091 	 52.959
0.5029454 	 12.5133031 	 578.3385 	 1.091 	 52.952
0.5066434 	 12.8275093 	 588.6514 	 1.090 	 52.923
0.5102688 	 13.1521779 	 598.0815 	 1.091 	 52.923
0.5138233 	 13.4767725 	 612.2069 	 1.091 	 52.930
0.5173118 	 13.8045539 	 621.8154 	 1.091 	 52.910
0.5207313 	 14.1403488 	 633.6622 	 1.091 	 52.898
0.5240862 	 14.4778733 	 654.0977 	 1.090 	 52.908
0.5273817 	 14.8140082 	 666.4093 	 1.089 	 52.884
0.5306130 	 15.1591304 	 685.1576 	 1.091 	 52.848
0.5337863 	 15.5103016 	 696.8414 	 1.091 	 52.838
0.5369031 	 15.8642913 	 715.2189 	 1.091 	 52.845
0.5399620 	 16.2172693 	 738.4964 	 1.091 	 52.831
0.5429673 	 16.5848323 	 771.1304 	 1.091 	 52.857
0.5459222 	 16.9446743 	 804.4458 	 1.090 	 52.838
0.5488243 	 17.3117096 	 841.3802 	 1.088 	 52.806
0.5516743 	 17.6740206 	 900.0833 	 1.088 	 52.825
0.5544786 	 18.0636878 	 969.2094 	 1.087 	 52.826
0.5572319 	 18.4402389 	 1077.4518 	 1.086 	 52.820
0.5599385 	 18.8193116 	 1238.6968 	 1.084 	 52.790
0.5626021 	 19.2158222 	 1480.6377 	 1.082 	 52.795
0.5652194 	 19.6175877 	 1819.5237 	 1.081 	 52.807
0.5677906 	 20.0311993 	 2379.7082 	 1.079 	 52.760
0.5703198 	 20.4441192 	 3260.5592 	 1.077 	 52.797
0.5728060 	 20.8515249 	 4774.6458 	 1.074 	 52.772
0.5752540 	 21.2578890 	 7768.2174 	 1.070 	 52.760
0.5776634 	 21.6415463 	 14049.3732 	 1.068 	 52.738
0.5800405 	 22.0084182 	 28430.6485 	 1.063 	 52.733
0.5823866 	 22.3430627 	 59705.3385 	 1.058 	 52.721
0.5847092 	 22.6342084 	 120842.8534 	 1.052 	 52.637
0.5870085 	 22.9523426 	 221105.2832 	 1.048 	 52.610
0.5892842 	 23.2716579 	 357681.4130 	 1.045 	 52.524
0.5915311 	 23.6786468 	 509030.5037 	 1.045 	 52.462
0.5937421 	 24.1658983 	 650004.5444 	 1.045 	 52.425
0.5959099 	 24.7573206 	 761757.6424 	 1.047 	 52.365
0.5980315 	 25.4181136 	 844239.5632 	 1.049 	 52.338
0.6000982 	 26.1557334 	 897791.1870 	 1.052 	 52.288
0.6021111 	 26.9425794 	 937205.5854 	 1.055 	 52.258
0.6040666 	 27.7767732 	 960172.1091 	 1.058 	 52.213
0.6059657 	 28.6653708 	 975381.0413 	 1.061 	 52.207
0.6078106 	 29.5900491 	 985185.4924 	 1.064 	 52.159
0.6096000 	 30.5731266 	 991422.4577 	 1.068 	 52.158
0.6113355 	 31.5868778 	 994200.3492 	 1.070 	 52.133
0.6130177 	 32.6484940 	 996689.3542 	 1.074 	 52.119
0.6146468 	 33.7489683 	 998007.1956 	 1.076 	 52.078
0.6162250 	 34.8975806 	 998750.4796 	 1.080 	 52.072
0.6177549 	 36.1027330 	 999460.0893 	 1.081 	 52.058
0.6192363 	 37.3326573 	 999656.0341 	 1.084 	 52.044
0.6206691 	 38.6133482 	 999834.0086 	 1.086 	 52.019
0.6220566 	 39.9584520 	 999916.0026 	 1.087 	 52.022
0.6234000 	 41.3292215 	 999952.0010 	 1.088 	 51.991
0.6247003 	 42.7556862 	 999974.0003 	 1.089 	 51.990
0.6259594 	 44.2222292 	 999996.0000 	 1.089 	 51.957
0.6271779 	 45.7448464 	 1000000.0000 	 1.089 	 51.948
0.6283572 	 47.3258724 	 1000000.0000 	 1.089 	 51.942
0.6294974 	 48.9476973 	 1000000.0000 	 1.087 	 51.910
