N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002269 	 1.0008564 	 1.1025 	 0.998 	 7.113
0.0220711 	 1.1832014 	 12.0375 	 0.960 	 35.175
0.0428597 	 1.2259395 	 22.6101 	 0.998 	 47.983
0.0625900 	 1.3035966 	 33.0475 	 1.006 	 51.552
0.0813185 	 1.3961935 	 43.5160 	 1.008 	 52.631
0.0991095 	 1.4968932 	 54.0242 	 1.010 	 53.136
0.1160718 	 1.6044283 	 64.8305 	 1.011 	 53.364
0.1322501 	 1.7188264 	 75.0187 	 1.013 	 53.489
0.1476964 	 1.8362768 	 85.6388 	 1.014 	 53.571
0.1624522 	 1.9623786 	 96.4877 	 1.017 	 53.558
0.1765885 	 2.0923655 	 106.7345 	 1.018 	 53.530
0.1901161 	 2.2271011 	 117.0539 	 1.021 	 53.527
0.2030848 	 2.3662746 	 127.4559 	 1.023 	 53.505
0.2155371 	 2.5097462 	 137.7961 	 1.025 	 53.499
0.2275027 	 2.6580333 	 148.0834 	 1.028 	 53.491
0.2390146 	 2.8095025 	 158.3339 	 1.029 	 53.444
0.2500964 	 2.9663004 	 168.2142 	 1.031 	 53.456
0.2607671 	 3.1267703 	 178.8009 	 1.033 	 53.431
0.2710520 	 3.2915161 	 189.0656 	 1.033 	 53.423
0.2809923 	 3.4615267 	 200.6941 	 1.037 	 53.413
0.2905842 	 3.6344478 	 210.7424 	 1.039 	 53.378
0.2998556 	 3.8110860 	 223.3313 	 1.041 	 53.379
0.3088224 	 3.9929645 	 233.6428 	 1.042 	 53.362
0.3174938 	 4.1809052 	 243.7786 	 1.045 	 53.361
0.3258968 	 4.3704608 	 253.5638 	 1.046 	 53.357
0.3340336 	 4.5640067 	 263.3689 	 1.048 	 53.343
0.3419216 	 4.7622273 	 273.8296 	 1.050 	 53.324
0.3495825 	 4.9647179 	 284.3259 	 1.052 	 53.296
0.3570077 	 5.1696731 	 297.1964 	 1.054 	 53.291
0.3642195 	 5.3783793 	 306.0937 	 1.056 	 53.254
0.3712257 	 5.5938914 	 317.0477 	 1.058 	 53.263
0.3780324 	 5.8104554 	 330.3668 	 1.059 	 53.254
0.3846597 	 6.0327766 	 341.6285 	 1.062 	 53.218
0.3910994 	 6.2587540 	 353.1667 	 1.064 	 53.212
0.3973703 	 6.4907980 	 365.1908 	 1.065 	 53.225
0.4034783 	 6.7247452 	 373.6178 	 1.067 	 53.206
0.4094247 	 6.9600712 	 386.0276 	 1.069 	 53.187
0.4152243 	 7.2036549 	 399.3173 	 1.070 	 53.168
0.4208748 	 7.4501272 	 409.6093 	 1.071 	 53.165
0.4263871 	 7.6972091 	 422.2404 	 1.072 	 53.137
0.4317630 	 7.9529370 	 431.9420 	 1.075 	 53.133
0.4370063 	 8.2072610 	 445.6977 	 1.075 	 53.115
0.4421296 	 8.4676885 	 452.3067 	 1.077 	 53.092
0.4471305 	 8.7327567 	 463.4763 	 1.076 	 53.085
0.4520134 	 9.0032172 	 473.4126 	 1.079 	 53.075
