N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002255 	 1.0008561 	 1.1026 	 0.981 	 7.113
0.0220663 	 1.1832641 	 12.0700 	 0.960 	 35.128
0.0428665 	 1.2260319 	 22.5843 	 0.998 	 47.982
0.0625994 	 1.3036222 	 32.9642 	 1.007 	 51.543
0.0812986 	 1.3961812 	 43.7209 	 1.007 	 52.647
0.0991009 	 1.4968033 	 54.0476 	 1.009 	 53.152
0.1160501 	 1.6046549 	 64.3906 	 1.011 	 53.369
0.1322270 	 1.7183720 	 75.3577 	 1.013 	 53.458
0.1476676 	 1.8367109 	 85.3384 	 1.015 	 53.597
0.1624212 	 1.9624379 	 96.3374 	 1.017 	 53.584
0.1765466 	 2.0921414 	 106.7278 	 1.019 	 53.540
0.1900788 	 2.2267997 	 118.3916 	 1.022 	 53.536
0.2030619 	 2.3655267 	 128.9096 	 1.024 	 53.500
0.2155186 	 2.5092676 	 139.1475 	 1.025 	 53.485
0.2274807 	 2.6570672 	 150.1291 	 1.027 	 53.493
0.2389849 	 2.8095559 	 160.3371 	 1.029 	 53.480
0.2500587 	 2.9659636 	 171.4796 	 1.031 	 53.441
0.2607359 	 3.1262805 	 183.5161 	 1.033 	 53.424
0.2710339 	 3.2918626 	 194.1747 	 1.035 	 53.415
0.2809702 	 3.4603975 	 203.2796 	 1.037 	 53.408
0.2905698 	 3.6345155 	 213.6504 	 1.038 	 53.410
0.2998475 	 3.8124278 	 225.4053 	 1.041 	 53.381
0.3088140 	 3.9954508 	 237.6060 	 1.042 	 53.389
0.3174947 	 4.1790413 	 247.6913 	 1.044 	 53.338
0.3258983 	 4.3686212 	 257.1049 	 1.046 	 53.339
0.3340332 	 4.5634135 	 269.1343 	 1.048 	 53.320
0.3419285 	 4.7619051 	 282.2137 	 1.050 	 53.310
0.3495819 	 4.9650295 	 292.1569 	 1.052 	 53.329
0.3570153 	 5.1703668 	 302.8833 	 1.054 	 53.289
0.3642298 	 5.3798539 	 312.7963 	 1.056 	 53.280
0.3712359 	 5.5922460 	 323.7489 	 1.058 	 53.252
0.3780414 	 5.8113591 	 333.3764 	 1.060 	 53.231
0.3846608 	 6.0336238 	 343.5042 	 1.062 	 53.237
0.3911031 	 6.2599533 	 353.1060 	 1.063 	 53.232
0.3973774 	 6.4903404 	 361.4682 	 1.064 	 53.211
0.4034840 	 6.7235489 	 369.5644 	 1.067 	 53.190
0.4094344 	 6.9609898 	 380.0753 	 1.068 	 53.177
0.4152318 	 7.2014810 	 392.2055 	 1.070 	 53.161
0.4208858 	 7.4497742 	 402.1188 	 1.071 	 53.156
0.4263972 	 7.7003378 	 412.4277 	 1.073 	 53.145
0.4317710 	 7.9507326 	 425.0271 	 1.075 	 53.128
0.4370150 	 8.2082519 	 433.3540 	 1.076 	 53.110
0.4421338 	 8.4689346 	 445.6478 	 1.078 	 53.096
0.4471340 	 8.7367032 	 459.4521 	 1.079 	 53.102
0.4520209 	 9.0017876 	 466.8264 	 1.080 	 53.082
0.4567958 	 9.2741979 	 477.7229 	 1.081 	 53.067
0.4614679 	 9.5507819 	 484.9066 	 1.082 	 53.063
0.4660310 	 9.8299254 	 496.8291 	 1.083 	 53.043
0.4704945 	 10.1125652 	 505.3823 	 1.084 	 53.016
0.4748650 	 10.3977697 	 519.7561 	 1.085 	 53.034
0.4791357 	 10.6950017 	 528.9186 	 1.085 	 53.025
0.4833169 	 10.9852539 	 541.9109 	 1.086 	 52.991
0.4874093 	 11.2832918 	 554.7718 	 1.086 	 52.973
0.4914197 	 11.5854704 	 563.8629 	 1.088 	 52.954
0.4953478 	 11.8900535 	 580.0521 	 1.088 	 52.967
0.4991954 	 12.1987530 	 593.0999 	 1.088 	 52.955
0.5029643 	 12.5174067 	 602.6342 	 1.089 	 52.954
0.5066613 	 12.8343841 	 614.2469 	 1.089 	 52.930
0.5102854 	 13.1564756 	 625.7730 	 1.090 	 52.928
0.5138419 	 13.4820144 	 636.0398 	 1.090 	 52.918
0.5173264 	 13.8069970 	 646.8013 	 1.091 	 52.900
0.5207467 	 14.1450704 	 658.7151 	 1.091 	 52.921
0.5241039 	 14.4779363 	 680.6220 	 1.090 	 52.914
0.5273990 	 14.8207913 	 692.9521 	 1.091 	 52.896
0.5306338 	 15.1639760 	 703.0596 	 1.090 	 52.868
0.5338074 	 15.5150637 	 712.6067 	 1.090 	 52.876
0.5369229 	 15.8629899 	 728.4596 	 1.090 	 52.848
0.5399821 	 16.2312244 	 748.7854 	 1.089 	 52.857
0.5429869 	 16.5903261 	 772.1204 	 1.088 	 52.858
0.5459391 	 16.9535239 	 802.7210 	 1.090 	 52.832
0.5488401 	 17.3182587 	 847.6206 	 1.087 	 52.827
0.5516923 	 17.7002030 	 909.4259 	 1.087 	 52.821
0.5544922 	 18.0658948 	 1013.9224 	 1.084 	 52.792
0.5572450 	 18.4457245 	 1188.9593 	 1.083 	 52.791
0.5599535 	 18.8288075 	 1488.7771 	 1.080 	 52.794
0.5626159 	 19.2125726 	 2013.3905 	 1.079 	 52.782
0.5652340 	 19.5964181 	 2890.3360 	 1.075 	 52.771
0.5678104 	 19.9955687 	 4316.3160 	 1.074 	 52.779
0.5703459 	 20.4053479 	 6435.7042 	 1.070 	 52.766
0.5728377 	 20.8224851 	 9618.2957 	 1.070 	 52.749
0.5752872 	 21.2674741 	 13761.9665 	 1.066 	 52.744
0.5776927 	 21.7267493 	 18768.1705 	 1.066 	 52.722
0.5800536 	 22.2232501 	 24164.3480 	 1.066 	 52.691
0.5823672 	 22.7394373 	 30373.2965 	 1.067 	 52.675
0.5846335 	 23.2881305 	 36461.5316 	 1.069 	 52.668
0.5868511 	 23.8740170 	 42136.7183 	 1.071 	 52.649
0.5890200 	 24.4994922 	 47260.8161 	 1.074 	 52.656
0.5911388 	 25.1527707 	 53166.3940 	 1.078 	 52.661
0.5932063 	 25.8248919 	 58693.6506 	 1.083 	 52.641
0.5952255 	 26.5349357 	 65110.8872 	 1.088 	 52.632
0.5971944 	 27.2593223 	 72310.9995 	 1.092 	 52.631
0.5991145 	 28.0132839 	 80241.0053 	 1.096 	 52.612
0.6009853 	 28.8065515 	 88835.8067 	 1.100 	 52.594
0.6028092 	 29.6183402 	 99657.7070 	 1.104 	 52.611
0.6045858 	 30.4878015 	 111116.8119 	 1.107 	 52.613
0.6063154 	 31.3723052 	 123539.2581 	 1.110 	 52.599
0.6079994 	 32.3120137 	 134375.8002 	 1.114 	 52.605
0.6096362 	 33.2581983 	 144098.1163 	 1.116 	 52.608
0.6112300 	 34.2530208 	 151999.6904 	 1.118 	 52.593
0.6127810 	 35.2922223 	 157442.4809 	 1.120 	 52.597
0.6142857 	 36.3684468 	 161367.8749 	 1.120 	 52.616
0.6157497 	 37.4864603 	 164102.5865 	 1.120 	 52.616
0.6171722 	 38.6476244 	 165948.3961 	 1.120 	 52.618
0.6185543 	 39.8313647 	 165497.6782 	 1.118 	 52.599
0.6198952 	 41.0774609 	 161684.5383 	 1.117 	 52.600
0.6211977 	 42.3377038 	 158765.1431 	 1.115 	 52.590
0.6224621 	 43.6733497 	 155144.2800 	 1.114 	 52.594
0.6236899 	 45.0598298 	 151944.8986 	 1.113 	 52.580
0.6248829 	 46.4918021 	 147611.3865 	 1.113 	 52.589
0.6260407 	 47.9286703 	 144838.6281 	 1.114 	 52.565
0.6271640 	 49.4444639 	 142232.0306 	 1.115 	 52.571
0.6282552 	 50.9737395 	 140399.0119 	 1.119 	 52.527
0.6293141 	 52.5536328 	 140401.5654 	 1.124 	 52.512
