N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002266 	 1.0008565 	 1.1028 	 0.998 	 7.113
0.0220733 	 1.1832783 	 12.0589 	 0.961 	 35.160
0.0428695 	 1.2260966 	 22.5881 	 0.998 	 47.971
0.0625739 	 1.3035228 	 33.0660 	 1.006 	 51.568
0.0812834 	 1.3960490 	 43.5660 	 1.008 	 52.658
0.0990567 	 1.4965478 	 53.4784 	 1.009 	 53.136
0.1160119 	 1.6042000 	 63.8812 	 1.011 	 53.363
0.1321851 	 1.7180979 	 74.6404 	 1.013 	 53.476
0.1476330 	 1.8363906 	 84.4751 	 1.014 	 53.592
0.1623818 	 1.9618517 	 95.0348 	 1.017 	 53.585
0.1765100 	 2.0917268 	 106.1882 	 1.019 	 53.559
0.1900412 	 2.2262502 	 116.9459 	 1.021 	 53.534
0.2030250 	 2.3655247 	 127.5427 	 1.023 	 53.496
0.2154756 	 2.5086661 	 138.2453 	 1.025 	 53.495
0.2274407 	 2.6567516 	 148.4079 	 1.027 	 53.496
0.2389539 	 2.8093483 	 158.9551 	 1.029 	 53.463
0.2500407 	 2.9652723 	 170.8140 	 1.031 	 53.447
0.2607177 	 3.1262957 	 180.8290 	 1.033 	 53.446
0.2710070 	 3.2913683 	 192.3878 	 1.035 	 53.432
0.2809425 	 3.4595325 	 202.3019 	 1.037 	 53.399
0.2905393 	 3.6335709 	 212.2169 	 1.039 	 53.407
0.2998178 	 3.8116045 	 222.9188 	 1.041 	 53.392
0.3087850 	 3.9928121 	 232.6812 	 1.043 	 53.348
0.3174656 	 4.1785403 	 241.6425 	 1.045 	 53.351
0.3258653 	 4.3692772 	 252.2322 	 1.047 	 53.363
0.3340101 	 4.5634824 	 262.9812 	 1.048 	 53.332
0.3419042 	 4.7616378 	 273.6612 	 1.050 	 53.326
0.3495632 	 4.9635062 	 284.5153 	 1.052 	 53.309
0.3569936 	 5.1687209 	 293.9507 	 1.054 	 53.282
0.3642095 	 5.3787038 	 306.0336 	 1.056 	 53.267
0.3712224 	 5.5933073 	 316.9179 	 1.057 	 53.267
0.3780358 	 5.8113895 	 329.6699 	 1.060 	 53.257
0.3846597 	 6.0336485 	 337.5002 	 1.061 	 53.240
0.3911062 	 6.2600803 	 347.8499 	 1.064 	 53.235
0.3973742 	 6.4887396 	 361.3555 	 1.065 	 53.205
0.4034810 	 6.7224556 	 371.6154 	 1.067 	 53.175
0.4094301 	 6.9620229 	 381.6239 	 1.068 	 53.189
0.4152298 	 7.2027917 	 391.9217 	 1.071 	 53.176
0.4208810 	 7.4500290 	 402.2943 	 1.071 	 53.155
0.4263922 	 7.7001008 	 412.8738 	 1.075 	 53.160
0.4317686 	 7.9494741 	 426.2943 	 1.075 	 53.102
0.4370161 	 8.2083840 	 440.1679 	 1.075 	 53.115
0.4421368 	 8.4694431 	 447.0248 	 1.075 	 53.104
0.4471384 	 8.7331031 	 457.5864 	 1.078 	 53.071
0.4520238 	 9.0014414 	 468.3685 	 1.079 	 53.076
0.4567984 	 9.2750678 	 476.7242 	 1.080 	 53.084
0.4614634 	 9.5496645 	 484.5439 	 1.082 	 53.050
