N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002261 	 1.0008559 	 1.1027 	 1.009 	 7.113
0.0220484 	 1.1833201 	 11.9709 	 0.961 	 35.126
0.0428460 	 1.2259486 	 22.3547 	 0.998 	 47.958
0.0625678 	 1.3034191 	 32.9948 	 1.006 	 51.549
0.0812850 	 1.3959963 	 43.6351 	 1.008 	 52.630
0.0990872 	 1.4968409 	 54.0606 	 1.009 	 53.146
0.1160373 	 1.6041713 	 64.5044 	 1.011 	 53.343
0.1322118 	 1.7185488 	 74.9401 	 1.013 	 53.481
0.1476482 	 1.8360324 	 84.8981 	 1.014 	 53.585
0.1624146 	 1.9617496 	 95.0552 	 1.016 	 53.559
0.1765341 	 2.0920518 	 105.1919 	 1.019 	 53.549
0.1900655 	 2.2264033 	 115.5999 	 1.021 	 53.517
0.2030419 	 2.3654801 	 125.8291 	 1.023 	 53.507
0.2154945 	 2.5088062 	 135.4755 	 1.025 	 53.484
0.2274557 	 2.6568790 	 147.5149 	 1.027 	 53.498
0.2389661 	 2.8083067 	 158.6390 	 1.029 	 53.435
0.2500479 	 2.9651971 	 169.7618 	 1.030 	 53.452
0.2607209 	 3.1263716 	 180.7708 	 1.033 	 53.448
0.2710167 	 3.2909162 	 191.2974 	 1.035 	 53.419
0.2809604 	 3.4606136 	 201.7191 	 1.036 	 53.398
0.2905537 	 3.6332926 	 212.3767 	 1.039 	 53.376
0.2998256 	 3.8123037 	 223.3379 	 1.041 	 53.394
0.3087934 	 3.9921429 	 233.6440 	 1.043 	 53.363
0.3174674 	 4.1787143 	 243.0785 	 1.044 	 53.352
0.3258648 	 4.3690432 	 253.2264 	 1.046 	 53.357
0.3340083 	 4.5632214 	 264.5998 	 1.048 	 53.338
0.3419004 	 4.7611190 	 274.3020 	 1.050 	 53.321
0.3495523 	 4.9626886 	 284.4264 	 1.052 	 53.303
0.3569802 	 5.1689764 	 296.8614 	 1.055 	 53.292
0.3641901 	 5.3794319 	 307.3917 	 1.056 	 53.290
0.3711926 	 5.5924560 	 318.0709 	 1.057 	 53.252
0.3780086 	 5.8121168 	 328.9736 	 1.060 	 53.265
0.3846311 	 6.0337669 	 340.4613 	 1.061 	 53.236
0.3910818 	 6.2571596 	 349.6559 	 1.063 	 53.195
0.3973556 	 6.4884919 	 361.1656 	 1.065 	 53.208
0.4034665 	 6.7231316 	 373.1376 	 1.066 	 53.205
0.4094161 	 6.9607877 	 383.2926 	 1.069 	 53.171
0.4152104 	 7.2042549 	 392.7331 	 1.070 	 53.172
0.4208653 	 7.4475888 	 406.3748 	 1.071 	 53.143
0.4263738 	 7.6967091 	 413.4635 	 1.072 	 53.123
0.4317528 	 7.9498405 	 420.8942 	 1.073 	 53.116
0.4370000 	 8.2067549 	 434.2574 	 1.075 	 53.108
0.4421244 	 8.4678750 	 441.7280 	 1.076 	 53.094
0.4471238 	 8.7349970 	 449.8712 	 1.076 	 53.105
0.4520095 	 8.9997266 	 459.0165 	 1.079 	 53.082
0.4567838 	 9.2713821 	 471.8679 	 1.081 	 53.057
0.4614503 	 9.5466664 	 484.6549 	 1.082 	 53.053
0.4660114 	 9.8294854 	 498.7707 	 1.083 	 53.031
0.4704745 	 10.1129234 	 510.0677 	 1.083 	 53.036
0.4748424 	 10.3964754 	 521.2574 	 1.085 	 53.017
0.4791182 	 10.6881560 	 529.2158 	 1.085 	 52.988
0.4832995 	 10.9861771 	 536.8080 	 1.086 	 52.985
0.4873931 	 11.2821119 	 546.3114 	 1.087 	 52.978
0.4914008 	 11.5834372 	 560.6254 	 1.089 	 52.958
0.4953291 	 11.8912098 	 572.6599 	 1.089 	 52.980
0.4991810 	 12.2008074 	 585.6953 	 1.090 	 52.961
0.5029528 	 12.5103234 	 600.3059 	 1.090 	 52.932
0.5066506 	 12.8294742 	 611.3914 	 1.091 	 52.937
0.5102776 	 13.1529517 	 628.7273 	 1.090 	 52.940
0.5138329 	 13.4831753 	 638.8056 	 1.092 	 52.926
0.5173228 	 13.8054105 	 649.4333 	 1.091 	 52.908
0.5207442 	 14.1397719 	 657.0164 	 1.093 	 52.896
0.5241014 	 14.4777522 	 670.7052 	 1.092 	 52.890
0.5273910 	 14.8221675 	 689.0526 	 1.091 	 52.873
0.5306233 	 15.1694536 	 706.7333 	 1.092 	 52.892
0.5337957 	 15.5151836 	 727.3870 	 1.092 	 52.872
0.5369114 	 15.8587931 	 750.8971 	 1.091 	 52.842
0.5399713 	 16.2202938 	 779.8528 	 1.091 	 52.847
0.5429768 	 16.5739283 	 812.7837 	 1.091 	 52.833
0.5459299 	 16.9518064 	 853.5469 	 1.090 	 52.838
0.5488315 	 17.3102304 	 907.2666 	 1.090 	 52.793
0.5516822 	 17.6926808 	 973.6046 	 1.089 	 52.803
0.5544819 	 18.0631115 	 1096.5797 	 1.088 	 52.805
0.5572347 	 18.4523978 	 1270.4095 	 1.088 	 52.818
0.5599400 	 18.8361979 	 1579.7072 	 1.086 	 52.810
0.5626001 	 19.2165397 	 2056.4736 	 1.085 	 52.794
0.5652164 	 19.6176526 	 2783.3102 	 1.085 	 52.816
0.5677905 	 20.0174316 	 3979.5235 	 1.081 	 52.808
0.5703213 	 20.4133815 	 6059.2386 	 1.079 	 52.795
0.5728131 	 20.8264968 	 9527.8969 	 1.075 	 52.821
0.5752630 	 21.2437985 	 14436.4610 	 1.071 	 52.798
0.5776697 	 21.6863548 	 21903.8830 	 1.068 	 52.809
0.5800364 	 22.1404499 	 32804.7108 	 1.063 	 52.796
0.5823599 	 22.6267894 	 46819.8199 	 1.060 	 52.806
0.5846386 	 23.1475282 	 63362.3832 	 1.057 	 52.818
0.5868718 	 23.6959738 	 82163.2985 	 1.056 	 52.798
0.5890588 	 24.3027924 	 101753.2682 	 1.056 	 52.802
0.5911932 	 24.9338790 	 121398.3376 	 1.056 	 52.775
0.5932804 	 25.6090984 	 139350.3793 	 1.058 	 52.755
0.5953155 	 26.3286466 	 156692.2733 	 1.062 	 52.751
0.5972981 	 27.0898541 	 169817.0569 	 1.066 	 52.749
0.5992307 	 27.8884257 	 181289.1987 	 1.070 	 52.722
0.6011102 	 28.7376370 	 192787.2952 	 1.075 	 52.717
0.6029362 	 29.6073250 	 203412.2607 	 1.080 	 52.680
0.6047132 	 30.5019331 	 213584.0225 	 1.086 	 52.648
0.6064407 	 31.4432697 	 220571.1590 	 1.089 	 52.642
0.6081197 	 32.4223778 	 225421.9032 	 1.093 	 52.630
0.6097490 	 33.4207451 	 226973.4311 	 1.096 	 52.625
0.6113354 	 34.4603962 	 225406.4126 	 1.098 	 52.624
0.6128750 	 35.5037266 	 217712.1801 	 1.097 	 52.606
0.6143718 	 36.5578535 	 207241.4016 	 1.093 	 52.591
0.6158285 	 37.6206951 	 193482.4087 	 1.087 	 52.607
0.6172472 	 38.6948698 	 181709.3823 	 1.078 	 52.627
0.6186300 	 39.7459175 	 178278.6744 	 1.066 	 52.640
0.6199779 	 40.7737260 	 188748.2734 	 1.051 	 52.672
0.6212950 	 41.7937010 	 215331.2160 	 1.036 	 52.655
0.6225815 	 42.8572262 	 258707.1848 	 1.019 	 52.691
0.6238378 	 43.9578635 	 305636.8049 	 1.006 	 52.692
0.6250634 	 45.1389347 	 348912.4092 	 0.996 	 52.691
0.6262585 	 46.3979196 	 379467.3271 	 0.989 	 52.674
0.6274217 	 47.7621951 	 402439.3452 	 0.983 	 52.674
0.6285526 	 49.2104676 	 411763.4471 	 0.980 	 52.624
0.6296502 	 50.7142433 	 407643.1014 	 0.979 	 52.608
