N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002247 	 1.0008468 	 1.1027 	 0.993 	 7.112
0.0220515 	 1.1832395 	 12.0532 	 0.960 	 35.110
0.0428378 	 1.2258827 	 22.5351 	 0.999 	 47.943
0.0625528 	 1.3032768 	 32.9645 	 1.006 	 51.550
0.0812753 	 1.3959773 	 43.3111 	 1.008 	 52.648
0.0990834 	 1.4965935 	 53.6218 	 1.010 	 53.146
0.1160491 	 1.6043545 	 64.0373 	 1.012 	 53.382
0.1322272 	 1.7184706 	 74.1951 	 1.013 	 53.461
0.1476710 	 1.8366027 	 84.3254 	 1.014 	 53.603
0.1624210 	 1.9618682 	 94.7932 	 1.017 	 53.552
0.1765461 	 2.0922712 	 105.0361 	 1.018 	 53.550
0.1900848 	 2.2266345 	 115.4980 	 1.021 	 53.526
0.2030543 	 2.3661856 	 125.8736 	 1.024 	 53.532
0.2155125 	 2.5089583 	 136.7723 	 1.025 	 53.481
0.2274798 	 2.6570637 	 147.3197 	 1.027 	 53.476
0.2389939 	 2.8090291 	 158.2276 	 1.029 	 53.452
0.2500799 	 2.9655807 	 169.3963 	 1.031 	 53.443
0.2607547 	 3.1268713 	 179.8347 	 1.033 	 53.440
0.2710505 	 3.2928003 	 190.1136 	 1.035 	 53.434
0.2809956 	 3.4613328 	 199.8278 	 1.037 	 53.415
0.2905875 	 3.6354006 	 211.2940 	 1.038 	 53.401
0.2998571 	 3.8128389 	 222.9643 	 1.041 	 53.395
0.3088228 	 3.9939931 	 233.3331 	 1.043 	 53.376
0.3174999 	 4.1796885 	 241.8898 	 1.045 	 53.354
0.3258999 	 4.3697172 	 250.6053 	 1.046 	 53.352
0.3340394 	 4.5635956 	 259.4219 	 1.049 	 53.320
0.3419332 	 4.7602380 	 271.2753 	 1.051 	 53.293
0.3495887 	 4.9633224 	 280.5107 	 1.052 	 53.309
0.3570183 	 5.1700085 	 292.8854 	 1.055 	 53.305
0.3642327 	 5.3817452 	 302.7993 	 1.055 	 53.287
0.3712482 	 5.5939827 	 310.2255 	 1.058 	 53.262
0.3780600 	 5.8125221 	 322.4429 	 1.059 	 53.251
0.3846811 	 6.0346304 	 333.1149 	 1.061 	 53.235
