N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002237 	 1.0008435 	 1.1026 	 0.994 	 7.111
0.0220778 	 1.1832070 	 12.0272 	 0.960 	 35.133
0.0428719 	 1.2259211 	 22.6571 	 0.998 	 47.963
0.0626043 	 1.3037541 	 33.1267 	 1.006 	 51.565
0.0813045 	 1.3959996 	 43.2909 	 1.009 	 52.627
0.0990929 	 1.4968638 	 53.6581 	 1.009 	 53.136
0.1160565 	 1.6045710 	 64.0306 	 1.011 	 53.365
0.1322242 	 1.7186349 	 74.8127 	 1.013 	 53.491
0.1476626 	 1.8365516 	 84.7201 	 1.014 	 53.590
0.1624103 	 1.9617505 	 95.4940 	 1.017 	 53.571
0.1765262 	 2.0917406 	 106.6133 	 1.020 	 53.551
0.1900598 	 2.2264946 	 117.5567 	 1.021 	 53.524
0.2030433 	 2.3653331 	 127.7833 	 1.023 	 53.518
0.2155010 	 2.5090965 	 138.1985 	 1.025 	 53.506
0.2274667 	 2.6566076 	 148.4709 	 1.027 	 53.471
0.2389800 	 2.8084286 	 160.1757 	 1.029 	 53.443
0.2500584 	 2.9661097 	 170.9104 	 1.031 	 53.454
0.2607297 	 3.1264725 	 181.8174 	 1.033 	 53.434
0.2710242 	 3.2912611 	 194.0890 	 1.035 	 53.423
0.2809621 	 3.4607494 	 203.5173 	 1.037 	 53.408
0.2905519 	 3.6337925 	 213.1921 	 1.039 	 53.388
0.2998186 	 3.8115649 	 223.5233 	 1.041 	 53.363
0.3087898 	 3.9930679 	 232.8125 	 1.043 	 53.376
0.3174588 	 4.1800970 	 243.4028 	 1.045 	 53.346
0.3258597 	 4.3687176 	 252.3569 	 1.046 	 53.344
0.3340007 	 4.5614337 	 264.4492 	 1.049 	 53.320
0.3418908 	 4.7620033 	 275.0458 	 1.051 	 53.344
0.3495448 	 4.9614301 	 285.2562 	 1.052 	 53.292
0.3569770 	 5.1673806 	 296.7182 	 1.055 	 53.280
0.3641891 	 5.3783899 	 307.3182 	 1.056 	 53.262
0.3711936 	 5.5920706 	 316.0343 	 1.058 	 53.260
0.3780066 	 5.8118965 	 324.4729 	 1.060 	 53.251
0.3846359 	 6.0328159 	 332.7549 	 1.061 	 53.236
0.3910811 	 6.2589654 	 342.0744 	 1.064 	 53.218
0.3973532 	 6.4893760 	 353.3581 	 1.065 	 53.212
0.4034566 	 6.7218162 	 362.7343 	 1.067 	 53.177
0.4094071 	 6.9611156 	 373.4313 	 1.068 	 53.184
0.4151993 	 7.2030579 	 382.7289 	 1.070 	 53.169
0.4208461 	 7.4489320 	 395.2031 	 1.071 	 53.158
0.4263593 	 7.6949932 	 405.5640 	 1.073 	 53.124
0.4317361 	 7.9502127 	 414.5608 	 1.074 	 53.111
0.4369817 	 8.2056515 	 424.4675 	 1.075 	 53.109
0.4421060 	 8.4683162 	 433.1157 	 1.076 	 53.118
0.4471078 	 8.7267680 	 441.7728 	 1.077 	 53.057
0.4519951 	 8.9971500 	 450.9164 	 1.078 	 53.059
0.4567661 	 9.2726229 	 465.4900 	 1.080 	 53.071
0.4614339 	 9.5458417 	 481.5605 	 1.082 	 53.057
0.4659953 	 9.8278461 	 489.6808 	 1.083 	 53.042
0.4704583 	 10.1129241 	 500.0843 	 1.085 	 53.041
0.4748243 	 10.3960341 	 507.3261 	 1.085 	 53.017
0.4790975 	 10.6883411 	 519.6997 	 1.085 	 52.992
0.4832819 	 10.9843273 	 529.9969 	 1.086 	 52.998
0.4873765 	 11.2835828 	 542.5636 	 1.087 	 52.998
0.4913851 	 11.5826421 	 555.6683 	 1.087 	 52.973
0.4953155 	 11.8875934 	 565.9094 	 1.088 	 52.982
0.4991619 	 12.2030328 	 579.0557 	 1.088 	 52.970
0.5029346 	 12.5111981 	 593.4505 	 1.088 	 52.959
0.5066317 	 12.8284876 	 605.9120 	 1.089 	 52.935
0.5102569 	 13.1526416 	 614.7017 	 1.091 	 52.943
0.5138147 	 13.4776166 	 629.8758 	 1.091 	 52.912
0.5173048 	 13.8010480 	 641.9730 	 1.091 	 52.882
0.5207249 	 14.1390221 	 655.3469 	 1.091 	 52.898
0.5240830 	 14.4795775 	 666.8826 	 1.091 	 52.917
0.5273781 	 14.8191302 	 675.0015 	 1.091 	 52.886
0.5306089 	 15.1663041 	 689.5650 	 1.091 	 52.882
0.5337813 	 15.5085238 	 707.1058 	 1.090 	 52.859
0.5368973 	 15.8606948 	 728.5968 	 1.090 	 52.858
0.5399579 	 16.2114444 	 758.0610 	 1.088 	 52.847
0.5429655 	 16.5700162 	 784.5089 	 1.089 	 52.852
0.5459214 	 16.9359926 	 815.9375 	 1.088 	 52.856
0.5488238 	 17.3047438 	 862.5054 	 1.087 	 52.848
0.5516792 	 17.6673054 	 926.3861 	 1.087 	 52.817
0.5544875 	 18.0315598 	 1031.6900 	 1.087 	 52.826
0.5572490 	 18.4112278 	 1203.9889 	 1.087 	 52.810
0.5599622 	 18.7879156 	 1475.9644 	 1.087 	 52.812
0.5626331 	 19.1558918 	 1955.1439 	 1.088 	 52.789
0.5652630 	 19.5331551 	 2832.8059 	 1.089 	 52.810
0.5678476 	 19.9117426 	 4312.5990 	 1.088 	 52.791
0.5703956 	 20.2853497 	 7025.6720 	 1.089 	 52.811
0.5729022 	 20.6832830 	 11433.8395 	 1.091 	 52.791
0.5753728 	 21.0622300 	 18882.8772 	 1.091 	 52.807
0.5778063 	 21.4600476 	 30942.1430 	 1.090 	 52.783
0.5802020 	 21.8732555 	 49670.3537 	 1.090 	 52.787
0.5825587 	 22.3008561 	 75798.9236 	 1.088 	 52.769
0.5848783 	 22.7483052 	 111914.9205 	 1.085 	 52.761
0.5871584 	 23.2295704 	 153762.8149 	 1.080 	 52.749
