# Phi	Z	lower	upper	k	lower	upper	var_S	like/unlike	lower	upper
3.027027027027026640e-02	1.200124052332269819e+00	1.200121103841905956e+00	1.200126949159138423e+00	2.736013357540529967e+01	2.735989195338512658e+01	2.736037887478851616e+01	6.060764908480594760e-09	9.751786286434809270e-01	9.751550894970877348e-01	9.752020846063773618e-01
3.090090090090089753e-02	1.201420476738854992e+00	1.201417601800423673e+00	1.201423292591643044e+00	2.683617443790224755e+01	2.683595017414027950e+01	2.683640461450096026e+01	6.177707940243712726e-09	9.763184842984702350e-01	9.762954055084970273e-01	9.763414226407004515e-01
3.153153153153152866e-02	1.202716901175234776e+00	1.202714080831082999e+00	1.202719636111082568e+00	2.631221531244154477e+01	2.631200587143990077e+01	2.631242979652105873e+01	6.303550387462724897e-09	9.774583399348033552e-01	9.774357135901280413e-01	9.774810129968231065e-01
3.216216216216215978e-02	1.204013325641409837e+00	1.204010578719525437e+00	1.204016013308376598e+00	2.578825619902296395e+01	2.578805824714111594e+01	2.578845579576449154e+01	6.438292366500502936e-09	9.785981955524687415e-01	9.785757046891970790e-01	9.786206060988068556e-01
3.279279279279279091e-02	1.205309750137384395e+00	1.205307052141857405e+00	1.205312387932621743e+00	2.526429709764636300e+01	2.526411209238709077e+01	2.526448271671905843e+01	6.581933993792013918e-09	9.797380511514457435e-01	9.797158788757647230e-01	9.797601561189392960e-01
3.342342342342342204e-02	1.206606174663161557e+00	1.206603512856734950e+00	1.206608775931348854e+00	2.474033800831152519e+01	2.474016330200931790e+01	2.474051211027405373e+01	6.734475386305351091e-09	9.808779067317229261e-01	9.808556796344323203e-01	9.808999880132762694e-01
3.405405405405405317e-02	1.207902599218741768e+00	1.207899954240427398e+00	1.207905174494865230e+00	2.421637893101825867e+01	2.421621292087106525e+01	2.421654208398376085e+01	6.895916660797420221e-09	9.820177622932803052e-01	9.819956255000392709e-01	9.820398987564418203e-01
3.468468468468468430e-02	1.209199023804132134e+00	1.209196404677445047e+00	1.209201597243445114e+00	2.369241986576626147e+01	2.369226171433587069e+01	2.369257358599919527e+01	7.066257934534477601e-09	9.831576178361085550e-01	9.831355080678737535e-01	9.831796121620511864e-01
3.531531531531531543e-02	1.210495448419331099e+00	1.210492842711547778e+00	1.210498012068581986e+00	2.316846081255553358e+01	2.316830950654478727e+01	2.316860916634715295e+01	7.245499324718655653e-09	9.842974733601875803e-01	9.842750898497969470e-01	9.843197009881354820e-01
3.594594594594594655e-02	1.211791873064346658e+00	1.211789269049964091e+00	1.211794450894617237e+00	2.264450177138569487e+01	2.264435336584192626e+01	2.264464743063973984e+01	7.433640948841016852e-09	9.854373288655052798e-01	9.854149374850657006e-01	9.854598382898309694e-01
3.657657657657657074e-02	1.213088297739176591e+00	1.213085664621830206e+00	1.213090910422350177e+00	2.212054274225670625e+01	2.212039436872962384e+01	2.212068715707951228e+01	7.630682924630151895e-09	9.865771843520450002e-01	9.865545383561720172e-01	9.865998369114881150e-01
3.720720720720720187e-02	1.214384722443826004e+00	1.214382062758020631e+00	1.214387363787675200e+00	2.159658372516820179e+01	2.159643302884659732e+01	2.159673146630953156e+01	7.836625370047044563e-09	9.877170398197935297e-01	9.876940493665055110e-01	9.877399028984427121e-01
3.783783783783783300e-02	1.215681147178302224e+00	1.215678457253742906e+00	1.215683830803397703e+00	2.107262472012009269e+01	2.107246841847067387e+01	2.107277864667544165e+01	8.051468402926555927e-09	9.888568952687317726e-01	9.888333445927790510e-01	9.888800871365638345e-01
3.846846846846846413e-02	1.216977571942597702e+00	1.216974832243539417e+00	1.216980307623350965e+00	2.054866572711222261e+01	2.054850015073015967e+01	2.054882907373677625e+01	8.275212141586819059e-09	9.899967506988482935e-01	9.899728384129395931e-01	9.900204235555188914e-01
3.909909909909909526e-02	1.218273996736724651e+00	1.218271215480335901e+00	1.218276799390349829e+00	2.002470674614428248e+01	2.002453118199357363e+01	2.002487972194640520e+01	8.507856704631627241e-09	9.911366061101265501e-01	9.911121155645067349e-01	9.911607095493213393e-01
3.972972972972972638e-02	1.219570421560683515e+00	1.219567566169027728e+00	1.219573295491609644e+00	1.950074777721614794e+01	1.950056045157024798e+01	1.950093199451327308e+01	8.749402210395468558e-09	9.922764615025509993e-01	9.922513181063696841e-01	9.923013720159951090e-01
4.036036036036035751e-02	1.220866846414477402e+00	1.220863911841449490e+00	1.220869806854330886e+00	1.897678882032762715e+01	1.897658959666010503e+01	1.897698554011822125e+01	8.999848777841382485e-09	9.934163168761064311e-01	9.933905128480939872e-01	9.934419194102777073e-01
4.099099099099098864e-02	1.222163271298108533e+00	1.222160246323806598e+00	1.222166313215795608e+00	1.845282987547843589e+01	1.845261619400519493e+01	1.845304181793261122e+01	9.259196525849677201e-09	9.945561722307763031e-01	9.945296094627924521e-01	9.945824867997172802e-01
4.162162162162161977e-02	1.223459696211580461e+00	1.223456572213462046e+00	1.223462831428335562e+00	1.792887094266845693e+01	1.792864218849539171e+01	1.792909537147559007e+01	9.527445573669429580e-09	9.956960275665490689e-01	9.956688495454663057e-01	9.957231034389880664e-01
4.225225225225225090e-02	1.224756121154894073e+00	1.224752892711567398e+00	1.224759367616503614e+00	1.740491202189751974e+01	1.740466825940367102e+01	1.740514966026395527e+01	9.804596040631776123e-09	9.968358828834054108e-01	9.968079405208202237e-01	9.968637981420398475e-01
4.288288288288288203e-02	1.226094783268353972e+00	1.226091667262025231e+00	1.226097979848753905e+00	1.689168587678742384e+01	1.689152979351753103e+01	1.689184105432306993e+01	1.115015167460774157e-08	9.979444297879676018e-01	9.979157003244305546e-01	9.979732615618158720e-01
4.351351351351351315e-02	1.228573169501525397e+00	1.228570151871352323e+00	1.228576265501395426e+00	1.666806010459934484e+01	1.666790479940130254e+01	1.666821764116001248e+01	1.118096998994253728e-08	9.982082839892852943e-01	9.981803281140984030e-01	9.982359970563091656e-01
4.414414414414414428e-02	1.231052051874657272e+00	1.231049138377199315e+00	1.231055047963518945e+00	1.644456046871876964e+01	1.644441253137405567e+01	1.644471000105141201e+01	1.116490455278590251e-08	9.984717713811251949e-01	9.984447596168151140e-01	9.984986937346560509e-01
4.477477477477476847e-02	1.233530934280541835e+00	1.233528085744582725e+00	1.233533860477659339e+00	1.622106083768742835e+01	1.622092037877970938e+01	1.622120322863740682e+01	1.115857525620942512e-08	9.987352588481016591e-01	9.987090436804463289e-01	9.987612529139421325e-01
4.540540540540539960e-02	1.236009816719180643e+00	1.236007033606630223e+00	1.236012651905403326e+00	1.599756121150540267e+01	1.599742828804237860e+01	1.599769613717125871e+01	1.116198204241988829e-08	9.989987463902123555e-01	9.989731372817236554e-01	9.990239622945124021e-01
4.603603603603603073e-02	1.238488699190576137e+00	1.238486005650546229e+00	1.238491482867424942e+00	1.577406159017279741e+01	1.577393566134211689e+01	1.577418898960426930e+01	1.117512485429547124e-08	9.992622340074471810e-01	9.992372802040904167e-01	9.992866984454448209e-01
4.666666666666666186e-02	1.240967581694730537e+00	1.240964938984957078e+00	1.240970291275992343e+00	1.555056197368978488e+01	1.555044279959152576e+01	1.555068189144744295e+01	1.119800363458666960e-08	9.995257216998008065e-01	9.995015239447083699e-01	9.995494399033386657e-01
4.729729729729729298e-02	1.243446464231642068e+00	1.243443865649561664e+00	1.243449114776176145e+00	1.532706236205650541e+01	1.532694965100495210e+01	1.532717546369837791e+01	1.123061832649437718e-08	9.997892094672639063e-01	9.997655964643769044e-01	9.998122309665421481e-01
4.792792792792792411e-02	1.245925346801317612e+00	1.245922765626582995e+00	1.245927951982024329e+00	1.510356275527305314e+01	1.510345717365419205e+01	1.510366933378876375e+01	1.127296887326097421e-08	1.000052697309828931e+00	1.000029792989283628e+00	1.000075209753827243e+00
4.855855855855855524e-02	1.248404229403756283e+00	1.248401694942005147e+00	1.248406796913363870e+00	1.488006315333958796e+01	1.487996391713019051e+01	1.488016325553641828e+01	1.132505521849275241e-08	1.000316185227491772e+00	1.000293921329575619e+00	1.000338236618359300e+00
4.918918918918918637e-02	1.250883112038960521e+00	1.250880603975446537e+00	1.250885667996423312e+00	1.465656355625617735e+01	1.465647052517068971e+01	1.465665770293207437e+01	1.138687730589649604e-08	1.000579673220242771e+00	1.000557856505720045e+00	1.000601260299097017e+00
4.981981981981981750e-02	1.253361994706931215e+00	1.253359499955171152e+00	1.253364542142592963e+00	1.443306396402301495e+01	1.443297706696718663e+01	1.443315182404180241e+01	1.145843507958274610e-08	1.000843161288075933e+00	1.000821686031932334e+00	1.000864400396974663e+00
5.045045045045044863e-02	1.255840877407673695e+00	1.255838371768370099e+00	1.255843412087061184e+00	1.420956437664018424e+01	1.420948252617908025e+01	1.420964649118530509e+01	1.153972848375670783e-08	1.001106649430982598e+00	1.001085379427721245e+00	1.001127549838494835e+00
5.108108108108107975e-02	1.258319760141187293e+00	1.258317243078887149e+00	1.258322288798678912e+00	1.398606479410782377e+01	1.398598685410550146e+01	1.398614189964417776e+01	1.163075746271192107e-08	1.001370137648956327e+00	1.001349037952641741e+00	1.001390691006819544e+00
5.171171171171171088e-02	1.260798642907473788e+00	1.260796116590358729e+00	1.260801182695755029e+00	1.376256521642612185e+01	1.376249218377021144e+01	1.376263779885713134e+01	1.173152196113069560e-08	1.001633625941989569e+00	1.001612760101601829e+00	1.001654052263749817e+00
5.234234234234234201e-02	1.263277525706536064e+00	1.263274956548381844e+00	1.263280100396852124e+00	1.353906564359509268e+01	1.353899534113600112e+01	1.353913442901227349e+01	1.184202192388011678e-08	1.001897114310075887e+00	1.001876260135727836e+00	1.001917173701970976e+00
5.297297297297296620e-02	1.265756408538373234e+00	1.265753804494064827e+00	1.265759010195489198e+00	1.331556607561495653e+01	1.331549857452056784e+01	1.331563235747972485e+01	1.196225729625511594e-08	1.002160602753207508e+00	1.002139771084004316e+00	1.002180731899203980e+00
5.360360360360359733e-02	1.268235291402991960e+00	1.268232638906031218e+00	1.268237949214016558e+00	1.309206651248584663e+01	1.309199998221239625e+01	1.309213150846604812e+01	1.209222802339440636e-08	1.002424091271376216e+00	1.002403291002833097e+00	1.002444353375681718e+00
5.423423423423422846e-02	1.270714174300391131e+00	1.270711484315818485e+00	1.270716875423750780e+00	1.286856695420780206e+01	1.286850043993527670e+01	1.286863172073042172e+01	1.223193405084683403e-08	1.002687579864577350e+00	1.002666622384541517e+00	1.002708018690293246e+00
5.486486486486485958e-02	1.273193057230573633e+00	1.273190278439138901e+00	1.273195822651381093e+00	1.264506740078101110e+01	1.264499930964369057e+01	1.264513289395839024e+01	1.238137532463347571e-08	1.002951068532800027e+00	1.002929819059622973e+00	1.002971747068973851e+00
5.549549549549549071e-02	1.275671940193540799e+00	1.275669091906592723e+00	1.275674774304814241e+00	1.242156785220562831e+01	1.242149941621463505e+01	1.242163583901327328e+01	1.254055179027852081e-08	1.003214557276040475e+00	1.003193004898246032e+00	1.003235483907512160e+00
5.612612612612612184e-02	1.278150823189294183e+00	1.278147896335860123e+00	1.278153750127821286e+00	1.219806830848170165e+01	1.219799775314457335e+01	1.219813905860425507e+01	1.270946339447662090e-08	1.003478046094290255e+00	1.003456001458864488e+00	1.003499396864991011e+00
5.675675675675675297e-02	1.280629706217836672e+00	1.280626703150493428e+00	1.280632756069103761e+00	1.197456876960943184e+01	1.197449445041000260e+01	1.197464379038152238e+01	1.288811008325883851e-08	1.003741534987540929e+00	1.003719075483652468e+00	1.003763443220332396e+00
5.738738738738738410e-02	1.283108589279168044e+00	1.283105501304928175e+00	1.283111732205166611e+00	1.175106923558894145e+01	1.175099067400295283e+01	1.175114842916559610e+01	1.307649180343523181e-08	1.004005023955787168e+00	1.003982155171081248e+00	1.004027630697639228e+00
5.801801801801801522e-02	1.285587472373298956e+00	1.285584284522970355e+00	1.285590722372535133e+00	1.152756970642033885e+01	1.152748705607545965e+01	1.152765330727957327e+01	1.327460850202474527e-08	1.004268512999018315e+00	1.004244984391015727e+00	1.004291759172702747e+00
5.864864864864864635e-02	1.288066355500217197e+00	1.288063072093088124e+00	1.288069694641916785e+00	1.130407018210373771e+01	1.130398149060020607e+01	1.130415917397587755e+01	1.348246012589028232e-08	1.004532002117234146e+00	1.004507815296266982e+00	1.004555877714140344e+00
5.927927927927927748e-02	1.290545238659933869e+00	1.290541841825110891e+00	1.290548670092583894e+00	1.108057066263926771e+01	1.108047680350733621e+01	1.108066589062816654e+01	1.370004662243480437e-08	1.004795491310419786e+00	1.004770481331035192e+00	1.004819926760568860e+00
5.990990990990990861e-02	1.293024121852450969e+00	1.293020594527629630e+00	1.293027657791790519e+00	1.085707114802708873e+01	1.085697120178769914e+01	1.085717213218445032e+01	1.392736793925859014e-08	1.005058980578569905e+00	1.005033269636345761e+00	1.005084291217426262e+00
6.054054054054053280e-02	1.295503005077765168e+00	1.295499368750834934e+00	1.295506649726859916e+00	1.063357163826730556e+01	1.063346470352938056e+01	1.063367951218823393e+01	1.416442402408358172e-08	1.005322469921681172e+00	1.005296032296860931e+00	1.005348425414245073e+00
6.117117117117116393e-02	1.297981888335884904e+00	1.297978118697199701e+00	1.297985665422902946e+00	1.041007213336003900e+01	1.040995777946267964e+01	1.041018697602569176e+01	1.441121482479442597e-08	1.005585959339740931e+00	1.005558817761293078e+00	1.005612553624019245e+00
6.180180180180179506e-02	1.300460771626805068e+00	1.300456875346637675e+00	1.300464658980235111e+00	1.018657263330543827e+01	1.018645125517059213e+01	1.018669392432000009e+01	1.466774028980177723e-08	1.005849448832746962e+00	1.005821440720434001e+00	1.005876847159482113e+00
6.243243243243242618e-02	1.302939654950531656e+00	1.302935637998815510e+00	1.302943675720315442e+00	9.963073138103617055e+00	9.962944103563337706e+00	9.963201648852388459e+00	1.493400036738540008e-08	1.006112938400688162e+00	1.006084067392800208e+00	1.006141112478628585e+00
6.306306306306305731e-02	1.305905894395431588e+00	1.305902071155383926e+00	1.305909709401205321e+00	9.824821605608429209e+00	9.824739932127330988e+00	9.824902866602664986e+00	1.661503596078654199e-08	1.006223278130711885e+00	1.006195031909351334e+00	1.006251117171238496e+00
6.369369369369369538e-02	1.309025237585742740e+00	1.309021536257868767e+00	1.309028932692184233e+00	9.713351466927585776e+00	9.713273736466764063e+00	9.713428723682794086e+00	1.656356410578814701e-08	1.006285476776669796e+00	1.006258234599559875e+00	1.006312451178194900e+00
6.432432432432431957e-02	1.312144580808870087e+00	1.312140981141707741e+00	1.312148176584729597e+00	9.601881329727653736e+00	9.601807015884819663e+00	9.601954899071328597e+00	1.652356511959400117e-08	1.006347675458447721e+00	1.006321311583144640e+00	1.006373859301836093e+00
6.495495495495494376e-02	1.315263924064825618e+00	1.315260418719293334e+00	1.315267451862759174e+00	9.490411194008515849e+00	9.490340246029989046e+00	9.490481291683755316e+00	1.649503894417268611e-08	1.006409874176046548e+00	1.006384222167520326e+00	1.006435348356973680e+00
6.558558558558558182e-02	1.318383267353602895e+00	1.318379855187016947e+00	1.318386690970088759e+00	9.378941059770195210e+00	9.378872664685550475e+00	9.379008083624411185e+00	1.647798552227116373e-08	1.006472072929482708e+00	1.006447247318083882e+00	1.006496644287893760e+00
