N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002282 	 1.0008665 	 1.1026 	 0.992 	 7.114
0.0220703 	 1.1831368 	 11.9956 	 0.960 	 35.151
0.0428640 	 1.2260681 	 22.5073 	 0.998 	 47.954
0.0625772 	 1.3036427 	 33.0995 	 1.006 	 51.576
0.0812874 	 1.3962450 	 43.6364 	 1.008 	 52.658
0.0990615 	 1.4964540 	 53.9865 	 1.010 	 53.144
0.1160103 	 1.6041453 	 64.8086 	 1.011 	 53.357
0.1321865 	 1.7180934 	 75.4932 	 1.013 	 53.461
0.1476364 	 1.8362519 	 86.5994 	 1.014 	 53.587
0.1623963 	 1.9620807 	 97.1392 	 1.017 	 53.584
0.1765178 	 2.0915730 	 107.3495 	 1.019 	 53.524
0.1900501 	 2.2263441 	 117.8239 	 1.022 	 53.525
0.2030255 	 2.3653734 	 128.0220 	 1.023 	 53.505
0.2154815 	 2.5089395 	 137.6369 	 1.025 	 53.495
0.2274494 	 2.6565251 	 147.7272 	 1.027 	 53.488
0.2389592 	 2.8084213 	 158.5569 	 1.029 	 53.461
0.2500393 	 2.9658251 	 167.7525 	 1.031 	 53.449
0.2607212 	 3.1258407 	 178.0563 	 1.034 	 53.431
0.2710130 	 3.2909930 	 187.8509 	 1.034 	 53.417
0.2809573 	 3.4608728 	 197.0126 	 1.037 	 53.419
0.2905478 	 3.6335740 	 207.0779 	 1.039 	 53.382
0.2998152 	 3.8108456 	 218.8151 	 1.040 	 53.383
0.3087904 	 3.9922022 	 228.8742 	 1.042 	 53.360
0.3174716 	 4.1798946 	 238.2589 	 1.044 	 53.357
0.3258727 	 4.3681810 	 249.5793 	 1.047 	 53.334
0.3340107 	 4.5626519 	 260.4640 	 1.048 	 53.327
0.3419056 	 4.7620538 	 271.0970 	 1.050 	 53.331
0.3495682 	 4.9642095 	 284.0487 	 1.053 	 53.304
0.3570012 	 5.1695443 	 292.9782 	 1.054 	 53.299
0.3642083 	 5.3796346 	 302.5805 	 1.056 	 53.302
0.3712128 	 5.5943257 	 311.5893 	 1.058 	 53.271
0.3780272 	 5.8115061 	 320.3655 	 1.060 	 53.252
0.3846545 	 6.0328009 	 334.5012 	 1.062 	 53.221
0.3911055 	 6.2604453 	 345.6966 	 1.063 	 53.225
0.3973791 	 6.4897268 	 356.6128 	 1.065 	 53.202
0.4034837 	 6.7257436 	 369.4598 	 1.067 	 53.205
0.4094328 	 6.9603284 	 379.8822 	 1.069 	 53.174
0.4152310 	 7.2023983 	 389.2605 	 1.070 	 53.164
0.4208814 	 7.4514787 	 402.3072 	 1.071 	 53.174
0.4263911 	 7.6973405 	 411.6420 	 1.073 	 53.140
0.4317643 	 7.9490290 	 424.7257 	 1.074 	 53.139
0.4370076 	 8.2099233 	 435.7801 	 1.076 	 53.120
0.4421307 	 8.4684498 	 445.9838 	 1.077 	 53.117
0.4471359 	 8.7333786 	 454.7462 	 1.078 	 53.085
0.4520203 	 9.0025081 	 464.2676 	 1.080 	 53.080
0.4567953 	 9.2746075 	 475.4083 	 1.082 	 53.069
0.4614606 	 9.5486991 	 487.7188 	 1.082 	 53.043
0.4660263 	 9.8321946 	 498.1750 	 1.083 	 53.059
0.4704905 	 10.1144366 	 508.8346 	 1.084 	 53.041
0.4748571 	 10.4040372 	 518.9372 	 1.085 	 53.026
0.4791297 	 10.6906252 	 532.8135 	 1.085 	 53.007
0.4833051 	 10.9850539 	 540.3552 	 1.087 	 53.000
0.4873961 	 11.2830435 	 551.9197 	 1.087 	 52.985
0.4914111 	 11.5856657 	 562.6407 	 1.088 	 52.973
0.4953360 	 11.8978186 	 576.4107 	 1.089 	 52.982
0.4991861 	 12.2080586 	 587.2981 	 1.090 	 52.961
0.5029567 	 12.5234617 	 599.5616 	 1.091 	 52.970
0.5066545 	 12.8308722 	 607.2923 	 1.091 	 52.919
0.5102803 	 13.1567854 	 620.5212 	 1.091 	 52.929
0.5138360 	 13.4762565 	 632.4953 	 1.091 	 52.913
0.5173229 	 13.8130462 	 647.3588 	 1.092 	 52.915
