N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002247 	 1.0008501 	 1.1026 	 0.996 	 7.112
0.0220825 	 1.1832670 	 11.9855 	 0.960 	 35.148
0.0428786 	 1.2261463 	 22.5749 	 0.998 	 47.992
0.0625922 	 1.3035083 	 32.9572 	 1.006 	 51.560
0.0813085 	 1.3961951 	 43.2473 	 1.007 	 52.646
0.0991121 	 1.4968977 	 53.6720 	 1.009 	 53.131
0.1160690 	 1.6046544 	 64.0569 	 1.011 	 53.368
0.1322418 	 1.7183502 	 74.5955 	 1.013 	 53.458
0.1476726 	 1.8362419 	 85.1876 	 1.013 	 53.574
0.1624306 	 1.9618508 	 96.1411 	 1.017 	 53.563
0.1765560 	 2.0923120 	 107.1731 	 1.019 	 53.552
0.1900931 	 2.2269244 	 117.5232 	 1.021 	 53.534
0.2030646 	 2.3658599 	 127.8038 	 1.023 	 53.512
0.2155310 	 2.5095222 	 138.9706 	 1.026 	 53.490
0.2275064 	 2.6575434 	 150.2413 	 1.027 	 53.473
0.2390121 	 2.8091857 	 161.1505 	 1.029 	 53.482
0.2500928 	 2.9657798 	 170.4326 	 1.031 	 53.449
0.2607729 	 3.1266511 	 180.7091 	 1.033 	 53.423
0.2710722 	 3.2920945 	 190.7145 	 1.035 	 53.425
0.2810027 	 3.4612406 	 202.8094 	 1.037 	 53.424
0.2905887 	 3.6350172 	 211.3636 	 1.039 	 53.409
0.2998667 	 3.8123965 	 222.8692 	 1.041 	 53.373
0.3088323 	 3.9939934 	 234.6887 	 1.043 	 53.379
0.3175041 	 4.1804106 	 245.0131 	 1.044 	 53.353
0.3259044 	 4.3699012 	 255.0882 	 1.046 	 53.342
0.3340471 	 4.5621314 	 265.6189 	 1.048 	 53.308
0.3419393 	 4.7616311 	 272.8029 	 1.050 	 53.309
0.3495903 	 4.9636242 	 281.4441 	 1.053 	 53.311
0.3570135 	 5.1698525 	 292.7699 	 1.054 	 53.283
0.3642291 	 5.3798470 	 303.8662 	 1.056 	 53.265
0.3712408 	 5.5932486 	 313.2438 	 1.057 	 53.258
0.3780501 	 5.8120383 	 323.1740 	 1.060 	 53.241
0.3846695 	 6.0356793 	 334.5429 	 1.061 	 53.255
0.3911087 	 6.2592533 	 346.8192 	 1.064 	 53.216
0.3973796 	 6.4896602 	 357.6450 	 1.066 	 53.194
0.4034874 	 6.7232908 	 366.8750 	 1.067 	 53.186
0.4094402 	 6.9619679 	 373.2674 	 1.069 	 53.169
0.4152403 	 7.2019356 	 385.8661 	 1.070 	 53.156
0.4208939 	 7.4487496 	 397.0292 	 1.072 	 53.157
0.4264025 	 7.6969741 	 406.8311 	 1.074 	 53.132
0.4317741 	 7.9511253 	 416.9617 	 1.075 	 53.124
