N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002272 	 1.0008611 	 1.1026 	 0.993 	 7.114
0.0220618 	 1.1832842 	 11.9865 	 0.960 	 35.139
0.0428591 	 1.2259662 	 22.5059 	 0.998 	 47.946
0.0625930 	 1.3035547 	 32.8170 	 1.006 	 51.552
0.0813092 	 1.3960837 	 43.3809 	 1.008 	 52.632
0.0991051 	 1.4968895 	 53.4603 	 1.009 	 53.165
0.1160653 	 1.6045488 	 64.3104 	 1.011 	 53.373
0.1322417 	 1.7186903 	 75.3219 	 1.013 	 53.467
0.1476742 	 1.8363658 	 85.8115 	 1.015 	 53.587
0.1624301 	 1.9624539 	 95.7676 	 1.016 	 53.583
0.1765497 	 2.0924847 	 106.5437 	 1.019 	 53.571
0.1900695 	 2.2264774 	 117.1945 	 1.021 	 53.515
0.2030491 	 2.3655498 	 128.6470 	 1.023 	 53.510
0.2155079 	 2.5092583 	 138.4410 	 1.025 	 53.495
0.2274698 	 2.6569955 	 149.5061 	 1.027 	 53.489
0.2389784 	 2.8088525 	 159.8894 	 1.029 	 53.456
0.2500619 	 2.9659748 	 169.8645 	 1.030 	 53.447
0.2607301 	 3.1258165 	 179.6087 	 1.033 	 53.434
0.2710256 	 3.2905698 	 191.7976 	 1.034 	 53.417
0.2809546 	 3.4596205 	 203.9824 	 1.037 	 53.385
0.2905540 	 3.6333400 	 214.1658 	 1.039 	 53.390
0.2998204 	 3.8114551 	 223.5759 	 1.041 	 53.396
0.3087892 	 3.9938389 	 233.5416 	 1.043 	 53.378
0.3174727 	 4.1794444 	 243.9223 	 1.045 	 53.357
0.3258741 	 4.3687865 	 255.2239 	 1.047 	 53.335
0.3340084 	 4.5627851 	 266.6564 	 1.048 	 53.315
0.3419016 	 4.7615437 	 277.9270 	 1.050 	 53.321
0.3495616 	 4.9638027 	 289.1652 	 1.053 	 53.304
0.3569890 	 5.1704176 	 300.5434 	 1.054 	 53.288
0.3642018 	 5.3794955 	 313.1082 	 1.056 	 53.279
0.3712096 	 5.5931739 	 322.8412 	 1.058 	 53.254
0.3780227 	 5.8115375 	 333.1542 	 1.059 	 53.253
0.3846461 	 6.0358953 	 345.5179 	 1.062 	 53.253
0.3910917 	 6.2594633 	 356.8412 	 1.063 	 53.209
0.3973633 	 6.4888418 	 367.2573 	 1.065 	 53.223
0.4034692 	 6.7218009 	 377.5122 	 1.067 	 53.192
0.4094171 	 6.9614913 	 390.2640 	 1.068 	 53.179
0.4152135 	 7.2032615 	 400.1488 	 1.070 	 53.171
0.4208652 	 7.4504617 	 412.4779 	 1.071 	 53.169
0.4263737 	 7.6963503 	 422.2297 	 1.072 	 53.132
0.4317522 	 7.9486780 	 431.4844 	 1.074 	 53.119
0.4370020 	 8.2085250 	 444.4631 	 1.076 	 53.101
0.4421204 	 8.4674846 	 455.8498 	 1.077 	 53.089
0.4471262 	 8.7317246 	 464.1760 	 1.080 	 53.075
0.4520121 	 8.9994689 	 474.5500 	 1.080 	 53.066
0.4567839 	 9.2729804 	 484.5096 	 1.081 	 53.071
0.4614522 	 9.5458171 	 497.5024 	 1.082 	 53.025
0.4660133 	 9.8278299 	 510.5474 	 1.083 	 53.042
0.4704711 	 10.1112306 	 522.5739 	 1.084 	 53.039
0.4748363 	 10.4027836 	 532.3186 	 1.084 	 53.036
0.4791114 	 10.6913568 	 542.3779 	 1.086 	 53.023
0.4832946 	 10.9840936 	 552.4226 	 1.087 	 52.994
0.4873898 	 11.2870426 	 560.0149 	 1.087 	 52.984
0.4914001 	 11.5828887 	 571.9584 	 1.087 	 52.969
0.4953298 	 11.8931337 	 585.4726 	 1.087 	 52.977
0.4991801 	 12.2022529 	 591.4987 	 1.088 	 52.945
0.5029517 	 12.5126850 	 602.1130 	 1.088 	 52.926
0.5066516 	 12.8270513 	 612.3142 	 1.089 	 52.921
0.5102782 	 13.1532226 	 624.5743 	 1.089 	 52.937
0.5138347 	 13.4795768 	 638.1830 	 1.089 	 52.909
0.5173236 	 13.8051229 	 654.1640 	 1.090 	 52.903
0.5207446 	 14.1392080 	 661.9731 	 1.090 	 52.919
0.5240995 	 14.4772656 	 668.3154 	 1.090 	 52.886
0.5273929 	 14.8092167 	 684.5501 	 1.089 	 52.872
0.5306260 	 15.1570689 	 697.0358 	 1.089 	 52.864
0.5338013 	 15.5144830 	 710.3686 	 1.088 	 52.880
0.5369193 	 15.8624062 	 730.3110 	 1.088 	 52.845
0.5399800 	 16.2176460 	 757.5994 	 1.088 	 52.848
0.5429867 	 16.5844582 	 783.9782 	 1.089 	 52.848
0.5459406 	 16.9414480 	 814.3449 	 1.087 	 52.848
0.5488406 	 17.3110752 	 854.7726 	 1.085 	 52.815
0.5516915 	 17.6831830 	 917.5564 	 1.084 	 52.825
0.5544939 	 18.0553023 	 998.1241 	 1.082 	 52.822
0.5572502 	 18.4288497 	 1113.5647 	 1.082 	 52.811
0.5599599 	 18.8193538 	 1298.4515 	 1.080 	 52.816
0.5626228 	 19.2075469 	 1603.3936 	 1.078 	 52.820
0.5652423 	 19.6039179 	 2041.1725 	 1.078 	 52.821
0.5678178 	 20.0086556 	 2708.2426 	 1.076 	 52.810
0.5703496 	 20.4253183 	 3721.0668 	 1.075 	 52.790
0.5728366 	 20.8453222 	 5210.1671 	 1.074 	 52.775
0.5752824 	 21.2984449 	 7034.9268 	 1.074 	 52.790
0.5776851 	 21.7675482 	 9485.8333 	 1.075 	 52.766
0.5800394 	 22.2650609 	 12317.6967 	 1.075 	 52.744
0.5823477 	 22.7895969 	 15640.6279 	 1.075 	 52.750
0.5846082 	 23.3396601 	 19362.8652 	 1.077 	 52.724
0.5868203 	 23.9159871 	 23335.6219 	 1.076 	 52.719
0.5889849 	 24.5214066 	 27932.5517 	 1.077 	 52.717
0.5911013 	 25.1402267 	 32595.0254 	 1.077 	 52.674
0.5931689 	 25.8036795 	 37848.4408 	 1.077 	 52.653
0.5951883 	 26.4900757 	 43416.1500 	 1.076 	 52.634
0.5971609 	 27.1955193 	 49765.3452 	 1.073 	 52.625
0.5990881 	 27.9250966 	 57628.8049 	 1.070 	 52.617
0.6009674 	 28.6516756 	 67596.6476 	 1.068 	 52.560
0.6028022 	 29.4175301 	 80747.4846 	 1.063 	 52.530
0.6045921 	 30.2315052 	 96960.3143 	 1.058 	 52.526
0.6063393 	 31.0637364 	 116886.7153 	 1.055 	 52.499
0.6080413 	 31.9187456 	 140566.2046 	 1.049 	 52.459
0.6097004 	 32.8237665 	 168423.9030 	 1.044 	 52.445
0.6113165 	 33.7601676 	 200880.8259 	 1.039 	 52.432
0.6128911 	 34.7011648 	 235723.3542 	 1.034 	 52.395
0.6144251 	 35.7025617 	 273838.5784 	 1.030 	 52.384
0.6159188 	 36.7225781 	 311292.1183 	 1.024 	 52.372
0.6173727 	 37.7905454 	 343865.1334 	 1.018 	 52.371
0.6187885 	 38.8763684 	 371911.9126 	 1.012 	 52.386
0.6201655 	 39.9823466 	 389739.7180 	 1.007 	 52.401
0.6215076 	 41.1277470 	 404344.0152 	 1.002 	 52.395
0.6228144 	 42.2820425 	 413083.2588 	 0.998 	 52.438
0.6240875 	 43.4589402 	 427168.3549 	 0.994 	 52.474
0.6253285 	 44.6495167 	 453691.1273 	 0.992 	 52.527
0.6265381 	 45.8805489 	 498437.5107 	 0.990 	 52.582
0.6277165 	 47.1040549 	 561465.4820 	 0.988 	 52.617
0.6288662 	 48.4083379 	 641028.5500 	 0.987 	 52.685
0.6299868 	 49.7469164 	 724175.4251 	 0.986 	 52.714
