N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002273 	 1.0008552 	 1.1026 	 0.997 	 7.113
0.0220484 	 1.1833145 	 11.9706 	 0.961 	 35.110
0.0428361 	 1.2258151 	 22.4519 	 0.998 	 47.966
0.0625580 	 1.3034264 	 33.1262 	 1.006 	 51.577
0.0812752 	 1.3959652 	 43.6584 	 1.008 	 52.647
0.0990613 	 1.4964037 	 54.1918 	 1.010 	 53.122
0.1160213 	 1.6039198 	 64.3965 	 1.012 	 53.344
0.1321968 	 1.7181612 	 74.7394 	 1.014 	 53.454
0.1476345 	 1.8367360 	 84.7441 	 1.014 	 53.622
0.1623901 	 1.9614487 	 94.6489 	 1.017 	 53.554
0.1765133 	 2.0920539 	 104.9781 	 1.019 	 53.566
0.1900432 	 2.2259410 	 115.1303 	 1.022 	 53.514
0.2030212 	 2.3652044 	 125.6069 	 1.023 	 53.539
0.2154792 	 2.5085222 	 135.8993 	 1.026 	 53.473
0.2274486 	 2.6576155 	 147.0127 	 1.027 	 53.496
0.2389670 	 2.8089374 	 157.7918 	 1.029 	 53.466
0.2500356 	 2.9653555 	 168.8109 	 1.031 	 53.449
0.2607106 	 3.1257247 	 179.2825 	 1.033 	 53.431
0.2710070 	 3.2910669 	 189.1498 	 1.035 	 53.421
0.2809443 	 3.4601061 	 201.0793 	 1.037 	 53.394
0.2905384 	 3.6336007 	 212.5819 	 1.039 	 53.382
0.2998110 	 3.8112333 	 224.4605 	 1.040 	 53.391
0.3087842 	 3.9930661 	 235.5451 	 1.043 	 53.378
0.3174637 	 4.1787209 	 245.7036 	 1.045 	 53.344
0.3258622 	 4.3679474 	 255.3965 	 1.047 	 53.345
0.3340103 	 4.5618364 	 265.0249 	 1.048 	 53.313
0.3419034 	 4.7613083 	 274.5489 	 1.050 	 53.326
0.3495606 	 4.9634414 	 283.5923 	 1.052 	 53.310
0.3569870 	 5.1676574 	 293.7420 	 1.055 	 53.258
0.3641964 	 5.3782119 	 304.7387 	 1.056 	 53.267
0.3712132 	 5.5927822 	 313.1673 	 1.058 	 53.258
0.3780241 	 5.8096718 	 322.2302 	 1.059 	 53.235
0.3846440 	 6.0338048 	 331.3074 	 1.062 	 53.247
0.3910887 	 6.2597076 	 340.7688 	 1.063 	 53.220
0.3973617 	 6.4890549 	 348.8188 	 1.065 	 53.207
0.4034715 	 6.7232422 	 359.4018 	 1.066 	 53.196
0.4094197 	 6.9605082 	 370.1169 	 1.068 	 53.180
0.4152141 	 7.2015950 	 378.9412 	 1.070 	 53.165
0.4208638 	 7.4483689 	 388.4404 	 1.071 	 53.164
0.4263736 	 7.7013191 	 399.1773 	 1.073 	 53.178
0.4317526 	 7.9504060 	 410.2711 	 1.074 	 53.136
0.4369975 	 8.2064831 	 420.0846 	 1.076 	 53.121
0.4421179 	 8.4662799 	 427.4504 	 1.077 	 53.088
0.4471201 	 8.7323522 	 439.1401 	 1.077 	 53.084
0.4520038 	 9.0018965 	 447.9567 	 1.079 	 53.079
0.4567779 	 9.2736115 	 459.0067 	 1.081 	 53.068
0.4614452 	 9.5476381 	 466.1341 	 1.082 	 53.043
0.4660064 	 9.8285046 	 473.8475 	 1.083 	 53.044
0.4704670 	 10.1131019 	 482.1495 	 1.084 	 53.031
0.4748374 	 10.3988425 	 494.2278 	 1.084 	 53.033
0.4791087 	 10.6890797 	 504.6205 	 1.086 	 52.985
0.4832882 	 10.9809952 	 512.3665 	 1.086 	 52.991
0.4873799 	 11.2788018 	 523.7416 	 1.087 	 52.970
0.4913932 	 11.5815105 	 536.4324 	 1.087 	 52.961
0.4953228 	 11.8876073 	 543.3725 	 1.088 	 52.969
0.4991724 	 12.1992036 	 554.7478 	 1.088 	 52.943
0.5029421 	 12.5136009 	 568.1827 	 1.088 	 52.961
0.5066401 	 12.8319583 	 580.5511 	 1.090 	 52.935
0.5102662 	 13.1533123 	 595.0613 	 1.090 	 52.920
0.5138180 	 13.4780386 	 606.9662 	 1.090 	 52.923
