N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002253 	 1.0008479 	 1.1027 	 0.991 	 7.112
0.0220624 	 1.1832613 	 12.0242 	 0.960 	 35.139
0.0428583 	 1.2259876 	 22.5229 	 0.998 	 47.981
0.0625939 	 1.3036754 	 33.2199 	 1.007 	 51.563
0.0812947 	 1.3960613 	 43.0811 	 1.008 	 52.652
0.0990877 	 1.4966122 	 53.5720 	 1.009 	 53.124
0.1160455 	 1.6043255 	 64.4147 	 1.011 	 53.356
0.1322156 	 1.7183989 	 74.7298 	 1.013 	 53.455
0.1476672 	 1.8363512 	 85.0211 	 1.015 	 53.574
0.1624256 	 1.9619659 	 95.6063 	 1.017 	 53.583
0.1765494 	 2.0919479 	 105.8400 	 1.019 	 53.543
0.1900746 	 2.2263966 	 116.7064 	 1.021 	 53.529
0.2030463 	 2.3654354 	 126.5572 	 1.024 	 53.496
0.2155053 	 2.5089441 	 137.6453 	 1.025 	 53.502
0.2274644 	 2.6566934 	 148.8060 	 1.027 	 53.485
0.2389754 	 2.8083411 	 158.3448 	 1.029 	 53.451
0.2500610 	 2.9654697 	 168.9744 	 1.031 	 53.456
0.2607401 	 3.1265071 	 180.2055 	 1.033 	 53.445
0.2710349 	 3.2911232 	 192.0456 	 1.034 	 53.409
0.2809740 	 3.4605204 	 202.3671 	 1.037 	 53.410
0.2905643 	 3.6340493 	 213.8717 	 1.039 	 53.391
0.2998349 	 3.8125520 	 223.6524 	 1.041 	 53.396
0.3087992 	 3.9923861 	 234.0811 	 1.043 	 53.330
0.3174684 	 4.1787340 	 244.4347 	 1.044 	 53.349
0.3258661 	 4.3689839 	 255.1403 	 1.047 	 53.344
0.3340099 	 4.5620764 	 264.0645 	 1.049 	 53.312
0.3418999 	 4.7614705 	 276.7083 	 1.050 	 53.318
0.3495613 	 4.9633009 	 287.1245 	 1.052 	 53.320
0.3569918 	 5.1682880 	 298.8219 	 1.054 	 53.280
0.3642054 	 5.3799365 	 311.1433 	 1.057 	 53.277
0.3712138 	 5.5925025 	 320.2853 	 1.058 	 53.238
0.3780243 	 5.8115446 	 330.0327 	 1.061 	 53.270
0.3846543 	 6.0340815 	 339.3721 	 1.062 	 53.216
