N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002255 	 1.0008487 	 1.1026 	 0.985 	 7.112
0.0220436 	 1.1832007 	 12.0294 	 0.960 	 35.126
0.0428331 	 1.2259191 	 22.4701 	 0.998 	 47.954
0.0625505 	 1.3033513 	 32.9444 	 1.007 	 51.537
0.0812639 	 1.3958611 	 43.1356 	 1.008 	 52.647
0.0990521 	 1.4963912 	 54.0058 	 1.009 	 53.131
0.1160019 	 1.6043087 	 64.4634 	 1.011 	 53.368
0.1321722 	 1.7180549 	 74.8802 	 1.013 	 53.466
0.1476151 	 1.8360610 	 86.1383 	 1.014 	 53.575
0.1623728 	 1.9610477 	 96.6059 	 1.016 	 53.541
0.1764914 	 2.0915472 	 107.2944 	 1.019 	 53.541
0.1900221 	 2.2262268 	 118.2851 	 1.021 	 53.525
0.2029913 	 2.3650755 	 128.2109 	 1.023 	 53.509
0.2154477 	 2.5081434 	 139.4967 	 1.024 	 53.498
0.2274211 	 2.6563996 	 150.0907 	 1.028 	 53.477
0.2389302 	 2.8080779 	 161.0400 	 1.029 	 53.453
0.2500141 	 2.9649022 	 170.8714 	 1.031 	 53.447
0.2606958 	 3.1254977 	 181.0079 	 1.033 	 53.440
0.2709875 	 3.2902902 	 190.5103 	 1.034 	 53.438
0.2809321 	 3.4594576 	 201.3074 	 1.037 	 53.388
0.2905283 	 3.6334398 	 212.5402 	 1.038 	 53.388
0.2998059 	 3.8106701 	 223.8271 	 1.040 	 53.374
0.3087711 	 3.9918067 	 233.5428 	 1.043 	 53.350
0.3174528 	 4.1803948 	 242.5248 	 1.044 	 53.381
0.3258565 	 4.3691127 	 255.2001 	 1.046 	 53.348
0.3339985 	 4.5636594 	 265.2063 	 1.048 	 53.333
0.3418915 	 4.7610908 	 275.6647 	 1.050 	 53.325
0.3495425 	 4.9624565 	 286.2334 	 1.051 	 53.298
0.3569737 	 5.1679383 	 297.3189 	 1.054 	 53.274
0.3641830 	 5.3779118 	 308.0970 	 1.056 	 53.283
0.3711915 	 5.5910673 	 316.1775 	 1.058 	 53.243
0.3780006 	 5.8102474 	 323.6375 	 1.060 	 53.237
0.3846222 	 6.0323660 	 334.9050 	 1.061 	 53.221
