N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002270 	 1.0008535 	 1.1026 	 1.000 	 7.113
0.0220640 	 1.1832976 	 11.9873 	 0.960 	 35.122
0.0428555 	 1.2259653 	 22.4227 	 0.997 	 47.959
0.0625751 	 1.3035593 	 33.1646 	 1.006 	 51.579
0.0812875 	 1.3960285 	 43.9241 	 1.008 	 52.657
0.0990786 	 1.4966714 	 54.3955 	 1.009 	 53.125
0.1160509 	 1.6047047 	 64.4252 	 1.011 	 53.374
0.1322320 	 1.7186841 	 74.8579 	 1.013 	 53.489
0.1476797 	 1.8364406 	 85.2478 	 1.014 	 53.597
0.1624427 	 1.9620734 	 95.3011 	 1.017 	 53.577
0.1765724 	 2.0922404 	 106.3926 	 1.019 	 53.549
0.1901058 	 2.2269570 	 116.7185 	 1.021 	 53.527
0.2030790 	 2.3659166 	 127.4712 	 1.023 	 53.518
0.2155351 	 2.5094349 	 137.9409 	 1.025 	 53.485
0.2275041 	 2.6575442 	 148.3228 	 1.027 	 53.496
0.2390131 	 2.8093420 	 158.1903 	 1.029 	 53.460
0.2500912 	 2.9661299 	 169.9608 	 1.031 	 53.464
0.2607621 	 3.1267726 	 180.4174 	 1.033 	 53.436
0.2710507 	 3.2910476 	 191.7145 	 1.035 	 53.400
0.2809934 	 3.4609438 	 202.8571 	 1.036 	 53.395
0.2905928 	 3.6340883 	 213.1200 	 1.038 	 53.383
0.2998635 	 3.8121637 	 223.0893 	 1.041 	 53.381
0.3088227 	 3.9937658 	 231.2964 	 1.042 	 53.381
0.3174991 	 4.1794243 	 241.1831 	 1.044 	 53.337
0.3259007 	 4.3687177 	 252.4930 	 1.046 	 53.337
0.3340399 	 4.5635522 	 263.2222 	 1.048 	 53.333
0.3419320 	 4.7626082 	 275.8708 	 1.051 	 53.318
0.3495969 	 4.9637894 	 286.2266 	 1.052 	 53.296
0.3570293 	 5.1711372 	 297.7434 	 1.055 	 53.303
0.3642479 	 5.3797354 	 304.2859 	 1.056 	 53.271
0.3712548 	 5.5927021 	 315.2609 	 1.057 	 53.249
0.3780700 	 5.8151098 	 327.2503 	 1.059 	 53.262
0.3846929 	 6.0353125 	 336.9722 	 1.062 	 53.235
0.3911371 	 6.2623754 	 348.2171 	 1.064 	 53.234
0.3974049 	 6.4897694 	 360.4602 	 1.064 	 53.197
0.4035098 	 6.7226177 	 371.6009 	 1.066 	 53.192
0.4094563 	 6.9607672 	 380.1865 	 1.068 	 53.163
0.4152494 	 7.2023673 	 391.3089 	 1.069 	 53.133
0.4209014 	 7.4472298 	 400.9440 	 1.072 	 53.152
0.4264142 	 7.6998144 	 410.5883 	 1.073 	 53.143
0.4317887 	 7.9526369 	 422.7293 	 1.074 	 53.119
0.4370356 	 8.2089226 	 431.7329 	 1.075 	 53.112
0.4421544 	 8.4692750 	 443.4313 	 1.076 	 53.101
0.4471548 	 8.7349139 	 453.6426 	 1.077 	 53.085
0.4520380 	 9.0042434 	 464.1459 	 1.079 	 53.068
0.4568151 	 9.2747767 	 473.5895 	 1.079 	 53.091
0.4614835 	 9.5531705 	 484.6778 	 1.081 	 53.069
0.4660442 	 9.8314401 	 494.9126 	 1.082 	 53.064
0.4705072 	 10.1156302 	 503.4118 	 1.083 	 53.034
0.4748731 	 10.4011794 	 511.5696 	 1.085 	 53.018
0.4791504 	 10.6942810 	 520.8452 	 1.085 	 53.009
0.4833349 	 10.9861887 	 526.2352 	 1.087 	 52.972
0.4874257 	 11.2857868 	 538.0250 	 1.088 	 52.971
0.4914342 	 11.5886406 	 548.1552 	 1.088 	 52.971
0.4953624 	 11.8899436 	 558.4457 	 1.089 	 52.959
0.4992106 	 12.2027475 	 569.7704 	 1.089 	 52.953
0.5029821 	 12.5179450 	 579.3780 	 1.089 	 52.949
0.5066773 	 12.8319761 	 589.7146 	 1.089 	 52.911
0.5102976 	 13.1575212 	 601.3676 	 1.090 	 52.928
0.5138534 	 13.4837431 	 610.9387 	 1.090 	 52.922
0.5173368 	 13.8110525 	 619.1058 	 1.090 	 52.906
0.5207574 	 14.1405288 	 630.3054 	 1.092 	 52.904
0.5241127 	 14.4761587 	 651.7926 	 1.091 	 52.880
0.5274062 	 14.8184824 	 661.9599 	 1.091 	 52.872
0.5306407 	 15.1617821 	 676.5938 	 1.090 	 52.858
0.5338177 	 15.5125846 	 695.9423 	 1.090 	 52.871
0.5369342 	 15.8601834 	 714.2527 	 1.089 	 52.865
0.5399957 	 16.2218477 	 736.7624 	 1.090 	 52.848
0.5430019 	 16.5829678 	 766.5188 	 1.089 	 52.830
0.5459556 	 16.9501832 	 801.6774 	 1.088 	 52.831
0.5488576 	 17.3209333 	 839.1435 	 1.086 	 52.817
0.5517079 	 17.6866683 	 896.4446 	 1.085 	 52.817
0.5545115 	 18.0611281 	 975.2905 	 1.084 	 52.810
0.5572660 	 18.4467208 	 1076.9764 	 1.082 	 52.813
0.5599743 	 18.8325038 	 1241.0170 	 1.080 	 52.796
0.5626356 	 19.2264813 	 1469.5320 	 1.078 	 52.797
0.5652526 	 19.6373256 	 1830.5178 	 1.078 	 52.796
0.5678226 	 20.0366932 	 2351.4730 	 1.075 	 52.779
0.5703488 	 20.4605130 	 3104.6151 	 1.073 	 52.779
0.5728302 	 20.9005072 	 4195.1300 	 1.071 	 52.787
0.5752691 	 21.3467122 	 5806.7414 	 1.069 	 52.782
0.5776648 	 21.8174542 	 8130.5081 	 1.066 	 52.779
0.5800141 	 22.3051577 	 11759.2951 	 1.062 	 52.783
0.5823184 	 22.8172428 	 17217.2873 	 1.058 	 52.804
0.5845748 	 23.3381947 	 25572.5378 	 1.052 	 52.802
0.5867893 	 23.8864276 	 37369.2159 	 1.046 	 52.846
0.5889577 	 24.4471838 	 53481.9051 	 1.037 	 52.854
0.5910829 	 25.0342931 	 75332.6545 	 1.028 	 52.888
0.5931635 	 25.6499145 	 102874.9179 	 1.018 	 52.919
0.5951972 	 26.2826419 	 136042.8552 	 1.007 	 52.937
0.5971871 	 26.9628829 	 172870.8377 	 0.998 	 52.979
0.5991315 	 27.6587161 	 213014.5235 	 0.989 	 52.993
0.6010285 	 28.3798520 	 252645.8234 	 0.980 	 53.026
0.6028819 	 29.1348613 	 287506.9989 	 0.974 	 53.005
0.6046905 	 29.9403126 	 317901.5975 	 0.968 	 53.031
0.6064539 	 30.7650636 	 343780.0573 	 0.965 	 53.038
0.6081719 	 31.6408893 	 359332.4218 	 0.962 	 53.028
0.6098467 	 32.5575862 	 367662.2502 	 0.963 	 53.018
0.6114769 	 33.4961636 	 367531.0814 	 0.964 	 53.011
0.6130642 	 34.4869165 	 364794.3931 	 0.968 	 52.985
0.6146086 	 35.5013317 	 358749.6853 	 0.973 	 52.927
0.6161096 	 36.5678522 	 352864.6118 	 0.980 	 52.885
0.6175710 	 37.6709048 	 356168.3770 	 0.988 	 52.848
0.6189910 	 38.7937063 	 364112.9531 	 0.996 	 52.764
0.6203705 	 39.9867449 	 382032.7680 	 1.007 	 52.706
0.6217113 	 41.2186930 	 407854.1735 	 1.017 	 52.662
0.6230141 	 42.4877538 	 441303.5125 	 1.026 	 52.590
0.6242794 	 43.8256462 	 477754.7523 	 1.037 	 52.558
0.6255079 	 45.2061278 	 516231.5922 	 1.045 	 52.505
0.6266998 	 46.6500963 	 556061.5404 	 1.057 	 52.436
0.6278555 	 48.1371040 	 588156.8434 	 1.064 	 52.408
0.6289766 	 49.6784010 	 617763.8510 	 1.072 	 52.366
