N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002258 	 1.0008519 	 1.1027 	 0.991 	 7.112
0.0220695 	 1.1831467 	 12.0472 	 0.961 	 35.149
0.0428759 	 1.2260271 	 22.5092 	 0.999 	 47.968
0.0625956 	 1.3037042 	 32.8615 	 1.006 	 51.552
0.0813119 	 1.3961538 	 43.2819 	 1.008 	 52.645
0.0991102 	 1.4967458 	 53.8694 	 1.010 	 53.144
0.1160506 	 1.6041781 	 64.0415 	 1.012 	 53.352
0.1322231 	 1.7183587 	 74.2303 	 1.013 	 53.473
0.1476712 	 1.8364091 	 84.3123 	 1.015 	 53.569
0.1624272 	 1.9623336 	 94.2252 	 1.017 	 53.581
0.1765548 	 2.0925141 	 104.5559 	 1.019 	 53.560
0.1900821 	 2.2269863 	 115.5713 	 1.022 	 53.528
0.2030504 	 2.3652960 	 125.9530 	 1.023 	 53.502
0.2155020 	 2.5090012 	 136.6277 	 1.025 	 53.504
0.2274727 	 2.6572181 	 147.0245 	 1.027 	 53.482
0.2389858 	 2.8095988 	 158.2998 	 1.029 	 53.462
0.2500720 	 2.9655656 	 168.2020 	 1.030 	 53.434
0.2607385 	 3.1267367 	 178.6416 	 1.033 	 53.444
0.2710323 	 3.2910838 	 187.5427 	 1.035 	 53.420
0.2809683 	 3.4605471 	 198.1078 	 1.036 	 53.411
0.2905637 	 3.6341351 	 209.0441 	 1.039 	 53.391
0.2998445 	 3.8117777 	 220.1517 	 1.040 	 53.385
0.3088083 	 3.9934457 	 229.5948 	 1.042 	 53.365
0.3174838 	 4.1794772 	 238.6302 	 1.045 	 53.353
0.3258863 	 4.3694068 	 249.5879 	 1.047 	 53.340
0.3340262 	 4.5646667 	 258.3756 	 1.048 	 53.349
0.3419189 	 4.7613741 	 266.9538 	 1.050 	 53.302
0.3495716 	 4.9630114 	 275.9017 	 1.052 	 53.295
0.3570008 	 5.1694863 	 286.3986 	 1.054 	 53.293
0.3642145 	 5.3791400 	 297.6204 	 1.056 	 53.264
