N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002248 	 1.0008482 	 1.1026 	 0.989 	 7.112
0.0220545 	 1.1831736 	 12.0648 	 0.961 	 35.108
0.0428434 	 1.2259910 	 22.6025 	 0.998 	 47.955
0.0625777 	 1.3035460 	 33.1529 	 1.007 	 51.551
0.0812921 	 1.3960331 	 43.6331 	 1.009 	 52.617
0.0990946 	 1.4966751 	 54.1477 	 1.010 	 53.127
0.1160404 	 1.6044027 	 64.4091 	 1.011 	 53.366
0.1322196 	 1.7183816 	 74.2811 	 1.014 	 53.482
0.1476689 	 1.8366764 	 84.2365 	 1.014 	 53.579
0.1624266 	 1.9617938 	 94.7346 	 1.017 	 53.547
0.1765432 	 2.0920466 	 105.5540 	 1.019 	 53.554
0.1900742 	 2.2268088 	 115.5798 	 1.022 	 53.538
0.2030507 	 2.3658212 	 126.5236 	 1.024 	 53.518
0.2155127 	 2.5090943 	 135.3094 	 1.025 	 53.482
0.2274721 	 2.6567551 	 147.0080 	 1.028 	 53.472
0.2389865 	 2.8090176 	 157.7223 	 1.030 	 53.467
0.2500777 	 2.9656714 	 168.3957 	 1.031 	 53.443
0.2607582 	 3.1268732 	 177.7474 	 1.033 	 53.451
0.2710525 	 3.2916979 	 187.2311 	 1.034 	 53.424
0.2809809 	 3.4606811 	 198.3509 	 1.037 	 53.422
0.2905766 	 3.6337869 	 208.3200 	 1.039 	 53.399
0.2998505 	 3.8116070 	 218.6542 	 1.040 	 53.371
0.3088100 	 3.9935858 	 230.1017 	 1.042 	 53.372
0.3174864 	 4.1786810 	 239.3939 	 1.044 	 53.340
0.3258843 	 4.3699879 	 248.1947 	 1.047 	 53.350
0.3340235 	 4.5631068 	 261.2108 	 1.048 	 53.324
0.3419147 	 4.7613770 	 272.7940 	 1.050 	 53.330
0.3495728 	 4.9628292 	 280.7518 	 1.053 	 53.293
0.3570034 	 5.1682780 	 290.7858 	 1.054 	 53.291
0.3642150 	 5.3789436 	 301.3691 	 1.057 	 53.268
0.3712244 	 5.5944361 	 312.1741 	 1.059 	 53.265
0.3780325 	 5.8124755 	 325.2269 	 1.059 	 53.255
0.3846626 	 6.0353918 	 336.2180 	 1.062 	 53.260
0.3910992 	 6.2586890 	 348.7683 	 1.064 	 53.207
0.3973706 	 6.4907102 	 357.3750 	 1.066 	 53.225
0.4034755 	 6.7214332 	 367.3458 	 1.066 	 53.201
0.4094270 	 6.9606040 	 380.6639 	 1.068 	 53.169
0.4152244 	 7.2007001 	 390.7703 	 1.070 	 53.147
0.4208737 	 7.4474621 	 399.0362 	 1.071 	 53.156
0.4263834 	 7.6946980 	 411.6524 	 1.073 	 53.109
0.4317619 	 7.9487230 	 422.6339 	 1.074 	 53.124
0.4370113 	 8.2085245 	 431.9977 	 1.075 	 53.113
0.4421302 	 8.4714953 	 442.8696 	 1.076 	 53.121
0.4471289 	 8.7341812 	 454.4705 	 1.078 	 53.108
0.4520130 	 9.0030991 	 464.1069 	 1.079 	 53.081
0.4567851 	 9.2732178 	 469.3073 	 1.080 	 53.062
0.4614524 	 9.5510222 	 475.3400 	 1.081 	 53.049
0.4660158 	 9.8267468 	 483.6653 	 1.082 	 53.035
0.4704798 	 10.1153252 	 494.5032 	 1.083 	 53.041
0.4748441 	 10.4009488 	 508.6646 	 1.084 	 53.033
0.4791178 	 10.6898486 	 520.4046 	 1.085 	 53.012
0.4832983 	 10.9814262 	 530.0807 	 1.086 	 52.985
0.4873940 	 11.2806045 	 538.9299 	 1.087 	 52.986
0.4914073 	 11.5826122 	 551.3644 	 1.087 	 52.961
0.4953383 	 11.8886234 	 560.3200 	 1.089 	 52.979
0.4991874 	 12.1985081 	 566.4342 	 1.089 	 52.949
0.5029598 	 12.5126211 	 574.9266 	 1.090 	 52.929
0.5066573 	 12.8320000 	 593.0195 	 1.090 	 52.922
0.5102849 	 13.1578690 	 602.6487 	 1.091 	 52.937
0.5138367 	 13.4784123 	 613.3933 	 1.093 	 52.896
0.5173240 	 13.8099870 	 628.8849 	 1.092 	 52.894
0.5207466 	 14.1418375 	 641.7250 	 1.093 	 52.904
0.5241009 	 14.4779390 	 660.7471 	 1.094 	 52.872
0.5273941 	 14.8149794 	 670.9334 	 1.092 	 52.855
0.5306275 	 15.1640566 	 689.2535 	 1.092 	 52.867
0.5337977 	 15.5183917 	 711.7483 	 1.092 	 52.864
0.5369128 	 15.8724904 	 740.4245 	 1.090 	 52.854
0.5399737 	 16.2221088 	 767.8156 	 1.091 	 52.844
0.5429782 	 16.5825764 	 797.8303 	 1.091 	 52.839
0.5459311 	 16.9434803 	 836.7384 	 1.089 	 52.805
0.5488347 	 17.3148233 	 874.5744 	 1.088 	 52.814
0.5516841 	 17.6914183 	 933.2050 	 1.087 	 52.842
0.5544868 	 18.0613951 	 1016.9870 	 1.084 	 52.828
0.5572423 	 18.4385666 	 1144.4439 	 1.082 	 52.829
0.5599498 	 18.8223239 	 1347.4652 	 1.081 	 52.806
0.5626121 	 19.2130707 	 1684.2678 	 1.079 	 52.805
0.5652300 	 19.6061835 	 2219.4646 	 1.076 	 52.809
0.5678041 	 20.0144447 	 3087.9405 	 1.074 	 52.783
0.5703349 	 20.4337215 	 4532.6450 	 1.071 	 52.806
0.5728224 	 20.8605671 	 6607.2406 	 1.069 	 52.797
0.5752658 	 21.3006527 	 9517.3967 	 1.065 	 52.803
0.5776682 	 21.7489516 	 13734.8482 	 1.060 	 52.795
0.5800270 	 22.2053338 	 19502.8732 	 1.055 	 52.804
0.5823459 	 22.6928075 	 26531.5577 	 1.049 	 52.829
0.5846207 	 23.1809377 	 35001.1927 	 1.043 	 52.850
0.5868527 	 23.6773057 	 46036.4678 	 1.038 	 52.853
0.5890435 	 24.2076435 	 58423.7752 	 1.032 	 52.885
0.5911923 	 24.7456606 	 73719.6369 	 1.028 	 52.878
0.5932967 	 25.3270825 	 91731.6792 	 1.024 	 52.917
0.5953612 	 25.9367187 	 113353.2651 	 1.023 	 52.925
0.5973805 	 26.5754297 	 137389.7580 	 1.022 	 52.938
0.5993533 	 27.2390175 	 164789.9188 	 1.021 	 52.941
0.6012819 	 27.9651609 	 190756.6331 	 1.023 	 52.943
0.6031662 	 28.7425791 	 215699.0192 	 1.025 	 52.952
0.6050017 	 29.5555218 	 238591.4199 	 1.027 	 52.954
0.6067887 	 30.4149537 	 259475.0684 	 1.031 	 52.962
0.6085290 	 31.3229416 	 276750.3509 	 1.033 	 52.934
0.6102208 	 32.2962355 	 292319.9572 	 1.036 	 52.947
0.6118639 	 33.3036570 	 304384.7180 	 1.039 	 52.954
0.6134602 	 34.3589411 	 314721.2801 	 1.040 	 52.901
0.6150101 	 35.4522768 	 323942.7627 	 1.042 	 52.912
0.6165133 	 36.6089521 	 332020.6547 	 1.043 	 52.909
0.6179707 	 37.7937283 	 340945.0754 	 1.044 	 52.887
0.6193846 	 39.0068629 	 348976.4606 	 1.045 	 52.856
0.6207561 	 40.3083490 	 356000.8941 	 1.044 	 52.893
0.6220854 	 41.6296055 	 362956.4069 	 1.044 	 52.869
0.6233752 	 42.9961212 	 369029.5093 	 1.044 	 52.844
0.6246244 	 44.4051283 	 374662.6980 	 1.043 	 52.836
0.6258346 	 45.8756237 	 378720.3991 	 1.043 	 52.832
0.6270088 	 47.3761369 	 377331.2059 	 1.042 	 52.808
0.6281475 	 48.8932514 	 376831.5028 	 1.042 	 52.773
0.6292523 	 50.4313072 	 370510.9902 	 1.042 	 52.757
