N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002263 	 1.0008542 	 1.1027 	 0.995 	 7.113
0.0220548 	 1.1832836 	 12.0110 	 0.960 	 35.116
0.0428574 	 1.2260314 	 22.4452 	 0.998 	 47.964
0.0625679 	 1.3035002 	 33.0519 	 1.006 	 51.550
0.0812823 	 1.3959401 	 43.6998 	 1.008 	 52.639
0.0990632 	 1.4964501 	 54.4582 	 1.010 	 53.116
0.1160252 	 1.6041804 	 65.0170 	 1.011 	 53.349
0.1321949 	 1.7179793 	 75.3276 	 1.013 	 53.459
0.1476518 	 1.8361872 	 86.4413 	 1.014 	 53.596
0.1624094 	 1.9619020 	 96.8273 	 1.016 	 53.571
0.1765316 	 2.0915587 	 107.4018 	 1.019 	 53.523
0.1900667 	 2.2269002 	 117.4277 	 1.021 	 53.532
0.2030381 	 2.3652649 	 127.3048 	 1.023 	 53.485
0.2155035 	 2.5087035 	 137.4873 	 1.025 	 53.480
0.2274730 	 2.6572709 	 148.0016 	 1.027 	 53.477
0.2389940 	 2.8097717 	 157.3792 	 1.029 	 53.474
0.2500770 	 2.9654393 	 167.3400 	 1.030 	 53.442
0.2607507 	 3.1267986 	 176.8654 	 1.033 	 53.426
0.2710425 	 3.2910406 	 187.0852 	 1.036 	 53.417
0.2809775 	 3.4610491 	 197.8788 	 1.036 	 53.416
0.2905644 	 3.6343008 	 207.9520 	 1.038 	 53.403
0.2998369 	 3.8120880 	 219.2509 	 1.041 	 53.393
0.3088068 	 3.9935573 	 228.7455 	 1.043 	 53.362
0.3174801 	 4.1801437 	 238.1720 	 1.044 	 53.352
0.3258860 	 4.3694588 	 248.2745 	 1.046 	 53.337
0.3340256 	 4.5630208 	 258.4576 	 1.049 	 53.330
0.3419235 	 4.7608788 	 269.0802 	 1.050 	 53.304
0.3495810 	 4.9650714 	 280.1825 	 1.053 	 53.311
0.3570119 	 5.1699945 	 290.6322 	 1.055 	 53.278
0.3642255 	 5.3801888 	 301.9464 	 1.056 	 53.273
0.3712309 	 5.5924603 	 311.7922 	 1.058 	 53.264
0.3780394 	 5.8115604 	 322.8790 	 1.059 	 53.261
0.3846628 	 6.0337605 	 333.0873 	 1.062 	 53.228
0.3911072 	 6.2578710 	 345.3331 	 1.063 	 53.209
0.3973787 	 6.4884328 	 356.1372 	 1.064 	 53.177
0.4034835 	 6.7243031 	 367.2443 	 1.067 	 53.197
0.4094337 	 6.9641667 	 377.2303 	 1.069 	 53.198
0.4152286 	 7.2029456 	 386.3789 	 1.070 	 53.152
0.4208799 	 7.4489323 	 399.3887 	 1.071 	 53.157
0.4263872 	 7.6984831 	 409.6561 	 1.073 	 53.139
0.4317648 	 7.9511810 	 417.5029 	 1.074 	 53.123
0.4370083 	 8.2092431 	 424.2853 	 1.075 	 53.114
0.4421308 	 8.4697971 	 436.3942 	 1.077 	 53.102
0.4471315 	 8.7349212 	 444.9221 	 1.078 	 53.097
0.4520183 	 9.0017261 	 450.5334 	 1.079 	 53.075
0.4567973 	 9.2719939 	 459.9116 	 1.080 	 53.055
0.4614664 	 9.5534887 	 470.9274 	 1.081 	 53.063
