N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002264 	 1.0008553 	 1.1025 	 0.996 	 7.113
0.0220722 	 1.1832222 	 12.0659 	 0.960 	 35.159
0.0428740 	 1.2260101 	 22.5924 	 0.998 	 47.988
0.0625834 	 1.3034430 	 32.8793 	 1.006 	 51.568
0.0813032 	 1.3961344 	 43.2733 	 1.008 	 52.630
0.0991013 	 1.4967751 	 53.6502 	 1.009 	 53.128
0.1160595 	 1.6043673 	 63.9888 	 1.011 	 53.357
0.1322291 	 1.7185768 	 74.5309 	 1.013 	 53.456
0.1476633 	 1.8363911 	 84.4123 	 1.014 	 53.587
0.1624272 	 1.9620782 	 94.3875 	 1.017 	 53.545
0.1765527 	 2.0920164 	 104.4457 	 1.019 	 53.556
0.1900840 	 2.2265663 	 113.9727 	 1.021 	 53.518
0.2030621 	 2.3661749 	 124.7327 	 1.023 	 53.519
0.2155120 	 2.5088608 	 134.6947 	 1.026 	 53.477
0.2274780 	 2.6566501 	 145.1212 	 1.027 	 53.462
0.2389859 	 2.8097192 	 154.8167 	 1.029 	 53.484
0.2500667 	 2.9654908 	 166.8816 	 1.031 	 53.449
0.2607424 	 3.1262661 	 176.6268 	 1.033 	 53.436
0.2710436 	 3.2919851 	 187.2403 	 1.035 	 53.430
0.2809798 	 3.4613908 	 197.0463 	 1.036 	 53.425
0.2905693 	 3.6351220 	 206.6734 	 1.039 	 53.412
0.2998417 	 3.8111721 	 218.4703 	 1.041 	 53.363
0.3088114 	 3.9935249 	 229.8554 	 1.043 	 53.354
0.3174790 	 4.1798956 	 241.2233 	 1.044 	 53.359
0.3258806 	 4.3697253 	 251.6438 	 1.046 	 53.350
0.3340213 	 4.5630954 	 262.5981 	 1.048 	 53.354
0.3419152 	 4.7611454 	 271.6758 	 1.051 	 53.306
0.3495661 	 4.9631713 	 279.2611 	 1.052 	 53.303
0.3569958 	 5.1687287 	 291.6394 	 1.054 	 53.296
0.3642093 	 5.3776486 	 303.7950 	 1.056 	 53.252
0.3712166 	 5.5934506 	 315.5374 	 1.057 	 53.259
0.3780255 	 5.8119267 	 327.3088 	 1.060 	 53.259
0.3846517 	 6.0318097 	 339.0146 	 1.062 	 53.213
0.3911004 	 6.2619225 	 350.2246 	 1.063 	 53.229
0.3973745 	 6.4886735 	 359.6267 	 1.066 	 53.199
0.4034808 	 6.7226004 	 370.6211 	 1.067 	 53.196
0.4094303 	 6.9605430 	 381.5368 	 1.067 	 53.184
0.4152242 	 7.2025612 	 390.4274 	 1.070 	 53.156
0.4208788 	 7.4490039 	 401.6329 	 1.070 	 53.151
0.4263910 	 7.6991053 	 410.2755 	 1.072 	 53.154
0.4317665 	 7.9499372 	 421.3540 	 1.074 	 53.123
0.4370089 	 8.2089925 	 431.2500 	 1.076 	 53.117
0.4421282 	 8.4664872 	 440.3622 	 1.077 	 53.110
0.4471307 	 8.7331938 	 449.5356 	 1.078 	 53.093
0.4520154 	 9.0008473 	 457.3142 	 1.079 	 53.077
0.4567883 	 9.2701289 	 466.2447 	 1.081 	 53.044
0.4614547 	 9.5472696 	 476.9985 	 1.082 	 53.055
0.4660142 	 9.8302271 	 486.5169 	 1.084 	 53.043
0.4704760 	 10.1108573 	 497.7494 	 1.085 	 53.018
0.4748436 	 10.3985582 	 505.1414 	 1.085 	 53.016
0.4791176 	 10.6913007 	 513.4154 	 1.085 	 53.014
0.4832998 	 10.9858213 	 523.2435 	 1.087 	 52.994
0.4873968 	 11.2817564 	 525.8303 	 1.086 	 52.974
0.4914083 	 11.5867822 	 535.4693 	 1.086 	 52.983
0.4953344 	 11.8906646 	 546.5097 	 1.088 	 52.958
0.4991833 	 12.2023135 	 559.3734 	 1.088 	 52.934
0.5029555 	 12.5149426 	 566.2494 	 1.089 	 52.943
0.5066498 	 12.8351267 	 574.4048 	 1.090 	 52.954
0.5102750 	 13.1538896 	 585.6915 	 1.090 	 52.909
0.5138318 	 13.4770933 	 594.0843 	 1.091 	 52.896
0.5173186 	 13.8076608 	 606.3825 	 1.089 	 52.898
0.5207387 	 14.1394522 	 614.9073 	 1.091 	 52.875
0.5240943 	 14.4723011 	 628.1721 	 1.091 	 52.881
0.5273903 	 14.8193769 	 639.9412 	 1.092 	 52.901
0.5306214 	 15.1583682 	 654.9435 	 1.091 	 52.863
0.5337972 	 15.5128917 	 670.6132 	 1.091 	 52.881
