N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002267 	 1.0008635 	 1.1026 	 1.000 	 7.114
0.0220678 	 1.1832072 	 11.9870 	 0.960 	 35.164
0.0428709 	 1.2260839 	 22.5151 	 0.998 	 47.971
0.0625922 	 1.3036424 	 32.8402 	 1.006 	 51.564
0.0813051 	 1.3961636 	 43.2932 	 1.008 	 52.636
0.0990983 	 1.4966841 	 53.9869 	 1.010 	 53.121
0.1160553 	 1.6044707 	 64.2817 	 1.011 	 53.373
0.1322256 	 1.7154661 	 74.9478 	 1.011 	 53.397
0.1476749 	 1.8366706 	 85.7464 	 1.015 	 53.584
0.1624317 	 1.9621716 	 96.2786 	 1.016 	 53.586
0.1765467 	 2.0921816 	 107.1403 	 1.019 	 53.549
0.1900878 	 2.2267764 	 117.3440 	 1.021 	 53.537
0.2030712 	 2.3656191 	 126.9163 	 1.023 	 53.505
0.2155285 	 2.5094654 	 137.4093 	 1.025 	 53.499
0.2274966 	 2.6571667 	 147.9473 	 1.027 	 53.478
0.2390018 	 2.8097335 	 159.8387 	 1.029 	 53.473
0.2500816 	 2.9665392 	 169.7095 	 1.031 	 53.458
0.2607637 	 3.1264441 	 180.3739 	 1.032 	 53.420
0.2710581 	 3.2919092 	 190.4665 	 1.035 	 53.434
0.2809919 	 3.4617093 	 198.8906 	 1.037 	 53.433
0.2905874 	 3.6340659 	 208.1826 	 1.039 	 53.378
0.2998693 	 3.8118038 	 218.8298 	 1.040 	 53.369
0.3088363 	 3.9943821 	 228.2905 	 1.043 	 53.380
0.3175105 	 4.1802231 	 238.2891 	 1.045 	 53.358
0.3259156 	 4.3703653 	 247.7442 	 1.046 	 53.353
0.3340587 	 4.5627644 	 259.7029 	 1.049 	 53.328
0.3419484 	 4.7621305 	 271.0442 	 1.050 	 53.334
0.3496003 	 4.9633736 	 280.8289 	 1.052 	 53.294
0.3570241 	 5.1698028 	 287.8767 	 1.054 	 53.272
0.3642350 	 5.3809371 	 299.3358 	 1.056 	 53.285
0.3712430 	 5.5936715 	 308.3128 	 1.058 	 53.252
0.3780530 	 5.8130651 	 317.7808 	 1.060 	 53.260
0.3846754 	 6.0347420 	 329.4213 	 1.061 	 53.239
0.3911204 	 6.2593443 	 338.3386 	 1.063 	 53.223
0.3973930 	 6.4895502 	 347.7849 	 1.065 	 53.194
0.4034999 	 6.7237862 	 355.9286 	 1.067 	 53.191
0.4094477 	 6.9609893 	 365.6972 	 1.069 	 53.186
0.4152390 	 7.2039478 	 375.2894 	 1.070 	 53.175
0.4208886 	 7.4487500 	 387.4526 	 1.071 	 53.164
0.4263986 	 7.6983493 	 397.9435 	 1.072 	 53.137
0.4317745 	 7.9492517 	 411.5017 	 1.073 	 53.121
0.4370216 	 8.2091784 	 420.5061 	 1.076 	 53.107
0.4421446 	 8.4702826 	 427.7216 	 1.078 	 53.107
0.4471471 	 8.7341105 	 442.6437 	 1.078 	 53.082
0.4520295 	 9.0059546 	 452.5207 	 1.079 	 53.091
0.4568010 	 9.2723538 	 460.1988 	 1.080 	 53.057
0.4614657 	 9.5526604 	 466.5647 	 1.081 	 53.045
0.4660271 	 9.8310459 	 476.2477 	 1.082 	 53.063
0.4704906 	 10.1130246 	 485.3594 	 1.083 	 53.021
0.4748566 	 10.4003599 	 492.2554 	 1.083 	 53.026
0.4791273 	 10.6902300 	 502.6529 	 1.084 	 53.004
0.4833083 	 10.9846334 	 515.7640 	 1.085 	 53.000
0.4874048 	 11.2811171 	 525.4565 	 1.086 	 52.978
0.4914155 	 11.5870549 	 538.1530 	 1.088 	 52.973
0.4953414 	 11.8877766 	 545.7518 	 1.088 	 52.959
0.4991938 	 12.2014684 	 558.0010 	 1.089 	 52.953
0.5029708 	 12.5177142 	 571.0287 	 1.088 	 52.951
0.5066670 	 12.8304883 	 579.2877 	 1.090 	 52.939
0.5102918 	 13.1524722 	 592.1684 	 1.090 	 52.916
0.5138442 	 13.4789923 	 602.0698 	 1.090 	 52.915
0.5173302 	 13.8129840 	 617.6343 	 1.089 	 52.917
0.5207469 	 14.1429029 	 629.9199 	 1.091 	 52.908
0.5241026 	 14.4736126 	 640.9650 	 1.091 	 52.886
0.5273970 	 14.8158424 	 647.6600 	 1.090 	 52.887
0.5306286 	 15.1638018 	 668.2328 	 1.091 	 52.882
0.5338027 	 15.5093595 	 683.3591 	 1.090 	 52.855
0.5369177 	 15.8662784 	 699.7454 	 1.091 	 52.870
0.5399793 	 16.2184394 	 721.3950 	 1.090 	 52.834
0.5429854 	 16.5841446 	 746.1523 	 1.090 	 52.849
0.5459383 	 16.9457456 	 775.7383 	 1.088 	 52.844
0.5488396 	 17.3153894 	 818.0886 	 1.087 	 52.813
0.5516908 	 17.6897989 	 868.4037 	 1.085 	 52.806
0.5544904 	 18.0700059 	 940.0099 	 1.084 	 52.818
0.5572435 	 18.4509318 	 1054.2623 	 1.083 	 52.822
0.5599507 	 18.8383959 	 1189.7809 	 1.082 	 52.794
0.5626112 	 19.2337057 	 1380.7094 	 1.081 	 52.790
0.5652278 	 19.6542785 	 1652.2741 	 1.081 	 52.801
0.5677950 	 20.0687465 	 2059.1986 	 1.078 	 52.802
0.5703166 	 20.4985712 	 2630.0599 	 1.078 	 52.804
0.5727930 	 20.9383946 	 3435.8946 	 1.078 	 52.771
0.5752259 	 21.3936490 	 4622.9003 	 1.078 	 52.766
0.5776121 	 21.8664156 	 6242.6840 	 1.078 	 52.772
0.5799566 	 22.3563779 	 8683.6110 	 1.080 	 52.782
0.5822569 	 22.8601352 	 12371.0117 	 1.084 	 52.829
0.5845128 	 23.3540750 	 18120.3952 	 1.088 	 52.806
0.5867270 	 23.8681315 	 27064.5687 	 1.095 	 52.834
0.5889013 	 24.3733336 	 42210.6917 	 1.104 	 52.846
0.5910355 	 24.8989123 	 64661.7131 	 1.114 	 52.853
