N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002262 	 1.0008527 	 1.1026 	 0.995 	 7.112
0.0220686 	 1.1831849 	 11.9936 	 0.961 	 35.143
0.0428580 	 1.2260363 	 22.5341 	 0.998 	 47.970
0.0625705 	 1.3034959 	 33.1010 	 1.006 	 51.570
0.0812723 	 1.3960250 	 43.3821 	 1.007 	 52.639
0.0990575 	 1.4965789 	 53.4893 	 1.010 	 53.152
0.1160177 	 1.6040703 	 63.3155 	 1.012 	 53.359
0.1321941 	 1.7180424 	 73.5586 	 1.013 	 53.468
0.1476405 	 1.8363622 	 83.6314 	 1.014 	 53.579
0.1623985 	 1.9618961 	 94.6153 	 1.016 	 53.568
0.1765116 	 2.0914476 	 104.8040 	 1.020 	 53.532
0.1900513 	 2.2267598 	 114.8324 	 1.021 	 53.532
0.2030260 	 2.3655393 	 124.6945 	 1.024 	 53.506
0.2154815 	 2.5091493 	 136.2312 	 1.025 	 53.506
0.2274436 	 2.6566238 	 147.1214 	 1.028 	 53.464
0.2389583 	 2.8084658 	 158.1552 	 1.029 	 53.450
0.2500488 	 2.9656123 	 168.9041 	 1.031 	 53.446
0.2607281 	 3.1257209 	 179.7482 	 1.033 	 53.440
0.2710294 	 3.2906217 	 192.0712 	 1.035 	 53.409
0.2809713 	 3.4595243 	 201.5622 	 1.036 	 53.395
0.2905637 	 3.6334021 	 212.9290 	 1.038 	 53.393
0.2998304 	 3.8113312 	 224.0272 	 1.041 	 53.378
0.3087999 	 3.9934215 	 233.6920 	 1.042 	 53.370
0.3174704 	 4.1795329 	 245.4027 	 1.045 	 53.361
0.3258741 	 4.3691609 	 255.8377 	 1.046 	 53.346
0.3340091 	 4.5629291 	 268.6317 	 1.048 	 53.305
0.3418958 	 4.7605267 	 279.5319 	 1.050 	 53.310
0.3495538 	 4.9620404 	 290.9180 	 1.052 	 53.298
0.3569826 	 5.1678741 	 304.0521 	 1.055 	 53.274
0.3641986 	 5.3788404 	 315.2654 	 1.056 	 53.274
0.3712064 	 5.5935255 	 324.1621 	 1.059 	 53.282
0.3780186 	 5.8104378 	 336.5698 	 1.060 	 53.239
0.3846441 	 6.0307598 	 347.7547 	 1.061 	 53.215
0.3910915 	 6.2605551 	 360.7135 	 1.063 	 53.237
0.3973705 	 6.4905283 	 371.1388 	 1.065 	 53.226
0.4034824 	 6.7250571 	 380.7083 	 1.066 	 53.207
0.4094298 	 6.9616733 	 391.7352 	 1.069 	 53.172
0.4152220 	 7.2050840 	 401.0913 	 1.071 	 53.183
0.4208763 	 7.4466084 	 414.4525 	 1.072 	 53.154
0.4263846 	 7.6960588 	 425.3199 	 1.073 	 53.139
0.4317620 	 7.9491902 	 434.9759 	 1.074 	 53.115
0.4370108 	 8.2070712 	 440.5937 	 1.075 	 53.116
0.4421329 	 8.4711130 	 449.0227 	 1.077 	 53.110
0.4471290 	 8.7339014 	 459.9758 	 1.078 	 53.090
0.4520128 	 9.0016889 	 466.8686 	 1.080 	 53.076
0.4567871 	 9.2725168 	 481.0754 	 1.081 	 53.052
0.4614566 	 9.5469340 	 491.7740 	 1.082 	 53.040
0.4660185 	 9.8284215 	 503.4097 	 1.082 	 53.028
0.4704780 	 10.1120536 	 513.3852 	 1.083 	 53.030
0.4748438 	 10.4013828 	 522.7766 	 1.084 	 53.036
0.4791173 	 10.6914542 	 530.9062 	 1.085 	 52.993
0.4832995 	 10.9868399 	 541.2609 	 1.087 	 53.000
0.4873960 	 11.2815507 	 553.3189 	 1.087 	 52.986
0.4914033 	 11.5913749 	 563.0481 	 1.087 	 52.991
0.4953341 	 11.8877410 	 572.0028 	 1.089 	 52.955
0.4991847 	 12.2010565 	 583.6288 	 1.090 	 52.967
0.5029552 	 12.5136449 	 599.2137 	 1.089 	 52.958
0.5066528 	 12.8344508 	 607.7066 	 1.089 	 52.932
0.5102759 	 13.1537350 	 617.7914 	 1.090 	 52.923
0.5138325 	 13.4752327 	 631.7114 	 1.091 	 52.925
0.5173179 	 13.8070314 	 642.6086 	 1.092 	 52.908
0.5207393 	 14.1399791 	 660.9672 	 1.092 	 52.912
0.5240946 	 14.4750675 	 673.3196 	 1.092 	 52.900
0.5273888 	 14.8189124 	 697.0185 	 1.091 	 52.893
0.5306222 	 15.1553956 	 708.4848 	 1.092 	 52.857
0.5337959 	 15.5125804 	 727.0089 	 1.091 	 52.865
0.5369156 	 15.8664389 	 749.2660 	 1.091 	 52.852
0.5399762 	 16.2212786 	 767.1599 	 1.091 	 52.864
0.5429827 	 16.5836327 	 790.4959 	 1.089 	 52.837
0.5459368 	 16.9543278 	 814.7341 	 1.089 	 52.856
0.5488387 	 17.3175292 	 846.5621 	 1.089 	 52.823
0.5516878 	 17.6895768 	 891.1199 	 1.088 	 52.809
0.5544879 	 18.0829053 	 955.9383 	 1.088 	 52.833
0.5572391 	 18.4605029 	 1035.3101 	 1.086 	 52.814
0.5599441 	 18.8523758 	 1153.5179 	 1.085 	 52.803
0.5626014 	 19.2511286 	 1324.1335 	 1.084 	 52.792
0.5652125 	 19.6561433 	 1575.3444 	 1.083 	 52.782
0.5677795 	 20.0863126 	 1988.2868 	 1.081 	 52.780
0.5703032 	 20.5094438 	 2584.5710 	 1.079 	 52.779
0.5727792 	 20.9491260 	 3555.7243 	 1.077 	 52.776
0.5752139 	 21.4105353 	 4884.0097 	 1.075 	 52.772
0.5776003 	 21.8868376 	 6680.4512 	 1.073 	 52.783
0.5799400 	 22.3851230 	 8995.1519 	 1.070 	 52.764
0.5822371 	 22.8990245 	 12066.6159 	 1.067 	 52.772
0.5844863 	 23.4518783 	 15586.3223 	 1.064 	 52.767
0.5866900 	 23.9997430 	 19357.2875 	 1.061 	 52.736
0.5888473 	 24.5905984 	 23498.2096 	 1.059 	 52.754
0.5909556 	 25.1966546 	 28013.8312 	 1.056 	 52.739
0.5930192 	 25.8447683 	 31626.9007 	 1.053 	 52.737
0.5950371 	 26.5015390 	 35039.6181 	 1.051 	 52.729
0.5970086 	 27.1718255 	 38572.3052 	 1.049 	 52.720
0.5989365 	 27.8615985 	 42958.7794 	 1.048 	 52.702
0.6008205 	 28.5630923 	 49380.1116 	 1.047 	 52.702
0.6026638 	 29.2973663 	 58711.2792 	 1.047 	 52.699
0.6044650 	 30.0398237 	 73380.9836 	 1.048 	 52.673
0.6062239 	 30.8099574 	 93058.5846 	 1.051 	 52.667
0.6079421 	 31.5857459 	 119364.8601 	 1.054 	 52.663
0.6096218 	 32.4151265 	 153941.1382 	 1.059 	 52.663
0.6112618 	 33.2751859 	 193090.0142 	 1.063 	 52.671
0.6128621 	 34.1750114 	 239218.0629 	 1.069 	 52.656
0.6144206 	 35.1065263 	 289751.9561 	 1.075 	 52.658
0.6159407 	 36.0801254 	 344559.8112 	 1.081 	 52.669
0.6174212 	 37.1170790 	 405620.3892 	 1.087 	 52.668
0.6188630 	 38.1820142 	 471036.2900 	 1.091 	 52.660
0.6202664 	 39.3083257 	 537212.3673 	 1.096 	 52.680
0.6216326 	 40.4437586 	 603190.0290 	 1.100 	 52.666
0.6229611 	 41.6463459 	 666205.4990 	 1.104 	 52.671
0.6242528 	 42.9292426 	 722389.5614 	 1.107 	 52.688
0.6255070 	 44.2351250 	 770156.9273 	 1.110 	 52.667
0.6267255 	 45.6396818 	 811106.8122 	 1.115 	 52.679
0.6279084 	 47.0804642 	 847115.7686 	 1.119 	 52.665
0.6290555 	 48.6013607 	 872793.1031 	 1.122 	 52.681
