N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002259 	 1.0008535 	 1.1026 	 1.000 	 7.113
0.0220621 	 1.1832532 	 12.0534 	 0.960 	 35.107
0.0428559 	 1.2259455 	 22.5148 	 0.997 	 47.956
0.0625697 	 1.3035495 	 32.8183 	 1.007 	 51.569
0.0812969 	 1.3962872 	 43.1369 	 1.008 	 52.689
0.0990804 	 1.4966053 	 53.5341 	 1.009 	 53.139
0.1160323 	 1.6043072 	 64.2649 	 1.011 	 53.360
0.1322084 	 1.7184593 	 74.8094 	 1.014 	 53.482
0.1476509 	 1.8362436 	 85.1915 	 1.014 	 53.593
0.1624199 	 1.9618282 	 95.6483 	 1.017 	 53.547
0.1765373 	 2.0917295 	 105.9868 	 1.018 	 53.541
0.1900681 	 2.2265666 	 116.0913 	 1.021 	 53.520
0.2030419 	 2.3655166 	 125.3203 	 1.023 	 53.519
0.2155061 	 2.5091662 	 135.0276 	 1.025 	 53.489
0.2274759 	 2.6568652 	 145.2670 	 1.027 	 53.474
0.2389885 	 2.8091330 	 155.7806 	 1.029 	 53.446
0.2500727 	 2.9662214 	 165.3072 	 1.031 	 53.450
0.2607497 	 3.1263117 	 176.9325 	 1.033 	 53.443
0.2710401 	 3.2916383 	 186.5019 	 1.035 	 53.417
0.2809684 	 3.4614005 	 195.6875 	 1.037 	 53.417
0.2905522 	 3.6338072 	 204.6154 	 1.039 	 53.411
0.2998251 	 3.8117499 	 214.8516 	 1.041 	 53.384
0.3087945 	 3.9925969 	 226.4999 	 1.042 	 53.370
0.3174795 	 4.1786475 	 236.5951 	 1.044 	 53.344
0.3258772 	 4.3683595 	 246.0243 	 1.046 	 53.345
0.3340134 	 4.5639127 	 256.3585 	 1.049 	 53.324
0.3419030 	 4.7607503 	 268.8439 	 1.050 	 53.310
0.3495584 	 4.9628559 	 278.2464 	 1.052 	 53.278
0.3569857 	 5.1700900 	 288.7872 	 1.055 	 53.282
0.3641978 	 5.3786346 	 299.9711 	 1.056 	 53.265
0.3712089 	 5.5924922 	 309.0240 	 1.058 	 53.263
0.3780256 	 5.8104640 	 321.5264 	 1.060 	 53.248
0.3846480 	 6.0313378 	 334.0080 	 1.061 	 53.232
0.3910939 	 6.2593711 	 343.3081 	 1.064 	 53.221
0.3973665 	 6.4901637 	 354.2098 	 1.065 	 53.198
0.4034753 	 6.7243388 	 365.6059 	 1.067 	 53.196
0.4094213 	 6.9624580 	 377.0234 	 1.069 	 53.175
0.4152183 	 7.2030168 	 384.1544 	 1.070 	 53.172
0.4208722 	 7.4486439 	 393.4041 	 1.072 	 53.147
0.4263814 	 7.6964636 	 406.3031 	 1.073 	 53.138
0.4317617 	 7.9472735 	 415.5954 	 1.074 	 53.116
0.4370065 	 8.2053290 	 429.3498 	 1.075 	 53.100
0.4421247 	 8.4694446 	 440.0446 	 1.076 	 53.088
0.4471255 	 8.7340127 	 450.4195 	 1.078 	 53.094
0.4520097 	 9.0017933 	 460.1042 	 1.079 	 53.082
