N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002264 	 1.0008554 	 1.1027 	 0.988 	 7.113
0.0220513 	 1.1832486 	 11.9599 	 0.960 	 35.103
0.0428444 	 1.2258391 	 22.5897 	 0.998 	 47.961
0.0625598 	 1.3032563 	 32.9369 	 1.007 	 51.532
0.0812836 	 1.3960790 	 43.4530 	 1.008 	 52.659
0.0990914 	 1.4968173 	 53.9201 	 1.009 	 53.133
0.1160502 	 1.6043724 	 64.4607 	 1.011 	 53.360
0.1322323 	 1.7186972 	 74.9640 	 1.013 	 53.475
0.1476706 	 1.8365309 	 84.7289 	 1.015 	 53.597
0.1624275 	 1.9621858 	 94.6812 	 1.017 	 53.563
0.1765596 	 2.0921188 	 104.7885 	 1.019 	 53.548
0.1900858 	 2.2268379 	 115.4389 	 1.021 	 53.520
0.2030594 	 2.3655768 	 125.8843 	 1.023 	 53.503
0.2155177 	 2.5092919 	 135.2154 	 1.025 	 53.500
0.2274757 	 2.6567707 	 145.5946 	 1.027 	 53.477
0.2389849 	 2.8091871 	 156.6617 	 1.028 	 53.462
0.2500679 	 2.9658227 	 166.9868 	 1.030 	 53.459
0.2607530 	 3.1271576 	 177.1856 	 1.034 	 53.441
0.2710476 	 3.2921511 	 187.6211 	 1.035 	 53.437
0.2809803 	 3.4608903 	 198.3125 	 1.037 	 53.405
0.2905828 	 3.6343658 	 209.1337 	 1.039 	 53.392
0.2998540 	 3.8121411 	 219.7395 	 1.041 	 53.387
0.3088157 	 3.9928967 	 228.8914 	 1.042 	 53.356
0.3174943 	 4.1783401 	 240.3172 	 1.044 	 53.357
0.3258972 	 4.3694214 	 250.8658 	 1.046 	 53.349
0.3340374 	 4.5640790 	 259.2382 	 1.048 	 53.331
0.3419274 	 4.7611330 	 267.4856 	 1.050 	 53.326
0.3495767 	 4.9640122 	 278.7354 	 1.053 	 53.301
0.3570123 	 5.1709067 	 288.0170 	 1.055 	 53.300
0.3642287 	 5.3793906 	 299.3436 	 1.056 	 53.267
0.3712358 	 5.5938202 	 308.4236 	 1.058 	 53.270
0.3780461 	 5.8116418 	 318.7366 	 1.060 	 53.252
0.3846709 	 6.0330497 	 329.2251 	 1.062 	 53.208
0.3911162 	 6.2598866 	 340.8727 	 1.063 	 53.219
0.3973854 	 6.4896453 	 355.0876 	 1.065 	 53.204
0.4034894 	 6.7233216 	 361.9344 	 1.066 	 53.205
0.4094391 	 6.9619398 	 373.4398 	 1.069 	 53.187
0.4152378 	 7.2026680 	 384.3320 	 1.070 	 53.167
0.4208870 	 7.4492814 	 397.3786 	 1.072 	 53.171
0.4264009 	 7.6968742 	 409.0643 	 1.073 	 53.142
0.4317777 	 7.9531501 	 420.4720 	 1.075 	 53.136
0.4370264 	 8.2088344 	 432.4502 	 1.076 	 53.115
0.4421527 	 8.4699551 	 442.8521 	 1.078 	 53.103
0.4471475 	 8.7351424 	 457.0347 	 1.079 	 53.076
0.4520337 	 9.0028027 	 465.6235 	 1.079 	 53.074
0.4568069 	 9.2742384 	 476.6859 	 1.081 	 53.056
0.4614769 	 9.5491948 	 485.7203 	 1.081 	 53.040
0.4660398 	 9.8317543 	 494.6955 	 1.083 	 53.061
0.4705039 	 10.1135031 	 502.4451 	 1.084 	 53.033
0.4748692 	 10.3989241 	 516.1388 	 1.085 	 53.022
0.4791438 	 10.6899857 	 525.2057 	 1.086 	 52.998
0.4833255 	 10.9890209 	 535.7023 	 1.087 	 53.010
0.4874156 	 11.2883654 	 546.3085 	 1.088 	 52.998
0.4914265 	 11.5885015 	 553.6922 	 1.088 	 52.984
0.4953533 	 11.8941965 	 565.3247 	 1.089 	 52.963
0.4992016 	 12.2030971 	 573.5538 	 1.090 	 52.954
0.5029731 	 12.5176773 	 583.7754 	 1.090 	 52.939
0.5066728 	 12.8440788 	 594.2153 	 1.089 	 52.959
0.5102972 	 13.1580167 	 605.7478 	 1.090 	 52.926
0.5138532 	 13.4811190 	 619.6649 	 1.090 	 52.937
0.5173384 	 13.8097314 	 632.1274 	 1.091 	 52.877
0.5207580 	 14.1396274 	 647.9819 	 1.091 	 52.890
0.5241144 	 14.4749061 	 661.9779 	 1.089 	 52.890
0.5274067 	 14.8210768 	 672.6090 	 1.090 	 52.868
0.5306357 	 15.1654442 	 691.2304 	 1.090 	 52.882
0.5338105 	 15.5116027 	 706.9014 	 1.090 	 52.867
0.5369281 	 15.8672967 	 723.3779 	 1.089 	 52.877
0.5399876 	 16.2189161 	 745.9528 	 1.089 	 52.861
0.5429923 	 16.5802293 	 772.3943 	 1.090 	 52.855
0.5459470 	 16.9413198 	 793.4164 	 1.089 	 52.839
0.5488490 	 17.3089418 	 832.4827 	 1.089 	 52.826
0.5517025 	 17.6856445 	 877.2278 	 1.087 	 52.837
0.5545045 	 18.0597510 	 950.0437 	 1.085 	 52.810
