N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002263 	 1.0008612 	 1.1025 	 0.997 	 7.114
0.0220663 	 1.1833049 	 12.0287 	 0.961 	 35.146
0.0428750 	 1.2260626 	 22.7308 	 0.997 	 47.980
0.0626129 	 1.3036167 	 33.0954 	 1.006 	 51.549
0.0813372 	 1.3962720 	 43.6164 	 1.009 	 52.644
0.0991483 	 1.4970579 	 54.3559 	 1.009 	 53.145
0.1161080 	 1.6047500 	 64.6808 	 1.011 	 53.374
0.1322798 	 1.7187905 	 75.3878 	 1.013 	 53.475
0.1477212 	 1.8368846 	 85.9800 	 1.014 	 53.595
0.1624816 	 1.9623543 	 96.6276 	 1.017 	 53.554
0.1766027 	 2.0925175 	 107.3430 	 1.019 	 53.561
0.1901344 	 2.2270400 	 117.9418 	 1.021 	 53.532
0.2030944 	 2.3665394 	 127.7367 	 1.023 	 53.516
0.2155500 	 2.5097703 	 137.6207 	 1.025 	 53.500
0.2275152 	 2.6578444 	 147.8825 	 1.027 	 53.497
0.2390207 	 2.8095881 	 159.0055 	 1.029 	 53.458
0.2501040 	 2.9658579 	 167.9466 	 1.031 	 53.432
0.2607806 	 3.1270233 	 178.1110 	 1.032 	 53.440
0.2710743 	 3.2919986 	 189.2845 	 1.035 	 53.415
0.2810059 	 3.4608308 	 200.7736 	 1.037 	 53.382
0.2905953 	 3.6349603 	 209.9861 	 1.038 	 53.393
0.2998675 	 3.8121690 	 218.5061 	 1.040 	 53.374
0.3088387 	 3.9942414 	 229.1508 	 1.042 	 53.374
0.3175180 	 4.1799467 	 239.1718 	 1.045 	 53.349
0.3259211 	 4.3705041 	 250.1118 	 1.046 	 53.343
0.3340652 	 4.5653508 	 262.1022 	 1.049 	 53.348
0.3419549 	 4.7629420 	 272.3087 	 1.050 	 53.322
0.3496046 	 4.9645628 	 283.9065 	 1.052 	 53.296
0.3570309 	 5.1683034 	 293.6492 	 1.054 	 53.263
0.3642442 	 5.3797524 	 304.2507 	 1.056 	 53.281
0.3712499 	 5.5937332 	 312.8493 	 1.057 	 53.255
0.3780585 	 5.8106390 	 322.9890 	 1.060 	 53.236
0.3846834 	 6.0341950 	 331.8670 	 1.061 	 53.233
0.3911284 	 6.2600597 	 341.3080 	 1.063 	 53.199
0.3974045 	 6.4900702 	 350.6760 	 1.066 	 53.192
0.4035112 	 6.7254168 	 362.5303 	 1.067 	 53.205
0.4094574 	 6.9636767 	 371.5679 	 1.069 	 53.190
0.4152540 	 7.2051254 	 386.6398 	 1.070 	 53.174
0.4209070 	 7.4490939 	 396.9481 	 1.071 	 53.156
0.4264142 	 7.6992376 	 408.2521 	 1.073 	 53.140
0.4317933 	 7.9524434 	 416.6655 	 1.075 	 53.130
0.4370356 	 8.2086831 	 430.0607 	 1.076 	 53.119
0.4421560 	 8.4721751 	 438.0189 	 1.078 	 53.112
0.4471577 	 8.7321138 	 447.4436 	 1.078 	 53.091
0.4520429 	 9.0028644 	 454.6214 	 1.079 	 53.074
0.4568194 	 9.2746932 	 466.9547 	 1.080 	 53.076
0.4614847 	 9.5479280 	 475.0744 	 1.082 	 53.032
0.4660494 	 9.8307559 	 486.4188 	 1.083 	 53.058
0.4705118 	 10.1155168 	 495.2518 	 1.084 	 53.016
0.4748764 	 10.4054360 	 504.8670 	 1.085 	 53.032
0.4791475 	 10.6915597 	 515.6830 	 1.086 	 53.003
0.4833318 	 10.9847657 	 529.2248 	 1.087 	 52.992
0.4874242 	 11.2853121 	 547.7163 	 1.088 	 52.992
0.4914328 	 11.5897305 	 560.1491 	 1.089 	 52.987
0.4953604 	 11.8962375 	 572.1853 	 1.089 	 52.989
0.4992115 	 12.2007979 	 585.3138 	 1.089 	 52.960
0.5029857 	 12.5167258 	 597.5916 	 1.090 	 52.950
0.5066796 	 12.8380611 	 608.8902 	 1.091 	 52.936
0.5103038 	 13.1554651 	 626.3143 	 1.090 	 52.924
0.5138588 	 13.4842148 	 637.7028 	 1.090 	 52.922
0.5173462 	 13.8139332 	 652.6645 	 1.091 	 52.932
0.5207658 	 14.1505214 	 663.2885 	 1.091 	 52.905
0.5241206 	 14.4826509 	 681.1875 	 1.090 	 52.894
