N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002256 	 1.0008520 	 1.1026 	 0.989 	 7.112
0.0220841 	 1.1831261 	 12.0040 	 0.961 	 35.169
0.0428973 	 1.2260544 	 22.6340 	 0.998 	 47.961
0.0626102 	 1.3036876 	 32.9800 	 1.006 	 51.551
0.0813298 	 1.3962430 	 43.4333 	 1.008 	 52.632
0.0991288 	 1.4968620 	 54.0592 	 1.010 	 53.123
0.1160730 	 1.6046734 	 64.2462 	 1.011 	 53.359
0.1322337 	 1.7181940 	 74.7205 	 1.013 	 53.449
0.1476650 	 1.8366098 	 85.1965 	 1.014 	 53.593
0.1624280 	 1.9617448 	 95.5435 	 1.017 	 53.567
0.1765504 	 2.0921788 	 105.9129 	 1.019 	 53.548
0.1900834 	 2.2269307 	 115.9564 	 1.022 	 53.529
0.2030579 	 2.3651984 	 125.5916 	 1.024 	 53.489
0.2155135 	 2.5093366 	 135.6878 	 1.025 	 53.488
0.2274841 	 2.6573086 	 146.6427 	 1.028 	 53.470
0.2389944 	 2.8088279 	 156.3777 	 1.029 	 53.453
0.2500697 	 2.9651715 	 166.0507 	 1.031 	 53.442
0.2607500 	 3.1267693 	 177.1217 	 1.033 	 53.433
0.2710365 	 3.2909946 	 187.7849 	 1.034 	 53.406
0.2809714 	 3.4604012 	 197.7074 	 1.037 	 53.398
0.2905634 	 3.6339110 	 207.3849 	 1.039 	 53.384
0.2998451 	 3.8120286 	 217.6335 	 1.040 	 53.395
0.3088109 	 3.9933317 	 228.0007 	 1.042 	 53.368
0.3174882 	 4.1788275 	 238.5631 	 1.045 	 53.353
0.3258891 	 4.3693097 	 250.8555 	 1.047 	 53.333
0.3340313 	 4.5627469 	 261.1736 	 1.048 	 53.328
0.3419278 	 4.7621566 	 272.9562 	 1.051 	 53.319
0.3495833 	 4.9645178 	 282.7774 	 1.052 	 53.316
0.3570115 	 5.1689958 	 291.5030 	 1.054 	 53.272
0.3642254 	 5.3803954 	 302.3970 	 1.056 	 53.289
0.3712350 	 5.5950580 	 313.1354 	 1.058 	 53.279
