N=60 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0002248 	 1.0008537 	 1.1027 	 0.997 	 7.113
0.0220661 	 1.1832188 	 11.9882 	 0.960 	 35.140
0.0428521 	 1.2259671 	 22.6063 	 0.999 	 47.974
0.0625792 	 1.3035389 	 33.1348 	 1.006 	 51.557
0.0812800 	 1.3959179 	 43.7034 	 1.008 	 52.634
0.0990723 	 1.4966174 	 54.3663 	 1.009 	 53.115
0.1160343 	 1.6042530 	 64.7610 	 1.011 	 53.347
0.1322131 	 1.7182927 	 75.5661 	 1.013 	 53.461
0.1476474 	 1.8363880 	 85.7153 	 1.014 	 53.583
0.1624061 	 1.9617145 	 95.5416 	 1.017 	 53.561
0.1765419 	 2.0922229 	 105.7378 	 1.019 	 53.535
0.1900721 	 2.2266083 	 116.5325 	 1.021 	 53.530
0.2030457 	 2.3657941 	 127.9225 	 1.024 	 53.532
0.2155103 	 2.5090567 	 138.7669 	 1.026 	 53.487
0.2274834 	 2.6571787 	 148.1888 	 1.026 	 53.477
0.2389978 	 2.8091778 	 158.3367 	 1.030 	 53.455
0.2500941 	 2.9655643 	 168.6262 	 1.031 	 53.419
0.2607757 	 3.1266988 	 178.5081 	 1.033 	 53.443
0.2710633 	 3.2918188 	 190.6716 	 1.035 	 53.422
0.2809923 	 3.4614261 	 199.5793 	 1.037 	 53.427
0.2905876 	 3.6342073 	 209.1398 	 1.038 	 53.401
0.2998571 	 3.8113780 	 219.2776 	 1.041 	 53.379
0.3088270 	 3.9938279 	 228.8542 	 1.042 	 53.366
0.3175037 	 4.1795124 	 240.2700 	 1.045 	 53.356
0.3259037 	 4.3702697 	 249.6771 	 1.047 	 53.344
0.3340473 	 4.5645346 	 259.0023 	 1.048 	 53.333
0.3419326 	 4.7623719 	 269.8483 	 1.050 	 53.317
0.3495910 	 4.9634843 	 279.1154 	 1.052 	 53.296
0.3570193 	 5.1700073 	 288.6687 	 1.055 	 53.282
0.3642335 	 5.3802113 	 299.6920 	 1.055 	 53.290
0.3712440 	 5.5935596 	 309.9814 	 1.058 	 53.252
0.3780505 	 5.8107743 	 319.7061 	 1.059 	 53.227
0.3846774 	 6.0351451 	 327.3540 	 1.062 	 53.246
0.3911212 	 6.2603154 	 338.2256 	 1.063 	 53.209
0.3973929 	 6.4908716 	 345.7748 	 1.066 	 53.194
0.4035002 	 6.7238316 	 355.0453 	 1.067 	 53.196
0.4094468 	 6.9616428 	 365.8676 	 1.068 	 53.177
0.4152430 	 7.2045279 	 376.4360 	 1.070 	 53.172
0.4208954 	 7.4471393 	 385.5849 	 1.071 	 53.126
0.4264025 	 7.6977884 	 395.7008 	 1.073 	 53.134
0.4317765 	 7.9526642 	 406.7649 	 1.075 	 53.127
0.4370265 	 8.2101438 	 419.8855 	 1.076 	 53.125
0.4421485 	 8.4700084 	 429.6562 	 1.078 	 53.104
0.4471463 	 8.7323743 	 437.2235 	 1.078 	 53.080
0.4520309 	 9.0043789 	 446.0633 	 1.079 	 53.084
0.4568065 	 9.2763475 	 459.9283 	 1.079 	 53.087
0.4614752 	 9.5489997 	 471.2276 	 1.080 	 53.045
0.4660392 	 9.8267743 	 482.4319 	 1.082 	 53.032
0.4705029 	 10.1144383 	 495.8765 	 1.082 	 53.035
0.4748705 	 10.4017599 	 502.8487 	 1.083 	 53.035
0.4791399 	 10.6950695 	 516.8606 	 1.084 	 53.025
0.4833245 	 10.9891695 	 529.2267 	 1.086 	 52.995
0.4874176 	 11.2861668 	 538.8617 	 1.087 	 52.982
0.4914259 	 11.5875531 	 553.7422 	 1.087 	 52.990
0.4953543 	 11.8905034 	 568.9127 	 1.088 	 52.954
0.4992049 	 12.1964346 	 579.2480 	 1.089 	 52.957
0.5029733 	 12.5147182 	 590.6899 	 1.088 	 52.945
0.5066702 	 12.8304194 	 607.9562 	 1.088 	 52.921
0.5102964 	 13.1530342 	 624.4385 	 1.088 	 52.925
0.5138508 	 13.4793216 	 637.6643 	 1.089 	 52.904
0.5173368 	 13.8088347 	 646.3719 	 1.089 	 52.894
0.5207543 	 14.1412943 	 654.4579 	 1.089 	 52.895
0.5241096 	 14.4812902 	 670.4996 	 1.090 	 52.892
0.5274021 	 14.8147206 	 686.4009 	 1.089 	 52.853
0.5306347 	 15.1682955 	 699.5047 	 1.090 	 52.865
0.5338064 	 15.5150950 	 722.8894 	 1.090 	 52.874
0.5369229 	 15.8625386 	 745.3154 	 1.090 	 52.847
0.5399853 	 16.2267344 	 769.2525 	 1.089 	 52.857
0.5429924 	 16.5854423 	 789.8074 	 1.090 	 52.841
0.5459452 	 16.9454972 	 824.2503 	 1.089 	 52.827
0.5488500 	 17.3152966 	 870.8340 	 1.088 	 52.841
0.5517029 	 17.6824905 	 935.8163 	 1.086 	 52.825
0.5545043 	 18.0643003 	 1017.2295 	 1.085 	 52.809
0.5572583 	 18.4530777 	 1127.4725 	 1.083 	 52.806
0.5599649 	 18.8411887 	 1295.7702 	 1.082 	 52.791
0.5626283 	 19.2502725 	 1546.5365 	 1.082 	 52.788
0.5652418 	 19.6537583 	 1924.0884 	 1.081 	 52.774
0.5678096 	 20.0676466 	 2474.3166 	 1.078 	 52.783
0.5703324 	 20.4968198 	 3201.6795 	 1.076 	 52.759
0.5728102 	 20.9463929 	 4210.3742 	 1.072 	 52.746
0.5752390 	 21.4125100 	 5677.9569 	 1.070 	 52.775
0.5776252 	 21.8859440 	 7670.3663 	 1.067 	 52.757
0.5799664 	 22.3662125 	 10076.5801 	 1.064 	 52.769
0.5822654 	 22.8711230 	 12897.7828 	 1.059 	 52.759
0.5845202 	 23.3725976 	 16960.9138 	 1.053 	 52.750
0.5867317 	 23.8884122 	 22710.4482 	 1.049 	 52.775
0.5889046 	 24.4127437 	 31609.2253 	 1.043 	 52.758
0.5910362 	 24.9418482 	 45036.3242 	 1.037 	 52.743
0.5931262 	 25.4900070 	 63915.0538 	 1.030 	 52.749
0.5951772 	 26.0605202 	 90408.7983 	 1.020 	 52.733
0.5971877 	 26.6404343 	 125298.5289 	 1.011 	 52.725
0.5991576 	 27.2854767 	 167154.4380 	 1.002 	 52.706
0.6010841 	 27.9722573 	 215298.3803 	 0.993 	 52.704
0.6029678 	 28.7145008 	 262878.0570 	 0.986 	 52.685
0.6048061 	 29.4709279 	 314206.7866 	 0.978 	 52.650
0.6065986 	 30.3122092 	 359040.2713 	 0.973 	 52.621
0.6083445 	 31.2029396 	 401826.3523 	 0.968 	 52.600
0.6100434 	 32.1479571 	 440846.8139 	 0.965 	 52.591
0.6116941 	 33.1477979 	 470670.7271 	 0.962 	 52.566
0.6132978 	 34.1741349 	 502839.5468 	 0.961 	 52.526
0.6148559 	 35.2543534 	 528896.5569 	 0.959 	 52.525
0.6163674 	 36.4061688 	 549520.6445 	 0.958 	 52.483
0.6178341 	 37.5985217 	 567811.4180 	 0.957 	 52.452
