N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001349 	 1.0005156 	 1.1026 	 1.003 	 10.125
0.0132481 	 1.1626065 	 12.2194 	 0.950 	 46.769
0.0260702 	 1.1527986 	 22.9419 	 1.004 	 78.908
0.0384985 	 1.1918341 	 33.3129 	 1.013 	 88.241
0.0505154 	 1.2395662 	 44.2664 	 1.016 	 92.014
0.0621599 	 1.2920697 	 54.7869 	 1.017 	 93.768
0.0734603 	 1.3482810 	 64.9693 	 1.019 	 94.750
0.0844185 	 1.4075163 	 75.9845 	 1.019 	 95.248
0.0950696 	 1.4694999 	 85.7367 	 1.021 	 95.516
0.1054086 	 1.5337613 	 95.2675 	 1.022 	 95.672
0.1154494 	 1.6000123 	 105.8244 	 1.024 	 95.738
0.1252105 	 1.6683208 	 116.5248 	 1.025 	 95.783
0.1347078 	 1.7384422 	 127.4823 	 1.026 	 95.788
0.1439411 	 1.8102246 	 137.5020 	 1.027 	 95.881
0.1529387 	 1.8841269 	 147.4712 	 1.029 	 95.873
0.1616982 	 1.9595394 	 157.0927 	 1.029 	 95.824
0.1702292 	 2.0369552 	 169.3827 	 1.031 	 95.796
0.1785407 	 2.1159730 	 180.3489 	 1.032 	 95.790
0.1866477 	 2.1962803 	 191.4968 	 1.034 	 95.765
0.1945541 	 2.2783572 	 202.5304 	 1.035 	 95.754
0.2022673 	 2.3620398 	 212.6413 	 1.036 	 95.752
0.2097925 	 2.4473903 	 222.5164 	 1.037 	 95.703
0.2171350 	 2.5341767 	 233.5835 	 1.038 	 95.694
0.2243097 	 2.6228821 	 242.8083 	 1.040 	 95.678
0.2313173 	 2.7125615 	 252.5355 	 1.041 	 95.664
0.2381685 	 2.8042646 	 262.5023 	 1.042 	 95.642
0.2448621 	 2.8974998 	 274.5951 	 1.043 	 95.645
0.2514110 	 2.9924092 	 286.4530 	 1.045 	 95.627
0.2578151 	 3.0884465 	 294.9599 	 1.045 	 95.615
0.2640844 	 3.1866839 	 306.7103 	 1.047 	 95.610
0.2702196 	 3.2851500 	 318.4518 	 1.048 	 95.543
0.2762206 	 3.3862447 	 331.1116 	 1.049 	 95.576
0.2820956 	 3.4891509 	 342.9006 	 1.050 	 95.550
0.2878521 	 3.5930309 	 351.5889 	 1.050 	 95.554
0.2934906 	 3.6987970 	 363.0140 	 1.052 	 95.541
0.2990126 	 3.8053558 	 374.7724 	 1.053 	 95.508
0.3044291 	 3.9136564 	 385.2032 	 1.054 	 95.494
0.3097339 	 4.0238894 	 394.7867 	 1.054 	 95.490
0.3149379 	 4.1348057 	 407.5523 	 1.056 	 95.475
0.3200445 	 4.2473564 	 419.5218 	 1.057 	 95.480
0.3250540 	 4.3618819 	 431.0594 	 1.057 	 95.437
0.3299668 	 4.4786168 	 441.2490 	 1.059 	 95.440
0.3347844 	 4.5965920 	 451.8319 	 1.059 	 95.448
0.3395168 	 4.7147752 	 459.2588 	 1.061 	 95.439
0.3441625 	 4.8346425 	 469.9218 	 1.062 	 95.395
0.3487228 	 4.9563936 	 478.7706 	 1.063 	 95.407
0.3532053 	 5.0796044 	 491.5693 	 1.063 	 95.377
0.3576096 	 5.2049386 	 503.7019 	 1.064 	 95.379
0.3619318 	 5.3301338 	 516.4773 	 1.066 	 95.367
0.3661828 	 5.4579921 	 528.0792 	 1.066 	 95.331
0.3703610 	 5.5862788 	 540.8439 	 1.067 	 95.341
0.3744643 	 5.7177557 	 549.9243 	 1.067 	 95.329
0.3784984 	 5.8512502 	 561.7580 	 1.068 	 95.350
0.3824714 	 5.9841314 	 574.9512 	 1.069 	 95.335
0.3863740 	 6.1184740 	 586.7129 	 1.070 	 95.329
0.3902164 	 6.2544897 	 594.3441 	 1.070 	 95.305
0.3939935 	 6.3925230 	 601.7277 	 1.071 	 95.283
