N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001358 	 1.0005167 	 1.1027 	 1.002 	 10.126
0.0132550 	 1.1625517 	 12.2225 	 0.950 	 46.802
0.0260791 	 1.1527878 	 22.8413 	 1.004 	 78.912
0.0385037 	 1.1917948 	 33.1806 	 1.013 	 88.224
0.0505218 	 1.2395739 	 43.8020 	 1.016 	 92.024
0.0621647 	 1.2921204 	 54.2692 	 1.018 	 93.772
0.0734668 	 1.3482466 	 64.4927 	 1.018 	 94.774
0.0844346 	 1.4076391 	 74.5347 	 1.020 	 95.232
0.0950735 	 1.4695685 	 84.5700 	 1.021 	 95.520
0.1054076 	 1.5339074 	 95.0778 	 1.022 	 95.672
0.1154651 	 1.6000655 	 105.6363 	 1.023 	 95.730
0.1252340 	 1.6686030 	 117.0489 	 1.025 	 95.799
0.1347258 	 1.7388915 	 127.4542 	 1.027 	 95.817
0.1439688 	 1.8103207 	 138.2588 	 1.027 	 95.861
0.1529642 	 1.8843137 	 147.6878 	 1.028 	 95.841
0.1617247 	 1.9597856 	 159.1383 	 1.029 	 95.814
0.1702486 	 2.0372714 	 169.2262 	 1.031 	 95.814
0.1785607 	 2.1161239 	 178.9906 	 1.032 	 95.797
0.1866685 	 2.1964109 	 189.7615 	 1.034 	 95.765
0.1945734 	 2.2787485 	 201.8395 	 1.035 	 95.738
0.2022850 	 2.3624913 	 210.6676 	 1.036 	 95.737
0.2098187 	 2.4474053 	 222.1298 	 1.037 	 95.676
0.2171585 	 2.5346628 	 232.2931 	 1.038 	 95.714
0.2243352 	 2.6229198 	 242.5788 	 1.040 	 95.677
0.2313412 	 2.7131065 	 252.7834 	 1.040 	 95.683
0.2381889 	 2.8045680 	 261.5987 	 1.042 	 95.674
0.2448811 	 2.8980263 	 272.8340 	 1.043 	 95.662
0.2514278 	 2.9920000 	 281.8155 	 1.044 	 95.595
0.2578303 	 3.0888117 	 290.2653 	 1.046 	 95.617
0.2640935 	 3.1866617 	 303.3562 	 1.047 	 95.619
0.2702242 	 3.2854286 	 316.1221 	 1.048 	 95.567
0.2762225 	 3.3867582 	 326.6052 	 1.048 	 95.566
0.2821007 	 3.4895236 	 338.5394 	 1.050 	 95.577
0.2878541 	 3.5928428 	 347.1128 	 1.051 	 95.552
0.2934919 	 3.6984171 	 356.8580 	 1.052 	 95.528
0.2990126 	 3.8053537 	 367.5017 	 1.052 	 95.528
0.3044256 	 3.9138565 	 377.5237 	 1.054 	 95.484
0.3097370 	 4.0241532 	 386.1332 	 1.055 	 95.525
0.3149359 	 4.1347740 	 400.4065 	 1.056 	 95.463
0.3200394 	 4.2478134 	 408.9571 	 1.057 	 95.482
0.3250422 	 4.3628273 	 417.2661 	 1.058 	 95.455
0.3299550 	 4.4781223 	 427.4082 	 1.059 	 95.437
0.3347768 	 4.5947170 	 438.6209 	 1.060 	 95.413
0.3395121 	 4.7148946 	 447.6457 	 1.060 	 95.441
0.3441601 	 4.8344785 	 457.2307 	 1.061 	 95.408
0.3487239 	 4.9562130 	 464.8198 	 1.062 	 95.397
0.3532048 	 5.0790120 	 474.5994 	 1.063 	 95.390
0.3576029 	 5.2046667 	 483.1736 	 1.064 	 95.380
0.3619284 	 5.3314185 	 494.6137 	 1.065 	 95.372
0.3661796 	 5.4576007 	 505.2179 	 1.066 	 95.351
0.3703551 	 5.5876149 	 511.2170 	 1.066 	 95.371
0.3744619 	 5.7180065 	 520.8627 	 1.067 	 95.345
0.3784991 	 5.8493039 	 530.0075 	 1.069 	 95.327
0.3824689 	 5.9821721 	 535.3444 	 1.070 	 95.297
0.3863733 	 6.1168695 	 545.4754 	 1.070 	 95.319
0.3902172 	 6.2529628 	 555.6991 	 1.070 	 95.289
0.3939990 	 6.3898811 	 565.8400 	 1.071 	 95.299
0.3977181 	 6.5305988 	 574.8542 	 1.072 	 95.277
0.4013757 	 6.6710579 	 588.3498 	 1.072 	 95.276
0.4049788 	 6.8135199 	 597.1127 	 1.072 	 95.269
0.4085249 	 6.9561836 	 605.0792 	 1.073 	 95.272
0.4120144 	 7.1002403 	 615.9520 	 1.074 	 95.245
0.4154534 	 7.2461382 	 626.3125 	 1.075 	 95.269
0.4188422 	 7.3929781 	 640.0861 	 1.075 	 95.228
0.4221802 	 7.5438661 	 651.8221 	 1.076 	 95.238
0.4254636 	 7.6922849 	 658.9522 	 1.077 	 95.215
0.4287005 	 7.8440230 	 667.1406 	 1.078 	 95.252
0.4318891 	 7.9973918 	 674.8984 	 1.078 	 95.193
0.4350341 	 8.1519808 	 688.8826 	 1.079 	 95.197
0.4381317 	 8.3058682 	 693.9111 	 1.079 	 95.183
0.4411869 	 8.4633401 	 697.9795 	 1.079 	 95.175
0.4441988 	 8.6217448 	 707.5598 	 1.080 	 95.171
0.4471657 	 8.7814103 	 717.8705 	 1.080 	 95.172
0.4500934 	 8.9408109 	 729.8829 	 1.081 	 95.151
0.4529820 	 9.1054078 	 739.6522 	 1.081 	 95.166
0.4558302 	 9.2677135 	 746.3709 	 1.081 	 95.143
0.4586387 	 9.4328539 	 758.7230 	 1.081 	 95.132
0.4614073 	 9.6023238 	 766.8240 	 1.082 	 95.157
0.4641410 	 9.7684057 	 781.5797 	 1.082 	 95.124
0.4668396 	 9.9368619 	 795.8990 	 1.083 	 95.135
0.4695013 	 10.1069909 	 804.6118 	 1.083 	 95.125
0.4721284 	 10.2763965 	 806.9418 	 1.084 	 95.107
0.4747203 	 10.4525305 	 822.6058 	 1.084 	 95.096
0.4772809 	 10.6271777 	 829.5088 	 1.085 	 95.126
0.4798075 	 10.8025151 	 829.2317 	 1.085 	 95.101
0.4823030 	 10.9823140 	 838.5811 	 1.085 	 95.114
0.4847667 	 11.1583450 	 851.2467 	 1.085 	 95.059
0.4871995 	 11.3375194 	 863.4012 	 1.086 	 95.079
0.4896011 	 11.5205078 	 871.1879 	 1.086 	 95.081
0.4919743 	 11.6996095 	 879.0653 	 1.086 	 95.072
0.4943184 	 11.8833871 	 887.8779 	 1.087 	 95.032
0.4966329 	 12.0699481 	 898.6244 	 1.086 	 95.049
0.4989205 	 12.2590072 	 906.4973 	 1.087 	 95.054
0.5011787 	 12.4464134 	 919.4060 	 1.087 	 95.057
0.5034101 	 12.6346614 	 932.3417 	 1.087 	 95.047
0.5056153 	 12.8214250 	 937.4716 	 1.087 	 95.016
0.5077944 	 13.0207123 	 951.5594 	 1.087 	 95.051
0.5099494 	 13.2084878 	 957.0911 	 1.087 	 95.025
0.5120801 	 13.4061990 	 965.0408 	 1.087 	 95.017
0.5141846 	 13.6007397 	 972.6899 	 1.087 	 95.007
0.5162655 	 13.8016054 	 984.5702 	 1.087 	 95.024
0.5183228 	 13.9986328 	 995.5969 	 1.087 	 95.007
0.5203554 	 14.2033020 	 1010.4829 	 1.088 	 94.998
0.5223642 	 14.4049965 	 1022.9539 	 1.087 	 94.984
0.5243526 	 14.6052181 	 1038.6448 	 1.087 	 95.004
0.5263177 	 14.8089411 	 1052.0396 	 1.087 	 94.972
0.5282608 	 15.0137280 	 1068.4555 	 1.087 	 94.993
0.5301830 	 15.2199642 	 1074.4723 	 1.087 	 94.951
0.5320840 	 15.4291933 	 1087.8199 	 1.086 	 94.960
0.5339642 	 15.6376861 	 1099.9251 	 1.086 	 94.960
0.5358226 	 15.8541607 	 1117.6072 	 1.086 	 94.969
0.5376635 	 16.0699463 	 1136.3676 	 1.086 	 94.974
0.5394836 	 16.2845602 	 1154.6871 	 1.086 	 94.965
0.5412834 	 16.4996325 	 1162.5343 	 1.085 	 94.963
0.5430652 	 16.7142670 	 1175.6806 	 1.085 	 94.934
0.5448289 	 16.9348592 	 1205.5967 	 1.085 	 94.922
0.5465741 	 17.1557905 	 1233.5217 	 1.085 	 94.942
0.5483000 	 17.3815977 	 1256.2413 	 1.085 	 94.918
0.5500071 	 17.6098413 	 1274.8088 	 1.085 	 94.929
0.5516968 	 17.8358018 	 1307.0679 	 1.084 	 94.905
0.5533690 	 18.0551958 	 1350.7006 	 1.083 	 94.882
0.5550247 	 18.2935293 	 1385.5063 	 1.083 	 94.890
0.5566625 	 18.5243901 	 1436.0061 	 1.082 	 94.888
0.5582839 	 18.7578949 	 1509.5086 	 1.082 	 94.895
0.5598897 	 18.9877122 	 1625.5663 	 1.081 	 94.889
0.5614777 	 19.2235594 	 1781.3305 	 1.082 	 94.877
0.5630505 	 19.4572991 	 2018.8723 	 1.081 	 94.899
0.5646070 	 19.6852665 	 2405.1742 	 1.080 	 94.873
0.5661495 	 19.9154270 	 3093.0559 	 1.080 	 94.851
0.5676770 	 20.1456560 	 4560.5958 	 1.081 	 94.868
0.5691912 	 20.3615573 	 7244.8368 	 1.082 	 94.824
0.5706931 	 20.5764774 	 12541.3853 	 1.084 	 94.803
0.5721832 	 20.7816819 	 22444.5650 	 1.087 	 94.740
0.5736611 	 20.9745332 	 39713.3139 	 1.092 	 94.706
