N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001355 	 1.0005166 	 1.1026 	 1.002 	 10.126
0.0132511 	 1.1625204 	 12.1833 	 0.950 	 46.798
0.0260855 	 1.1527691 	 22.9404 	 1.005 	 78.940
0.0385157 	 1.1919125 	 33.5621 	 1.013 	 88.240
0.0505317 	 1.2396160 	 43.9327 	 1.016 	 92.028
0.0621805 	 1.2922658 	 54.2437 	 1.018 	 93.807
0.0734805 	 1.3483382 	 64.6434 	 1.019 	 94.800
0.0844474 	 1.4078146 	 74.5190 	 1.020 	 95.269
0.0950879 	 1.4696359 	 85.2863 	 1.021 	 95.493
0.1054160 	 1.5338613 	 95.3947 	 1.023 	 95.663
0.1154579 	 1.6000604 	 105.3270 	 1.023 	 95.750
0.1252203 	 1.6685888 	 116.5275 	 1.025 	 95.800
0.1347187 	 1.7386110 	 127.2662 	 1.026 	 95.786
0.1439534 	 1.8101299 	 138.4021 	 1.027 	 95.869
0.1529474 	 1.8841589 	 148.0036 	 1.029 	 95.851
0.1617142 	 1.9598554 	 158.2280 	 1.030 	 95.854
0.1702438 	 2.0373259 	 168.9450 	 1.031 	 95.826
0.1785623 	 2.1156766 	 179.3244 	 1.032 	 95.783
0.1866712 	 2.1967128 	 188.8331 	 1.034 	 95.779
0.1945788 	 2.2787993 	 200.3556 	 1.035 	 95.753
0.2022964 	 2.3625193 	 211.7588 	 1.037 	 95.728
0.2098291 	 2.4477893 	 221.4526 	 1.037 	 95.704
0.2171780 	 2.5343289 	 232.5630 	 1.039 	 95.685
0.2243492 	 2.6232485 	 244.5058 	 1.039 	 95.693
0.2313507 	 2.7130687 	 255.3959 	 1.041 	 95.652
0.2382035 	 2.8046919 	 263.9230 	 1.042 	 95.634
0.2448978 	 2.8976314 	 274.4844 	 1.043 	 95.635
0.2514432 	 2.9923286 	 283.6917 	 1.044 	 95.617
0.2578442 	 3.0890108 	 292.8274 	 1.045 	 95.604
0.2641074 	 3.1865451 	 303.2210 	 1.047 	 95.594
0.2702354 	 3.2858290 	 311.3390 	 1.048 	 95.581
0.2762408 	 3.3869126 	 321.3980 	 1.049 	 95.580
0.2821180 	 3.4894023 	 332.5202 	 1.050 	 95.562
0.2878711 	 3.5930792 	 345.6229 	 1.051 	 95.558
0.2935053 	 3.6986412 	 354.9957 	 1.052 	 95.536
0.2990326 	 3.8056240 	 366.1375 	 1.053 	 95.514
0.3044442 	 3.9142739 	 376.7574 	 1.054 	 95.515
0.3097496 	 4.0231813 	 387.5423 	 1.054 	 95.480
0.3149539 	 4.1358517 	 397.9488 	 1.056 	 95.485
0.3200557 	 4.2481719 	 409.7145 	 1.057 	 95.452
0.3250617 	 4.3631297 	 420.4387 	 1.058 	 95.473
0.3299746 	 4.4786320 	 430.3043 	 1.058 	 95.454
0.3347929 	 4.5958565 	 441.7095 	 1.060 	 95.421
0.3395251 	 4.7156496 	 453.4099 	 1.060 	 95.432
0.3441705 	 4.8346135 	 464.4555 	 1.062 	 95.418
0.3487336 	 4.9571879 	 479.1342 	 1.062 	 95.396
