N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001355 	 1.0005142 	 1.1025 	 1.003 	 10.125
0.0132549 	 1.1626855 	 12.2309 	 0.950 	 46.780
0.0260825 	 1.1527924 	 22.8243 	 1.004 	 78.903
0.0385021 	 1.1918491 	 33.4542 	 1.013 	 88.253
0.0505154 	 1.2395605 	 43.6518 	 1.016 	 91.992
0.0621736 	 1.2921851 	 53.8261 	 1.018 	 93.785
0.0734753 	 1.3482895 	 64.9265 	 1.019 	 94.777
0.0844417 	 1.4076662 	 75.2520 	 1.020 	 95.238
0.0950866 	 1.4695403 	 86.0974 	 1.021 	 95.489
0.1054254 	 1.5339759 	 96.4774 	 1.022 	 95.660
0.1154656 	 1.6001262 	 107.4168 	 1.023 	 95.747
0.1252343 	 1.6684450 	 117.8256 	 1.025 	 95.775
0.1347274 	 1.7388316 	 127.7385 	 1.026 	 95.821
0.1439654 	 1.8103035 	 137.5761 	 1.027 	 95.875
0.1529605 	 1.8844339 	 148.9113 	 1.028 	 95.866
0.1617185 	 1.9598732 	 159.8707 	 1.030 	 95.825
0.1702457 	 2.0370686 	 171.4282 	 1.031 	 95.801
0.1785550 	 2.1156238 	 180.7509 	 1.032 	 95.751
0.1866557 	 2.1964373 	 190.4143 	 1.034 	 95.775
0.1945612 	 2.2787460 	 200.0259 	 1.035 	 95.769
0.2022733 	 2.3622901 	 210.7298 	 1.036 	 95.739
0.2097975 	 2.4475887 	 221.2425 	 1.037 	 95.719
0.2171439 	 2.5343161 	 228.6250 	 1.038 	 95.703
0.2243174 	 2.6227581 	 238.5461 	 1.040 	 95.685
0.2313237 	 2.7126452 	 249.0974 	 1.041 	 95.660
0.2381754 	 2.8044304 	 259.9478 	 1.043 	 95.647
0.2448703 	 2.8981088 	 270.3779 	 1.043 	 95.650
0.2514193 	 2.9924305 	 282.8054 	 1.044 	 95.645
0.2578243 	 3.0884245 	 291.2991 	 1.046 	 95.603
0.2640879 	 3.1863454 	 300.0658 	 1.046 	 95.600
0.2702130 	 3.2851963 	 309.2750 	 1.047 	 95.589
0.2762109 	 3.3860909 	 319.3599 	 1.049 	 95.562
0.2820815 	 3.4886919 	 328.8091 	 1.050 	 95.549
0.2878378 	 3.5924763 	 339.9291 	 1.051 	 95.552
0.2934739 	 3.6980667 	 352.5180 	 1.053 	 95.527
0.2989974 	 3.8051889 	 362.8118 	 1.053 	 95.527
0.3044095 	 3.9144535 	 373.2346 	 1.054 	 95.521
0.3097131 	 4.0231145 	 383.8390 	 1.054 	 95.495
0.3149113 	 4.1346807 	 394.8426 	 1.056 	 95.502
0.3200209 	 4.2472161 	 408.5275 	 1.057 	 95.441
0.3250244 	 4.3611677 	 417.9825 	 1.058 	 95.436
0.3299385 	 4.4784296 	 424.7957 	 1.058 	 95.457
0.3347589 	 4.5949636 	 436.6947 	 1.059 	 95.447
0.3394906 	 4.7147263 	 443.4542 	 1.061 	 95.429
0.3441373 	 4.8339971 	 452.1594 	 1.061 	 95.426
0.3486997 	 4.9567304 	 462.2315 	 1.063 	 95.415
0.3531815 	 5.0800024 	 472.6569 	 1.064 	 95.417
0.3575829 	 5.2031673 	 486.6238 	 1.064 	 95.389
0.3619097 	 5.3298109 	 500.9543 	 1.065 	 95.370
0.3661577 	 5.4573071 	 510.8849 	 1.066 	 95.354
0.3703357 	 5.5867094 	 520.1440 	 1.066 	 95.355
0.3744444 	 5.7162353 	 535.1428 	 1.067 	 95.312
0.3784779 	 5.8492548 	 545.3613 	 1.068 	 95.327
0.3824509 	 5.9815150 	 554.9009 	 1.069 	 95.323
0.3863577 	 6.1166256 	 566.7387 	 1.069 	 95.312
0.3901979 	 6.2528545 	 580.4914 	 1.070 	 95.315
0.3939793 	 6.3902301 	 590.2817 	 1.071 	 95.296
0.3976969 	 6.5302209 	 598.2808 	 1.072 	 95.302
0.4013570 	 6.6693305 	 609.2228 	 1.071 	 95.267
0.4049609 	 6.8124211 	 616.3418 	 1.073 	 95.274
0.4085049 	 6.9546958 	 628.1527 	 1.074 	 95.259
0.4119987 	 7.1002559 	 640.5036 	 1.075 	 95.253
0.4154366 	 7.2449243 	 652.3838 	 1.075 	 95.235
0.4188200 	 7.3917724 	 660.7025 	 1.076 	 95.215
0.4221558 	 7.5414713 	 670.4469 	 1.075 	 95.216
0.4254402 	 7.6901643 	 681.3640 	 1.076 	 95.213
0.4286777 	 7.8441721 	 695.4006 	 1.077 	 95.239
0.4318676 	 7.9972511 	 704.9748 	 1.077 	 95.226
0.4350129 	 8.1498428 	 715.3603 	 1.078 	 95.223
0.4381101 	 8.3050163 	 727.8777 	 1.078 	 95.216
0.4411646 	 8.4602073 	 745.0059 	 1.079 	 95.174
0.4441789 	 8.6201639 	 756.1031 	 1.080 	 95.169
0.4471465 	 8.7810589 	 771.1636 	 1.080 	 95.160
0.4500740 	 8.9422384 	 786.0141 	 1.080 	 95.170
0.4529632 	 9.1048896 	 789.1496 	 1.080 	 95.155
0.4558109 	 9.2659432 	 793.1309 	 1.082 	 95.144
0.4586217 	 9.4331650 	 797.3608 	 1.082 	 95.147
0.4613929 	 9.5998290 	 809.7159 	 1.082 	 95.113
