N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001343 	 1.0005107 	 1.1027 	 1.021 	 10.124
0.0132526 	 1.1626073 	 12.2073 	 0.951 	 46.816
0.0260772 	 1.1528191 	 22.9020 	 1.005 	 78.918
0.0385055 	 1.1918015 	 33.5215 	 1.013 	 88.255
0.0505259 	 1.2395830 	 44.1256 	 1.016 	 92.000
0.0621757 	 1.2922495 	 54.5867 	 1.018 	 93.821
0.0734754 	 1.3482433 	 65.2928 	 1.019 	 94.765
0.0844409 	 1.4076940 	 76.0033 	 1.020 	 95.228
0.0950840 	 1.4697258 	 87.3169 	 1.021 	 95.525
0.1054108 	 1.5337896 	 97.6652 	 1.023 	 95.660
0.1154567 	 1.6002793 	 107.9389 	 1.023 	 95.773
0.1252229 	 1.6684523 	 118.4213 	 1.024 	 95.782
0.1347149 	 1.7387780 	 128.4503 	 1.026 	 95.824
0.1439543 	 1.8100479 	 138.8136 	 1.027 	 95.892
0.1529407 	 1.8839899 	 149.6120 	 1.028 	 95.842
0.1616993 	 1.9596475 	 160.9844 	 1.030 	 95.831
0.1702276 	 2.0368129 	 170.5636 	 1.031 	 95.768
0.1785395 	 2.1158707 	 181.0124 	 1.033 	 95.770
0.1866488 	 2.1963833 	 191.0378 	 1.034 	 95.776
0.1945486 	 2.2781797 	 202.8370 	 1.035 	 95.744
0.2022608 	 2.3620245 	 213.0008 	 1.036 	 95.744
0.2097868 	 2.4473562 	 222.7345 	 1.038 	 95.724
0.2171367 	 2.5341534 	 232.0619 	 1.038 	 95.692
0.2243149 	 2.6226488 	 242.1683 	 1.040 	 95.687
0.2313278 	 2.7131395 	 254.4934 	 1.041 	 95.681
0.2381770 	 2.8045443 	 264.0774 	 1.042 	 95.640
0.2448684 	 2.8974488 	 276.0403 	 1.043 	 95.629
0.2514135 	 2.9921542 	 287.1566 	 1.044 	 95.622
0.2578147 	 3.0881668 	 299.7928 	 1.046 	 95.610
0.2640763 	 3.1860459 	 312.1049 	 1.047 	 95.582
0.2702065 	 3.2857876 	 320.2735 	 1.048 	 95.582
0.2762073 	 3.3858375 	 332.3943 	 1.049 	 95.556
0.2820833 	 3.4888638 	 342.4676 	 1.050 	 95.579
0.2878346 	 3.5922878 	 353.8328 	 1.051 	 95.539
0.2934684 	 3.6979560 	 361.5739 	 1.051 	 95.543
0.2989907 	 3.8042991 	 370.7153 	 1.052 	 95.499
0.3044033 	 3.9131893 	 381.4231 	 1.054 	 95.507
0.3097137 	 4.0232411 	 393.0050 	 1.056 	 95.484
0.3149184 	 4.1346085 	 402.8982 	 1.056 	 95.483
0.3200241 	 4.2477754 	 413.0169 	 1.056 	 95.469
0.3250309 	 4.3626084 	 425.7006 	 1.058 	 95.491
0.3299401 	 4.4773761 	 434.3920 	 1.058 	 95.414
0.3347629 	 4.5952125 	 443.4509 	 1.060 	 95.432
0.3394971 	 4.7127183 	 455.2708 	 1.061 	 95.389
0.3441437 	 4.8342833 	 468.0313 	 1.061 	 95.430
0.3487083 	 4.9565828 	 477.7888 	 1.062 	 95.406
0.3531891 	 5.0799527 	 489.2475 	 1.064 	 95.408
0.3575904 	 5.2044259 	 498.7065 	 1.064 	 95.376
0.3619155 	 5.3304912 	 509.5886 	 1.065 	 95.382
0.3661647 	 5.4571700 	 519.2377 	 1.065 	 95.340
0.3703397 	 5.5858812 	 530.9020 	 1.066 	 95.320
0.3744450 	 5.7173660 	 539.9135 	 1.067 	 95.367
0.3784835 	 5.8492752 	 549.2576 	 1.068 	 95.316
0.3824543 	 5.9831482 	 559.1876 	 1.069 	 95.349
0.3863609 	 6.1168541 	 568.0657 	 1.070 	 95.308
0.3902026 	 6.2525586 	 581.1045 	 1.070 	 95.282
0.3939817 	 6.3905005 	 590.2143 	 1.072 	 95.282
0.3977009 	 6.5295222 	 598.9819 	 1.071 	 95.294
0.4013572 	 6.6713049 	 609.4990 	 1.072 	 95.278
0.4049608 	 6.8128156 	 618.0126 	 1.073 	 95.302
0.4085031 	 6.9545696 	 624.1023 	 1.074 	 95.239
0.4119932 	 7.0985732 	 636.8430 	 1.074 	 95.253
0.4154297 	 7.2452063 	 647.6914 	 1.074 	 95.238
0.4188179 	 7.3917183 	 658.7488 	 1.075 	 95.250
0.4221522 	 7.5421814 	 671.8537 	 1.075 	 95.242
0.4254418 	 7.6918788 	 684.5617 	 1.076 	 95.207
0.4286776 	 7.8440718 	 692.5736 	 1.077 	 95.232
0.4318688 	 7.9964062 	 704.5513 	 1.077 	 95.206
0.4350103 	 8.1491828 	 714.7875 	 1.078 	 95.180
0.4381131 	 8.3043675 	 724.4939 	 1.079 	 95.211
0.4411662 	 8.4629046 	 735.3101 	 1.079 	 95.194
0.4441761 	 8.6188908 	 742.2395 	 1.079 	 95.146
0.4471405 	 8.7796439 	 751.6343 	 1.080 	 95.187
0.4500672 	 8.9416337 	 761.0935 	 1.081 	 95.153
0.4529563 	 9.1012242 	 770.0083 	 1.080 	 95.137
0.4558031 	 9.2666171 	 774.3018 	 1.081 	 95.138
0.4586108 	 9.4319815 	 784.8379 	 1.081 	 95.143
0.4613837 	 9.5995850 	 799.2638 	 1.082 	 95.129
0.4641180 	 9.7689888 	 806.3259 	 1.083 	 95.172
0.4668159 	 9.9349888 	 818.2983 	 1.083 	 95.113
0.4694759 	 10.1069586 	 835.8863 	 1.083 	 95.127
0.4721042 	 10.2761870 	 844.6977 	 1.084 	 95.128
0.4746980 	 10.4498423 	 858.0017 	 1.084 	 95.122
0.4772586 	 10.6254568 	 868.4057 	 1.084 	 95.104
0.4797876 	 10.7986115 	 872.6797 	 1.084 	 95.087
0.4822817 	 10.9760723 	 879.5306 	 1.084 	 95.067
0.4847446 	 11.1552219 	 888.4671 	 1.086 	 95.074
0.4871773 	 11.3344413 	 898.7682 	 1.086 	 95.063
0.4895780 	 11.5176484 	 914.3938 	 1.086 	 95.086
0.4919503 	 11.7012983 	 920.6663 	 1.087 	 95.086
0.4942943 	 11.8833275 	 932.1539 	 1.087 	 95.051
0.4966098 	 12.0663827 	 941.1826 	 1.086 	 95.040
0.4988984 	 12.2541067 	 950.8031 	 1.087 	 95.047
0.5011599 	 12.4438594 	 954.8707 	 1.087 	 95.060
0.5033916 	 12.6328048 	 965.9119 	 1.086 	 95.046
0.5055984 	 12.8248648 	 974.7795 	 1.087 	 95.030
0.5077784 	 13.0178065 	 987.1431 	 1.087 	 95.023
0.5099331 	 13.2065890 	 1002.5154 	 1.087 	 95.029
0.5120632 	 13.4014224 	 1010.6561 	 1.087 	 95.011
0.5141690 	 13.5980751 	 1016.9748 	 1.087 	 95.018
0.5162499 	 13.7987350 	 1028.5423 	 1.087 	 95.017
0.5183062 	 14.0005801 	 1038.6626 	 1.087 	 95.008
0.5203400 	 14.1984982 	 1049.7666 	 1.087 	 95.008
0.5223501 	 14.3976321 	 1059.8053 	 1.087 	 94.995
0.5243382 	 14.6047120 	 1070.5441 	 1.087 	 94.996
0.5263052 	 14.8061618 	 1074.0893 	 1.087 	 94.989
0.5282502 	 15.0124164 	 1085.1959 	 1.086 	 94.957
0.5301741 	 15.2141689 	 1100.8280 	 1.087 	 94.976
0.5320749 	 15.4259543 	 1119.8860 	 1.086 	 94.953
0.5339550 	 15.6390419 	 1135.0576 	 1.086 	 94.976
0.5358158 	 15.8550757 	 1146.4850 	 1.086 	 94.971
0.5376552 	 16.0663257 	 1162.2585 	 1.087 	 94.973
0.5394762 	 16.2792745 	 1178.4136 	 1.087 	 94.951
0.5412761 	 16.4953560 	 1191.2230 	 1.086 	 94.955
0.5430592 	 16.7191692 	 1201.6866 	 1.086 	 94.960
0.5448231 	 16.9363196 	 1228.1645 	 1.085 	 94.935
0.5465688 	 17.1581767 	 1260.0678 	 1.086 	 94.938
0.5482946 	 17.3784990 	 1289.1296 	 1.085 	 94.931
0.5500034 	 17.5990394 	 1317.3647 	 1.085 	 94.934
0.5516937 	 17.8294804 	 1344.0934 	 1.084 	 94.966
0.5533675 	 18.0489492 	 1379.3647 	 1.084 	 94.899
0.5550234 	 18.2764301 	 1427.9369 	 1.084 	 94.910
0.5566621 	 18.5140121 	 1474.1404 	 1.085 	 94.927
0.5582835 	 18.7443870 	 1528.6893 	 1.085 	 94.901
0.5598888 	 18.9771020 	 1620.2657 	 1.085 	 94.883
0.5614771 	 19.2196382 	 1740.0913 	 1.085 	 94.910
0.5630504 	 19.4608634 	 1920.0842 	 1.085 	 94.888
0.5646058 	 19.7060712 	 2161.7272 	 1.084 	 94.903
0.5661456 	 19.9527022 	 2470.7956 	 1.085 	 94.884
0.5676707 	 20.2022631 	 2924.9495 	 1.085 	 94.847
0.5691796 	 20.4602212 	 3562.4522 	 1.084 	 94.886
0.5706733 	 20.7076525 	 4526.3939 	 1.085 	 94.843
0.5721505 	 20.9686369 	 5872.7323 	 1.086 	 94.833
0.5736110 	 21.2328364 	 7504.9040 	 1.086 	 94.812
0.5750566 	 21.4993922 	 9887.3797 	 1.088 	 94.830
0.5764873 	 21.7729121 	 12683.2742 	 1.089 	 94.833
0.5779037 	 22.0435508 	 16467.4119 	 1.092 	 94.822
0.5793048 	 22.3250394 	 21055.6337 	 1.095 	 94.827
0.5806909 	 22.5938827 	 26549.4906 	 1.100 	 94.797
0.5820627 	 22.8710990 	 33858.7260 	 1.105 	 94.768
0.5834219 	 23.1417634 	 44190.1613 	 1.113 	 94.759
0.5847670 	 23.3889056 	 59377.3427 	 1.122 	 94.740
0.5861016 	 23.6197679 	 85875.4673 	 1.136 	 94.699
0.5874250 	 23.8383707 	 126661.1360 	 1.153 	 94.680
0.5887391 	 24.0508192 	 190658.7735 	 1.174 	 94.656
0.5900452 	 24.2538208 	 278382.6638 	 1.198 	 94.607
0.5913426 	 24.4606596 	 386083.5466 	 1.223 	 94.569
0.5926313 	 24.6828918 	 505935.9088 	 1.249 	 94.547
0.5939083 	 24.9564435 	 619164.4224 	 1.272 	 94.480
0.5951744 	 25.2561950 	 722015.0335 	 1.294 	 94.440
