N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001357 	 1.0005195 	 1.1028 	 1.003 	 10.126
0.0132618 	 1.1624764 	 12.1716 	 0.950 	 46.857
0.0260901 	 1.1528640 	 22.8882 	 1.005 	 78.946
0.0385193 	 1.1919207 	 33.4483 	 1.013 	 88.276
0.0505347 	 1.2396417 	 43.8609 	 1.016 	 91.996
0.0621791 	 1.2922538 	 54.5456 	 1.018 	 93.813
0.0734774 	 1.3483303 	 64.6849 	 1.019 	 94.808
0.0844393 	 1.4076824 	 74.9127 	 1.020 	 95.253
0.0950769 	 1.4694869 	 85.8456 	 1.021 	 95.494
0.1054157 	 1.5338741 	 96.0554 	 1.023 	 95.650
0.1154589 	 1.6001790 	 106.7681 	 1.024 	 95.746
0.1252258 	 1.6685398 	 116.8810 	 1.024 	 95.785
0.1347178 	 1.7387359 	 127.7322 	 1.026 	 95.809
0.1439560 	 1.8101725 	 138.2563 	 1.027 	 95.877
0.1529506 	 1.8841855 	 148.1763 	 1.028 	 95.840
0.1617084 	 1.9597268 	 158.1381 	 1.030 	 95.836
0.1702464 	 2.0368367 	 168.8376 	 1.031 	 95.783
0.1785573 	 2.1160232 	 178.8266 	 1.032 	 95.783
0.1866641 	 2.1960965 	 188.2081 	 1.034 	 95.735
0.1945699 	 2.2785486 	 200.4833 	 1.035 	 95.738
0.2022793 	 2.3624391 	 209.2484 	 1.036 	 95.758
0.2098061 	 2.4473257 	 221.0443 	 1.038 	 95.722
0.2171536 	 2.5347268 	 231.8676 	 1.038 	 95.712
0.2243277 	 2.6231733 	 242.9067 	 1.040 	 95.703
0.2313295 	 2.7125343 	 251.8567 	 1.041 	 95.662
0.2381776 	 2.8044523 	 263.1576 	 1.042 	 95.644
0.2448758 	 2.8979213 	 273.4380 	 1.043 	 95.646
0.2514204 	 2.9920597 	 282.4560 	 1.044 	 95.601
0.2578252 	 3.0890361 	 292.6381 	 1.046 	 95.619
0.2640878 	 3.1861404 	 304.1141 	 1.047 	 95.587
0.2702193 	 3.2856234 	 313.6784 	 1.048 	 95.582
0.2762231 	 3.3864315 	 324.4053 	 1.049 	 95.536
0.2821027 	 3.4893922 	 335.0740 	 1.050 	 95.566
0.2878536 	 3.5926140 	 342.3780 	 1.051 	 95.550
0.2934905 	 3.6983444 	 350.8120 	 1.052 	 95.513
0.2990163 	 3.8052709 	 360.9518 	 1.053 	 95.506
0.3044285 	 3.9137236 	 369.9186 	 1.053 	 95.527
0.3097292 	 4.0235101 	 380.2533 	 1.055 	 95.478
0.3149299 	 4.1356790 	 391.6571 	 1.056 	 95.488
0.3200300 	 4.2480338 	 399.6184 	 1.056 	 95.488
0.3250393 	 4.3621524 	 410.8940 	 1.059 	 95.448
0.3299522 	 4.4778305 	 421.8078 	 1.059 	 95.440
0.3347735 	 4.5950324 	 432.2913 	 1.059 	 95.427
0.3395052 	 4.7152843 	 442.9148 	 1.060 	 95.423
0.3441536 	 4.8344365 	 454.0376 	 1.061 	 95.411
0.3487156 	 4.9567861 	 469.9068 	 1.062 	 95.413
0.3531967 	 5.0795412 	 479.3220 	 1.063 	 95.389
0.3576006 	 5.2033011 	 490.8652 	 1.064 	 95.353
