N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001348 	 1.0005133 	 1.1025 	 1.000 	 10.125
0.0132567 	 1.1627098 	 12.2314 	 0.950 	 46.818
0.0260876 	 1.1528068 	 22.9390 	 1.004 	 78.913
0.0385188 	 1.1918739 	 33.5403 	 1.013 	 88.241
0.0505414 	 1.2397056 	 43.9582 	 1.016 	 92.021
0.0621849 	 1.2922311 	 54.8021 	 1.017 	 93.817
0.0734881 	 1.3483572 	 65.1323 	 1.018 	 94.758
0.0844422 	 1.4076240 	 76.2446 	 1.020 	 95.219
0.0950843 	 1.4695820 	 86.3689 	 1.021 	 95.495
0.1054200 	 1.5336834 	 96.5605 	 1.022 	 95.664
0.1154625 	 1.6001689 	 106.4949 	 1.024 	 95.740
0.1252219 	 1.6684400 	 116.6318 	 1.025 	 95.795
0.1347206 	 1.7386743 	 126.6613 	 1.026 	 95.811
0.1439599 	 1.8101580 	 137.6792 	 1.027 	 95.871
0.1529551 	 1.8841469 	 147.7497 	 1.028 	 95.860
0.1617072 	 1.9597141 	 157.8496 	 1.030 	 95.839
0.1702381 	 2.0370334 	 168.1570 	 1.031 	 95.826
0.1785480 	 2.1158785 	 180.3043 	 1.032 	 95.787
0.1866527 	 2.1963196 	 190.9785 	 1.034 	 95.769
0.1945527 	 2.2784118 	 200.1799 	 1.035 	 95.730
0.2022644 	 2.3620099 	 209.2963 	 1.036 	 95.755
0.2097889 	 2.4477412 	 221.7990 	 1.038 	 95.727
0.2171314 	 2.5341538 	 231.4899 	 1.039 	 95.704
0.2243113 	 2.6230009 	 241.0855 	 1.040 	 95.697
0.2313223 	 2.7125903 	 253.6704 	 1.041 	 95.695
0.2381659 	 2.8045281 	 264.1883 	 1.042 	 95.654
0.2448687 	 2.8971558 	 275.0489 	 1.043 	 95.633
0.2514088 	 2.9924532 	 286.1789 	 1.044 	 95.637
0.2578070 	 3.0882723 	 297.2444 	 1.045 	 95.606
0.2640716 	 3.1859029 	 308.0063 	 1.047 	 95.588
0.2701939 	 3.2856576 	 318.8316 	 1.048 	 95.591
0.2761934 	 3.3857229 	 332.8832 	 1.049 	 95.565
0.2820713 	 3.4892477 	 342.2774 	 1.050 	 95.592
0.2878235 	 3.5926907 	 351.7290 	 1.051 	 95.546
0.2934609 	 3.6978264 	 362.9208 	 1.052 	 95.540
0.2989842 	 3.8048907 	 371.8687 	 1.053 	 95.502
0.3044052 	 3.9126069 	 380.6473 	 1.054 	 95.487
0.3097086 	 4.0235617 	 389.1523 	 1.055 	 95.499
0.3149125 	 4.1345322 	 400.5158 	 1.056 	 95.472
0.3200125 	 4.2465502 	 410.6366 	 1.057 	 95.461
0.3250212 	 4.3622014 	 421.1896 	 1.058 	 95.483
0.3299358 	 4.4774214 	 434.7177 	 1.059 	 95.434
0.3347516 	 4.5947801 	 449.8039 	 1.059 	 95.432
0.3394856 	 4.7139914 	 461.2993 	 1.060 	 95.415
0.3441303 	 4.8337944 	 467.1480 	 1.061 	 95.411
0.3486944 	 4.9563224 	 480.9546 	 1.063 	 95.419
0.3531754 	 5.0785423 	 493.7695 	 1.064 	 95.372
0.3575769 	 5.2040721 	 505.6094 	 1.064 	 95.390
0.3619020 	 5.3297479 	 520.4087 	 1.065 	 95.347
0.3661524 	 5.4583664 	 532.5162 	 1.066 	 95.372
0.3703260 	 5.5870183 	 543.2959 	 1.067 	 95.366
0.3744361 	 5.7172469 	 552.4779 	 1.067 	 95.362
0.3784750 	 5.8481529 	 559.9185 	 1.068 	 95.308
0.3824470 	 5.9809278 	 567.8964 	 1.069 	 95.337
0.3863533 	 6.1165936 	 574.1637 	 1.069 	 95.316
0.3901942 	 6.2528491 	 588.7095 	 1.071 	 95.292
0.3939730 	 6.3932026 	 598.5495 	 1.071 	 95.317
0.3976920 	 6.5305879 	 609.6422 	 1.072 	 95.280
0.4013520 	 6.6696559 	 618.3357 	 1.072 	 95.278
0.4049538 	 6.8109218 	 628.3571 	 1.073 	 95.246
0.4084987 	 6.9541294 	 639.5025 	 1.074 	 95.247
0.4119890 	 7.0979752 	 649.0728 	 1.074 	 95.238
0.4154291 	 7.2454457 	 656.0232 	 1.074 	 95.249
0.4188148 	 7.3930220 	 667.1022 	 1.076 	 95.252
0.4221495 	 7.5413231 	 678.2885 	 1.076 	 95.240
0.4254354 	 7.6918629 	 681.8798 	 1.077 	 95.225
0.4286737 	 7.8427030 	 694.6801 	 1.078 	 95.231
0.4318625 	 7.9953614 	 710.5575 	 1.078 	 95.205
0.4350065 	 8.1480062 	 719.1797 	 1.078 	 95.207
0.4381055 	 8.3057820 	 728.8990 	 1.079 	 95.203
0.4411611 	 8.4616449 	 738.2934 	 1.080 	 95.185
0.4441731 	 8.6188340 	 747.6645 	 1.080 	 95.184
0.4471429 	 8.7803507 	 756.1279 	 1.080 	 95.175
0.4500690 	 8.9423325 	 772.1973 	 1.080 	 95.188
0.4529543 	 9.1042789 	 785.8695 	 1.081 	 95.171
0.4558030 	 9.2692053 	 792.5474 	 1.082 	 95.165
0.4586121 	 9.4322860 	 804.1455 	 1.082 	 95.141
0.4613815 	 9.5975660 	 816.2480 	 1.082 	 95.138
0.4641143 	 9.7654627 	 823.9471 	 1.081 	 95.117
0.4668126 	 9.9345510 	 835.2086 	 1.083 	 95.107
0.4694763 	 10.1056999 	 852.1957 	 1.083 	 95.115
0.4721048 	 10.2765087 	 861.9039 	 1.083 	 95.099
0.4746986 	 10.4512282 	 876.7061 	 1.084 	 95.129
0.4772587 	 10.6249989 	 886.8966 	 1.084 	 95.114
0.4797854 	 10.8002926 	 894.2900 	 1.084 	 95.098
0.4822793 	 10.9793506 	 909.6940 	 1.084 	 95.115
0.4847431 	 11.1559937 	 921.6142 	 1.084 	 95.080
0.4871756 	 11.3365180 	 929.6762 	 1.085 	 95.098
0.4895782 	 11.5193807 	 929.6566 	 1.086 	 95.097
0.4919508 	 11.7005467 	 942.0633 	 1.086 	 95.071
0.4942934 	 11.8834229 	 952.4018 	 1.086 	 95.070
0.4966080 	 12.0683583 	 959.8732 	 1.086 	 95.059
0.4988960 	 12.2550948 	 970.3030 	 1.086 	 95.051
0.5011546 	 12.4403527 	 984.7802 	 1.086 	 95.022
0.5033871 	 12.6304346 	 998.2700 	 1.087 	 95.019
0.5055957 	 12.8239109 	 1006.2246 	 1.086 	 95.048
0.5077753 	 13.0163341 	 1011.5837 	 1.086 	 95.033
0.5099320 	 13.2080354 	 1021.4786 	 1.087 	 94.996
0.5120615 	 13.4046924 	 1039.3070 	 1.087 	 95.013
0.5141670 	 13.6004728 	 1059.3035 	 1.088 	 95.006
0.5162486 	 13.7913088 	 1067.5957 	 1.086 	 94.991
0.5183053 	 13.9944134 	 1081.0394 	 1.087 	 94.992
0.5203397 	 14.1995611 	 1100.4377 	 1.088 	 95.007
0.5223497 	 14.3962914 	 1112.1083 	 1.087 	 94.991
0.5243386 	 14.5967973 	 1126.1953 	 1.086 	 94.979
0.5263051 	 14.8060111 	 1140.7959 	 1.087 	 94.965
0.5282497 	 15.0143966 	 1150.8740 	 1.088 	 94.980
0.5301715 	 15.2234495 	 1170.6868 	 1.087 	 94.996
0.5320720 	 15.4315942 	 1187.8365 	 1.086 	 94.969
0.5339513 	 15.6447866 	 1200.6875 	 1.086 	 94.991
0.5358126 	 15.8510703 	 1213.9144 	 1.086 	 94.956
0.5376527 	 16.0712835 	 1229.0605 	 1.086 	 94.968
0.5394738 	 16.2827551 	 1245.6414 	 1.085 	 94.964
0.5412744 	 16.4939024 	 1254.6433 	 1.085 	 94.944
0.5430576 	 16.7158589 	 1278.6428 	 1.084 	 94.942
0.5448211 	 16.9272333 	 1293.5924 	 1.084 	 94.922
0.5465661 	 17.1604666 	 1319.2976 	 1.085 	 94.940
0.5482913 	 17.3768784 	 1344.1006 	 1.085 	 94.912
0.5500003 	 17.5977755 	 1382.9268 	 1.086 	 94.891
0.5516905 	 17.8289931 	 1420.0495 	 1.085 	 94.909
0.5533626 	 18.0598173 	 1458.7486 	 1.085 	 94.909
0.5550176 	 18.2965866 	 1496.8186 	 1.085 	 94.929
0.5566556 	 18.5240354 	 1553.0275 	 1.084 	 94.899
0.5582783 	 18.7574602 	 1618.6141 	 1.082 	 94.873
0.5598827 	 18.9887374 	 1695.9970 	 1.083 	 94.873
0.5614696 	 19.2342602 	 1766.3728 	 1.083 	 94.882
0.5630408 	 19.4711110 	 1883.6705 	 1.083 	 94.869
0.5645963 	 19.7183244 	 2029.3287 	 1.082 	 94.886
0.5661352 	 19.9708092 	 2222.6387 	 1.081 	 94.907
0.5676591 	 20.2205159 	 2471.4509 	 1.079 	 94.917
0.5691650 	 20.4685753 	 2811.4443 	 1.079 	 94.837
0.5706556 	 20.7349044 	 3303.5622 	 1.078 	 94.872
0.5721309 	 20.9971368 	 3980.1927 	 1.078 	 94.887
0.5735912 	 21.2623236 	 4826.1021 	 1.078 	 94.892
0.5750340 	 21.5409096 	 5915.3340 	 1.078 	 94.880
0.5764622 	 21.8204947 	 7420.8780 	 1.076 	 94.922
0.5778746 	 22.1092483 	 9373.1829 	 1.076 	 94.947
0.5792708 	 22.3908321 	 11950.9490 	 1.075 	 94.911
0.5806521 	 22.6968440 	 15247.8711 	 1.075 	 94.989
0.5820170 	 23.0064011 	 19007.3415 	 1.075 	 94.961
0.5833659 	 23.3177491 	 23121.4143 	 1.075 	 94.949
0.5846991 	 23.6503491 	 28164.2080 	 1.077 	 95.001
0.5860161 	 23.9720333 	 33720.5475 	 1.077 	 95.001
0.5873157 	 24.3211871 	 40206.5471 	 1.077 	 95.005
0.5885993 	 24.6756766 	 46541.3381 	 1.079 	 94.998
0.5898664 	 25.0357203 	 54023.8209 	 1.080 	 95.011
0.5911159 	 25.4159684 	 60811.1009 	 1.081 	 95.048
0.5923486 	 25.8070760 	 68191.0105 	 1.083 	 95.064
0.5935641 	 26.2148869 	 74300.1547 	 1.084 	 95.034
0.5947631 	 26.6440642 	 79546.5799 	 1.086 	 95.074
0.5959445 	 27.0672507 	 84977.3073 	 1.088 	 95.081
0.5971097 	 27.5087264 	 90225.4102 	 1.091 	 95.062
0.5982571 	 27.9675832 	 93991.9114 	 1.093 	 95.106
0.5993862 	 28.4257700 	 98289.5964 	 1.094 	 95.070
0.6004993 	 28.9029871 	 102027.8575 	 1.096 	 95.065
0.6015944 	 29.3979106 	 105606.6106 	 1.099 	 95.078
0.6026722 	 29.8960305 	 108369.9753 	 1.100 	 95.080
0.6037329 	 30.4063162 	 112608.2914 	 1.102 	 95.112
0.6047770 	 30.9250003 	 115388.1898 	 1.104 	 95.073
0.6058057 	 31.4729798 	 119969.9159 	 1.105 	 95.084
0.6068178 	 32.0114572 	 124822.4132 	 1.107 	 95.064
0.6078130 	 32.5704438 	 131157.4432 	 1.106 	 95.078
0.6087926 	 33.1289371 	 137179.4673 	 1.106 	 95.049
0.6097555 	 33.7035126 	 145474.0992 	 1.105 	 95.045
0.6107049 	 34.2969962 	 154750.6164 	 1.105 	 95.053
0.6116381 	 34.8825526 	 167435.2830 	 1.102 	 95.064
0.6125564 	 35.4734085 	 181744.8587 	 1.100 	 95.066
0.6134597 	 36.0738241 	 200603.0562 	 1.097 	 95.099
0.6143497 	 36.6737805 	 224146.9555 	 1.093 	 95.085
