N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001346 	 1.0005137 	 1.1028 	 1.002 	 10.125
0.0132580 	 1.1626031 	 12.2024 	 0.951 	 46.808
0.0260804 	 1.1528860 	 22.5126 	 1.004 	 78.909
0.0384980 	 1.1917651 	 33.1113 	 1.013 	 88.222
0.0505050 	 1.2395512 	 43.5712 	 1.016 	 92.003
0.0621550 	 1.2921756 	 54.1108 	 1.017 	 93.826
0.0734543 	 1.3481841 	 64.3179 	 1.019 	 94.791
0.0844094 	 1.4074324 	 74.3917 	 1.020 	 95.252
0.0950538 	 1.4694438 	 85.5235 	 1.021 	 95.519
0.1053939 	 1.5336791 	 96.2750 	 1.022 	 95.665
0.1154442 	 1.6000131 	 107.8122 	 1.023 	 95.750
0.1252041 	 1.6683725 	 118.1440 	 1.024 	 95.796
0.1346949 	 1.7385026 	 128.7387 	 1.026 	 95.802
0.1439352 	 1.8098270 	 139.1855 	 1.027 	 95.868
0.1529294 	 1.8837599 	 149.0000 	 1.028 	 95.811
0.1616936 	 1.9600661 	 159.0997 	 1.030 	 95.870
0.1702282 	 2.0370476 	 169.6220 	 1.031 	 95.823
0.1785370 	 2.1156883 	 180.0501 	 1.033 	 95.781
0.1866440 	 2.1964921 	 191.1450 	 1.033 	 95.789
0.1945462 	 2.2783910 	 199.5985 	 1.035 	 95.748
0.2022475 	 2.3618865 	 209.6285 	 1.036 	 95.730
0.2097763 	 2.4469453 	 220.4057 	 1.037 	 95.714
0.2171232 	 2.5342973 	 230.8731 	 1.039 	 95.696
0.2242960 	 2.6223210 	 241.5337 	 1.040 	 95.689
0.2313047 	 2.7126085 	 253.9385 	 1.040 	 95.674
0.2381547 	 2.8040735 	 264.1758 	 1.042 	 95.676
0.2448451 	 2.8974677 	 275.1775 	 1.043 	 95.659
0.2513957 	 2.9925090 	 287.1153 	 1.044 	 95.630
0.2577995 	 3.0884416 	 297.2464 	 1.045 	 95.613
0.2640649 	 3.1861088 	 309.3202 	 1.046 	 95.609
0.2701918 	 3.2855323 	 318.0511 	 1.047 	 95.588
0.2761938 	 3.3863436 	 330.1440 	 1.048 	 95.579
0.2820649 	 3.4888470 	 338.8488 	 1.050 	 95.558
0.2878171 	 3.5920229 	 348.1806 	 1.051 	 95.530
0.2934588 	 3.6978111 	 358.2451 	 1.052 	 95.521
0.2989794 	 3.8040736 	 367.6123 	 1.053 	 95.494
0.3043941 	 3.9138247 	 377.8299 	 1.054 	 95.533
0.3097029 	 4.0230511 	 386.1090 	 1.054 	 95.484
0.3149059 	 4.1336622 	 395.0840 	 1.056 	 95.466
0.3200100 	 4.2475238 	 407.7410 	 1.057 	 95.479
0.3250200 	 4.3623281 	 417.2171 	 1.058 	 95.464
0.3299298 	 4.4776929 	 423.6542 	 1.059 	 95.441
0.3347539 	 4.5945755 	 435.7079 	 1.060 	 95.409
0.3394881 	 4.7141811 	 442.5582 	 1.061 	 95.420
0.3441351 	 4.8341961 	 454.4540 	 1.061 	 95.417
0.3487004 	 4.9557832 	 464.5430 	 1.062 	 95.398
0.3531803 	 5.0786311 	 474.5711 	 1.063 	 95.361
0.3575800 	 5.2038331 	 483.8164 	 1.064 	 95.378
0.3619065 	 5.3290660 	 493.3495 	 1.065 	 95.361
0.3661555 	 5.4575520 	 501.4440 	 1.066 	 95.354
0.3703357 	 5.5858905 	 509.2268 	 1.066 	 95.324
0.3744441 	 5.7173406 	 522.3880 	 1.067 	 95.340
0.3784831 	 5.8493597 	 531.7020 	 1.068 	 95.324
0.3824493 	 5.9826634 	 540.9294 	 1.069 	 95.328
0.3863548 	 6.1164209 	 545.6939 	 1.070 	 95.311
0.3901971 	 6.2534738 	 554.7022 	 1.070 	 95.320
0.3939751 	 6.3902530 	 566.1075 	 1.071 	 95.282
0.3976945 	 6.5308918 	 579.3785 	 1.072 	 95.304
0.4013559 	 6.6711689 	 592.5302 	 1.072 	 95.247
0.4049554 	 6.8112408 	 603.7021 	 1.072 	 95.272
0.4084988 	 6.9541984 	 612.6961 	 1.073 	 95.250
0.4119895 	 7.0982678 	 622.0422 	 1.074 	 95.244
0.4154301 	 7.2447046 	 625.8066 	 1.075 	 95.243
0.4188160 	 7.3916921 	 638.0417 	 1.076 	 95.229
0.4221480 	 7.5392067 	 648.7694 	 1.076 	 95.181
0.4254338 	 7.6926199 	 665.2895 	 1.077 	 95.215
0.4286688 	 7.8433798 	 673.2346 	 1.077 	 95.213
0.4318601 	 7.9955327 	 680.6871 	 1.078 	 95.198
0.4350042 	 8.1514740 	 689.8860 	 1.078 	 95.214
0.4381018 	 8.3049473 	 701.5825 	 1.079 	 95.179
0.4411548 	 8.4622474 	 713.5728 	 1.079 	 95.190
0.4441656 	 8.6198636 	 724.9865 	 1.080 	 95.183
0.4471316 	 8.7807639 	 736.8190 	 1.080 	 95.176
0.4500568 	 8.9391796 	 749.8203 	 1.081 	 95.175
0.4529416 	 9.1024830 	 766.7568 	 1.082 	 95.145
0.4557908 	 9.2677818 	 776.5227 	 1.082 	 95.150
0.4585999 	 9.4331217 	 783.6463 	 1.082 	 95.178
0.4613714 	 9.5982701 	 789.6111 	 1.082 	 95.156
0.4641059 	 9.7656396 	 800.5008 	 1.083 	 95.133
0.4668042 	 9.9336542 	 808.9195 	 1.083 	 95.125
0.4694687 	 10.1034984 	 818.4066 	 1.083 	 95.094
0.4720963 	 10.2782470 	 824.2409 	 1.084 	 95.121
0.4746910 	 10.4495983 	 838.6215 	 1.084 	 95.102
0.4772527 	 10.6225440 	 842.4126 	 1.083 	 95.099
0.4797789 	 10.7990136 	 854.6205 	 1.084 	 95.097
0.4822733 	 10.9780140 	 863.3414 	 1.085 	 95.103
0.4847363 	 11.1529694 	 875.0987 	 1.084 	 95.085
0.4871703 	 11.3371713 	 883.1684 	 1.085 	 95.099
0.4895739 	 11.5136043 	 888.8623 	 1.084 	 95.062
0.4919456 	 11.6999988 	 899.7831 	 1.084 	 95.068
0.4942917 	 11.8825142 	 909.9401 	 1.085 	 95.043
0.4966051 	 12.0665171 	 918.8427 	 1.084 	 95.072
0.4988922 	 12.2549692 	 928.8203 	 1.085 	 95.063
0.5011513 	 12.4440208 	 938.9765 	 1.085 	 95.033
0.5033832 	 12.6346457 	 948.7167 	 1.086 	 95.044
0.5055879 	 12.8242714 	 973.4346 	 1.085 	 95.038
0.5077680 	 13.0190595 	 986.9669 	 1.086 	 95.056
0.5099234 	 13.2105895 	 991.7026 	 1.086 	 95.045
0.5120536 	 13.4052331 	 999.3401 	 1.087 	 95.062
0.5141584 	 13.5994114 	 1010.6732 	 1.087 	 95.009
0.5162407 	 13.7970908 	 1023.7001 	 1.086 	 94.989
0.5182992 	 14.0010968 	 1027.5589 	 1.086 	 95.011
0.5203325 	 14.1982270 	 1040.8348 	 1.086 	 95.003
0.5223441 	 14.4014894 	 1057.5418 	 1.086 	 94.984
0.5243323 	 14.6012463 	 1066.7231 	 1.086 	 94.993
0.5262989 	 14.8059372 	 1084.5615 	 1.086 	 94.957
0.5282415 	 15.0169586 	 1106.0774 	 1.086 	 94.981
0.5301643 	 15.2223693 	 1120.2499 	 1.086 	 94.956
0.5320637 	 15.4314438 	 1136.2186 	 1.086 	 94.967
0.5339450 	 15.6457127 	 1144.9890 	 1.086 	 94.970
0.5358061 	 15.8561403 	 1153.7533 	 1.086 	 94.950
0.5376444 	 16.0727989 	 1173.4584 	 1.087 	 94.949
0.5394636 	 16.2918010 	 1190.7510 	 1.086 	 94.961
