N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001343 	 1.0005131 	 1.1027 	 1.009 	 10.125
0.0132467 	 1.1626807 	 12.2000 	 0.950 	 46.765
0.0260785 	 1.1527507 	 22.9492 	 1.005 	 78.897
0.0384962 	 1.1918136 	 33.4757 	 1.013 	 88.222
0.0505181 	 1.2395247 	 43.9921 	 1.016 	 92.033
0.0621685 	 1.2921779 	 54.8165 	 1.017 	 93.796
0.0734757 	 1.3483117 	 65.2992 	 1.019 	 94.766
0.0844336 	 1.4076584 	 75.3409 	 1.020 	 95.260
0.0950720 	 1.4694382 	 85.1741 	 1.021 	 95.498
0.1054045 	 1.5336840 	 95.6913 	 1.022 	 95.650
0.1154536 	 1.6000697 	 106.8581 	 1.023 	 95.730
0.1252164 	 1.6685099 	 117.7995 	 1.024 	 95.804
0.1347157 	 1.7386414 	 128.2638 	 1.026 	 95.802
0.1439576 	 1.8102745 	 138.5831 	 1.027 	 95.878
0.1529431 	 1.8841786 	 149.1866 	 1.028 	 95.848
0.1617058 	 1.9598787 	 160.2672 	 1.030 	 95.850
0.1702457 	 2.0370562 	 170.2551 	 1.031 	 95.801
0.1785527 	 2.1159751 	 180.0466 	 1.032 	 95.775
0.1866605 	 2.1964085 	 190.3512 	 1.033 	 95.769
0.1945621 	 2.2780302 	 199.3662 	 1.035 	 95.727
0.2022716 	 2.3619182 	 208.5420 	 1.036 	 95.696
0.2098011 	 2.4473241 	 218.1327 	 1.037 	 95.713
0.2171477 	 2.5345718 	 227.6260 	 1.039 	 95.674
0.2243245 	 2.6229610 	 236.8065 	 1.040 	 95.701
0.2313335 	 2.7132783 	 249.1765 	 1.041 	 95.688
0.2381874 	 2.8046167 	 258.1289 	 1.042 	 95.662
0.2448790 	 2.8975875 	 268.7784 	 1.043 	 95.641
0.2514196 	 2.9925324 	 279.7882 	 1.044 	 95.633
0.2578210 	 3.0882402 	 288.1186 	 1.046 	 95.583
0.2640891 	 3.1865868 	 298.2088 	 1.046 	 95.613
0.2702225 	 3.2854593 	 308.5609 	 1.047 	 95.557
0.2762245 	 3.3867040 	 316.5788 	 1.049 	 95.583
