N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001353 	 1.0005187 	 1.1025 	 1.015 	 10.126
0.0132573 	 1.1626179 	 12.1731 	 0.951 	 46.803
0.0260838 	 1.1527946 	 22.8604 	 1.004 	 78.938
0.0384973 	 1.1917613 	 33.4070 	 1.014 	 88.239
0.0505158 	 1.2395758 	 43.9584 	 1.016 	 92.046
0.0621653 	 1.2921473 	 54.7704 	 1.017 	 93.805
0.0734660 	 1.3482060 	 65.1478 	 1.019 	 94.780
0.0844205 	 1.4075557 	 75.7788 	 1.020 	 95.248
0.0950570 	 1.4694077 	 86.2194 	 1.021 	 95.508
0.1053978 	 1.5336737 	 96.4432 	 1.022 	 95.660
0.1154512 	 1.6000822 	 106.7036 	 1.023 	 95.751
0.1252190 	 1.6685408 	 116.9414 	 1.025 	 95.806
0.1347152 	 1.7388693 	 128.0469 	 1.026 	 95.832
0.1439577 	 1.8102567 	 137.9216 	 1.027 	 95.923
0.1529507 	 1.8841882 	 148.4497 	 1.029 	 95.857
0.1616990 	 1.9595935 	 158.7747 	 1.030 	 95.834
0.1702345 	 2.0371295 	 169.3821 	 1.031 	 95.814
0.1785505 	 2.1162353 	 178.5286 	 1.032 	 95.819
0.1866564 	 2.1964479 	 188.9180 	 1.034 	 95.778
0.1945560 	 2.2784701 	 200.8532 	 1.035 	 95.743
0.2022621 	 2.3622681 	 211.4571 	 1.036 	 95.752
0.2097868 	 2.4474788 	 222.0345 	 1.037 	 95.746
0.2171303 	 2.5343595 	 233.1556 	 1.038 	 95.736
0.2243131 	 2.6231171 	 242.3049 	 1.040 	 95.726
0.2313194 	 2.7126677 	 253.0331 	 1.041 	 95.656
0.2381647 	 2.8043431 	 264.2434 	 1.042 	 95.648
0.2448581 	 2.8972398 	 277.4748 	 1.043 	 95.623
0.2514001 	 2.9924633 	 288.3708 	 1.044 	 95.636
0.2578012 	 3.0882519 	 301.6924 	 1.045 	 95.608
0.2640640 	 3.1859986 	 313.9806 	 1.047 	 95.605
0.2701922 	 3.2846412 	 324.3294 	 1.047 	 95.561
0.2761939 	 3.3860544 	 335.2084 	 1.049 	 95.570
0.2820691 	 3.4885634 	 343.7739 	 1.049 	 95.543
0.2878209 	 3.5920654 	 354.5444 	 1.051 	 95.527
0.2934574 	 3.6979474 	 366.3328 	 1.051 	 95.543
0.2989824 	 3.8048137 	 375.7246 	 1.053 	 95.540
0.3043900 	 3.9124241 	 384.0389 	 1.054 	 95.498
0.3096975 	 4.0226571 	 393.1011 	 1.054 	 95.512
0.3149021 	 4.1344514 	 405.8009 	 1.056 	 95.483
0.3200071 	 4.2471262 	 417.4679 	 1.057 	 95.442
0.3250107 	 4.3622836 	 431.3127 	 1.058 	 95.485
0.3299253 	 4.4774077 	 445.1601 	 1.058 	 95.438
0.3347435 	 4.5942529 	 462.5511 	 1.060 	 95.440
0.3394759 	 4.7141817 	 475.4789 	 1.061 	 95.412
0.3441259 	 4.8339325 	 485.6780 	 1.061 	 95.388
0.3486843 	 4.9561792 	 495.6622 	 1.062 	 95.418
0.3531641 	 5.0789667 	 503.4546 	 1.063 	 95.377
0.3575660 	 5.2033518 	 513.3694 	 1.065 	 95.389
0.3618886 	 5.3295556 	 519.8063 	 1.065 	 95.381
0.3661413 	 5.4554293 	 529.3122 	 1.066 	 95.353
0.3703190 	 5.5853272 	 539.4011 	 1.067 	 95.333
0.3744269 	 5.7164433 	 548.4890 	 1.067 	 95.334
0.3784634 	 5.8502641 	 561.1488 	 1.068 	 95.351
0.3824340 	 5.9814399 	 577.0141 	 1.069 	 95.308
0.3863374 	 6.1150584 	 587.4258 	 1.070 	 95.275
0.3901767 	 6.2521218 	 598.4775 	 1.070 	 95.282
0.3939604 	 6.3900087 	 614.9936 	 1.071 	 95.277
0.3976798 	 6.5301686 	 624.3452 	 1.072 	 95.298
0.4013408 	 6.6685936 	 641.3187 	 1.072 	 95.292
0.4049448 	 6.8097820 	 652.8503 	 1.073 	 95.255
0.4084925 	 6.9536965 	 662.9223 	 1.074 	 95.254
0.4119841 	 7.0966004 	 666.5983 	 1.075 	 95.231
0.4154210 	 7.2434904 	 681.3516 	 1.075 	 95.229
0.4188124 	 7.3918252 	 695.0332 	 1.076 	 95.229
