N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001341 	 1.0005116 	 1.1027 	 1.002 	 10.125
0.0132605 	 1.1625674 	 12.2304 	 0.950 	 46.800
0.0260953 	 1.1528291 	 22.9935 	 1.004 	 78.901
0.0385194 	 1.1919139 	 33.5636 	 1.013 	 88.254
0.0505357 	 1.2396713 	 44.0849 	 1.016 	 92.027
0.0621905 	 1.2923279 	 54.5424 	 1.018 	 93.835
0.0734871 	 1.3483491 	 64.9978 	 1.019 	 94.759
0.0844549 	 1.4078823 	 75.3177 	 1.020 	 95.258
0.0950867 	 1.4697311 	 85.8297 	 1.021 	 95.545
0.1054293 	 1.5340902 	 96.4958 	 1.022 	 95.699
0.1154672 	 1.6003414 	 106.2652 	 1.024 	 95.774
0.1252216 	 1.6686656 	 116.4798 	 1.025 	 95.806
0.1347161 	 1.7387074 	 126.1567 	 1.026 	 95.820
0.1439615 	 1.8102759 	 136.7847 	 1.027 	 95.872
0.1529518 	 1.8840143 	 147.8580 	 1.028 	 95.834
0.1617142 	 1.9598888 	 159.0799 	 1.030 	 95.848
0.1702400 	 2.0370850 	 168.5961 	 1.031 	 95.815
0.1785514 	 2.1159795 	 178.7007 	 1.032 	 95.785
0.1866515 	 2.1965894 	 189.5074 	 1.034 	 95.788
0.1945566 	 2.2781933 	 199.7211 	 1.035 	 95.733
0.2022700 	 2.3618854 	 209.3062 	 1.036 	 95.702
0.2097878 	 2.4474509 	 219.6480 	 1.037 	 95.725
0.2171300 	 2.5341240 	 228.9634 	 1.039 	 95.702
0.2243059 	 2.6227183 	 239.8396 	 1.040 	 95.691
0.2313132 	 2.7130317 	 249.0200 	 1.041 	 95.676
0.2381623 	 2.8040050 	 260.5658 	 1.042 	 95.650
0.2448583 	 2.8974229 	 271.9204 	 1.043 	 95.643
0.2514028 	 2.9917611 	 283.5618 	 1.044 	 95.597
0.2578034 	 3.0881981 	 292.5953 	 1.045 	 95.627
0.2640649 	 3.1856868 	 302.9663 	 1.047 	 95.587
0.2701931 	 3.2849371 	 315.0013 	 1.047 	 95.586
0.2761942 	 3.3865513 	 325.2342 	 1.049 	 95.590
0.2820727 	 3.4885585 	 335.3805 	 1.049 	 95.557
0.2878267 	 3.5923646 	 344.0145 	 1.051 	 95.541
0.2934638 	 3.6979947 	 355.2763 	 1.052 	 95.536
0.2989864 	 3.8054393 	 365.8701 	 1.053 	 95.529
0.3044002 	 3.9134130 	 376.0188 	 1.054 	 95.497
0.3097048 	 4.0227585 	 386.3269 	 1.055 	 95.496
0.3149068 	 4.1346933 	 396.7531 	 1.056 	 95.505
0.3200084 	 4.2467561 	 410.7444 	 1.057 	 95.457
0.3250166 	 4.3616621 	 419.3903 	 1.058 	 95.456
0.3299287 	 4.4769484 	 429.0405 	 1.058 	 95.423
0.3347487 	 4.5949079 	 440.0397 	 1.059 	 95.427
0.3394814 	 4.7132339 	 448.9107 	 1.060 	 95.395
0.3441286 	 4.8339587 	 459.1356 	 1.061 	 95.405
0.3486895 	 4.9559412 	 470.5857 	 1.062 	 95.411
0.3531713 	 5.0796743 	 480.6777 	 1.063 	 95.416
0.3575714 	 5.2037974 	 488.7382 	 1.064 	 95.385
0.3618952 	 5.3305728 	 497.5745 	 1.065 	 95.385
0.3661456 	 5.4577170 	 504.4164 	 1.066 	 95.370
0.3703230 	 5.5858986 	 513.3634 	 1.066 	 95.344
0.3744295 	 5.7164499 	 525.9506 	 1.068 	 95.330
0.3784651 	 5.8483967 	 539.6758 	 1.068 	 95.318
0.3824366 	 5.9815255 	 551.1449 	 1.069 	 95.309
0.3863403 	 6.1153654 	 561.1327 	 1.069 	 95.284
0.3901808 	 6.2526898 	 573.5861 	 1.070 	 95.289
0.3939580 	 6.3915715 	 582.8790 	 1.070 	 95.304
0.3976759 	 6.5286758 	 592.4112 	 1.072 	 95.294
0.4013345 	 6.6691581 	 601.9853 	 1.073 	 95.269
0.4049388 	 6.8116441 	 610.8789 	 1.073 	 95.271
0.4084865 	 6.9520672 	 617.5755 	 1.072 	 95.252
0.4119773 	 7.0986779 	 628.2268 	 1.074 	 95.236
0.4154148 	 7.2445325 	 639.9784 	 1.075 	 95.255
0.4188010 	 7.3910827 	 653.3811 	 1.075 	 95.220
0.4221355 	 7.5409255 	 665.6742 	 1.076 	 95.221
0.4254227 	 7.6908256 	 675.9516 	 1.076 	 95.220
0.4286593 	 7.8424277 	 683.5333 	 1.077 	 95.232
0.4318520 	 7.9947398 	 694.8705 	 1.078 	 95.184
0.4349962 	 8.1492621 	 706.2812 	 1.077 	 95.201
0.4380947 	 8.3049126 	 716.8090 	 1.079 	 95.215
0.4411485 	 8.4619005 	 727.6512 	 1.079 	 95.180
0.4441584 	 8.6201983 	 734.3019 	 1.080 	 95.185
0.4471273 	 8.7785930 	 746.6566 	 1.080 	 95.156
0.4500536 	 8.9409108 	 758.2819 	 1.080 	 95.152
0.4529406 	 9.1039070 	 768.7045 	 1.081 	 95.163
0.4557879 	 9.2669288 	 778.4267 	 1.082 	 95.179
0.4585968 	 9.4295402 	 789.0099 	 1.082 	 95.151
0.4613668 	 9.5961687 	 802.5926 	 1.082 	 95.120
0.4640999 	 9.7647085 	 821.7668 	 1.083 	 95.128
0.4667993 	 9.9365225 	 833.2287 	 1.083 	 95.148
0.4694596 	 10.1033467 	 847.0942 	 1.083 	 95.108
0.4720864 	 10.2786773 	 852.8951 	 1.085 	 95.145
0.4746799 	 10.4495888 	 867.5819 	 1.084 	 95.121
