N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001350 	 1.0005133 	 1.1026 	 1.009 	 10.125
0.0132645 	 1.1624714 	 12.2032 	 0.950 	 46.844
0.0260851 	 1.1528501 	 22.8279 	 1.005 	 78.936
0.0384932 	 1.1918275 	 33.2443 	 1.013 	 88.246
0.0505088 	 1.2394962 	 44.0971 	 1.016 	 91.974
0.0621464 	 1.2920612 	 54.2528 	 1.017 	 93.797
0.0734429 	 1.3481314 	 64.6875 	 1.019 	 94.774
0.0844024 	 1.4074492 	 75.5352 	 1.020 	 95.255
0.0950437 	 1.4692885 	 86.4881 	 1.021 	 95.475
0.1053786 	 1.5337810 	 96.6817 	 1.022 	 95.674
0.1154166 	 1.5999649 	 107.8207 	 1.023 	 95.775
0.1251746 	 1.6682105 	 118.8909 	 1.024 	 95.813
0.1346745 	 1.7382417 	 129.5467 	 1.026 	 95.812
0.1439181 	 1.8097564 	 140.3080 	 1.027 	 95.882
0.1529053 	 1.8837252 	 151.2112 	 1.028 	 95.847
0.1616608 	 1.9594124 	 161.3957 	 1.030 	 95.857
0.1701897 	 2.0365613 	 171.0384 	 1.031 	 95.808
0.1785024 	 2.1155057 	 181.1599 	 1.032 	 95.813
0.1866086 	 2.1961205 	 190.9824 	 1.034 	 95.791
0.1945161 	 2.2777991 	 200.7323 	 1.035 	 95.752
0.2022310 	 2.3611151 	 211.6698 	 1.037 	 95.676
0.2097559 	 2.4470732 	 222.6946 	 1.038 	 95.709
0.2171042 	 2.5341201 	 233.9417 	 1.039 	 95.704
0.2242746 	 2.6218656 	 244.8667 	 1.040 	 95.675
0.2312897 	 2.7120328 	 253.8201 	 1.041 	 95.656
0.2381434 	 2.8037126 	 263.0946 	 1.042 	 95.654
0.2448370 	 2.8970105 	 273.6458 	 1.043 	 95.627
0.2513849 	 2.9921901 	 284.5560 	 1.044 	 95.618
0.2577830 	 3.0874382 	 295.0376 	 1.045 	 95.569
0.2640536 	 3.1857207 	 304.3282 	 1.046 	 95.597
0.2701832 	 3.2851715 	 313.4110 	 1.047 	 95.583
0.2761883 	 3.3863837 	 324.3283 	 1.049 	 95.591
0.2820640 	 3.4879798 	 336.1734 	 1.050 	 95.526
0.2878161 	 3.5920115 	 346.9192 	 1.051 	 95.514
0.2934554 	 3.6976848 	 358.7897 	 1.051 	 95.525
0.2989741 	 3.8041532 	 367.8696 	 1.053 	 95.497
0.3043872 	 3.9133216 	 379.6873 	 1.054 	 95.507
0.3096970 	 4.0227778 	 390.0577 	 1.055 	 95.478
0.3149025 	 4.1350632 	 400.5644 	 1.055 	 95.499
0.3200067 	 4.2469221 	 412.7309 	 1.057 	 95.465
0.3250151 	 4.3609879 	 422.6964 	 1.057 	 95.468
0.3299290 	 4.4771640 	 434.5528 	 1.058 	 95.440
0.3347479 	 4.5956088 	 446.9250 	 1.060 	 95.423
0.3394784 	 4.7142154 	 457.4607 	 1.061 	 95.450
0.3441254 	 4.8343219 	 469.0865 	 1.062 	 95.413
0.3486910 	 4.9555518 	 479.5369 	 1.062 	 95.392
0.3531754 	 5.0780510 	 488.8681 	 1.064 	 95.366
0.3575808 	 5.2025164 	 502.4265 	 1.064 	 95.365
0.3619077 	 5.3291013 	 511.6170 	 1.065 	 95.376
0.3661581 	 5.4569099 	 522.1193 	 1.066 	 95.366
0.3703359 	 5.5873303 	 531.4097 	 1.067 	 95.366
0.3744428 	 5.7183187 	 544.5506 	 1.068 	 95.350
0.3784791 	 5.8491163 	 556.6493 	 1.068 	 95.332
0.3824494 	 5.9821238 	 566.7953 	 1.070 	 95.326
0.3863506 	 6.1172452 	 577.5749 	 1.069 	 95.324
0.3901917 	 6.2530359 	 582.2518 	 1.070 	 95.301
0.3939729 	 6.3899112 	 588.1860 	 1.071 	 95.276
0.3976917 	 6.5288989 	 598.9770 	 1.072 	 95.270
0.4013514 	 6.6701152 	 611.2588 	 1.073 	 95.285
0.4049537 	 6.8123743 	 628.0679 	 1.074 	 95.277
0.4085001 	 6.9532125 	 634.1717 	 1.074 	 95.250
0.4119934 	 7.0994164 	 646.6007 	 1.074 	 95.236
0.4154307 	 7.2452422 	 661.8459 	 1.075 	 95.241
0.4188206 	 7.3935862 	 675.1106 	 1.075 	 95.268
0.4221584 	 7.5410548 	 685.0620 	 1.076 	 95.220
0.4254435 	 7.6909049 	 693.4585 	 1.077 	 95.227
0.4286805 	 7.8427144 	 700.0452 	 1.077 	 95.209
0.4318682 	 7.9949136 	 717.2110 	 1.078 	 95.193
0.4350111 	 8.1490089 	 732.2374 	 1.078 	 95.180
0.4381080 	 8.3067448 	 744.7911 	 1.079 	 95.212
0.4411611 	 8.4622634 	 753.2166 	 1.080 	 95.182
0.4441721 	 8.6187716 	 764.2955 	 1.079 	 95.169
