N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001355 	 1.0005174 	 1.1025 	 0.998 	 10.126
0.0132590 	 1.1625253 	 12.1969 	 0.951 	 46.825
0.0260786 	 1.1527760 	 22.9767 	 1.004 	 78.905
0.0384967 	 1.1917721 	 33.5649 	 1.013 	 88.269
0.0505102 	 1.2395512 	 44.3113 	 1.016 	 92.001
0.0621571 	 1.2921001 	 54.6625 	 1.017 	 93.786
0.0734624 	 1.3482586 	 64.7043 	 1.019 	 94.790
0.0844285 	 1.4076699 	 74.2969 	 1.020 	 95.255
0.0950724 	 1.4695184 	 84.2540 	 1.021 	 95.499
0.1054054 	 1.5337778 	 95.2570 	 1.022 	 95.690
0.1154517 	 1.6000746 	 105.4425 	 1.024 	 95.776
0.1252135 	 1.6683654 	 115.6509 	 1.025 	 95.798
0.1347000 	 1.7384389 	 125.9150 	 1.026 	 95.802
0.1439431 	 1.8099108 	 137.2606 	 1.028 	 95.864
0.1529360 	 1.8840577 	 147.6579 	 1.028 	 95.829
0.1616986 	 1.9595906 	 157.8389 	 1.030 	 95.822
0.1702269 	 2.0370265 	 168.2620 	 1.031 	 95.806
0.1785418 	 2.1160580 	 179.4744 	 1.032 	 95.811
0.1866485 	 2.1964119 	 189.8470 	 1.034 	 95.766
0.1945532 	 2.2784957 	 200.1113 	 1.034 	 95.752
0.2022707 	 2.3619927 	 210.8287 	 1.037 	 95.748
0.2097885 	 2.4474206 	 222.0483 	 1.037 	 95.732
0.2171342 	 2.5341747 	 230.7590 	 1.038 	 95.715
0.2243110 	 2.6227187 	 242.1341 	 1.040 	 95.677
0.2313130 	 2.7128400 	 251.0820 	 1.041 	 95.659
0.2381648 	 2.8043048 	 262.2420 	 1.042 	 95.654
0.2448613 	 2.8977125 	 272.7281 	 1.043 	 95.643
0.2514076 	 2.9916887 	 282.4096 	 1.045 	 95.613
0.2578110 	 3.0885044 	 293.7817 	 1.046 	 95.605
0.2640788 	 3.1857575 	 303.8745 	 1.046 	 95.576
0.2702070 	 3.2852444 	 313.8790 	 1.048 	 95.567
0.2762022 	 3.3857894 	 325.2457 	 1.049 	 95.562
0.2820810 	 3.4889618 	 335.0160 	 1.049 	 95.583
0.2878335 	 3.5926519 	 343.6866 	 1.051 	 95.533
0.2934691 	 3.6975134 	 352.3038 	 1.052 	 95.535
0.2989937 	 3.8046757 	 360.6851 	 1.052 	 95.523
0.3044024 	 3.9131443 	 369.7424 	 1.054 	 95.497
