N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001342 	 1.0005100 	 1.1027 	 1.008 	 10.124
0.0132522 	 1.1627532 	 12.2452 	 0.951 	 46.777
0.0260702 	 1.1527540 	 22.9395 	 1.005 	 78.912
0.0384991 	 1.1917695 	 33.2713 	 1.013 	 88.253
0.0505128 	 1.2395766 	 43.5046 	 1.016 	 92.037
0.0621675 	 1.2922046 	 53.8601 	 1.018 	 93.800
0.0734608 	 1.3482100 	 64.3836 	 1.019 	 94.771
0.0844279 	 1.4076962 	 74.9004 	 1.020 	 95.246
0.0950648 	 1.4696123 	 85.6848 	 1.021 	 95.512
0.1053908 	 1.5335793 	 96.2986 	 1.022 	 95.644
0.1154353 	 1.6000961 	 106.7240 	 1.023 	 95.755
0.1252015 	 1.6683057 	 118.0067 	 1.025 	 95.799
0.1346924 	 1.7383719 	 128.5808 	 1.026 	 95.785
0.1439287 	 1.8102122 	 137.9707 	 1.027 	 95.905
0.1529176 	 1.8838344 	 149.4778 	 1.029 	 95.870
0.1616714 	 1.9595751 	 160.3444 	 1.030 	 95.839
0.1702076 	 2.0367751 	 171.4514 	 1.031 	 95.830
0.1785233 	 2.1157585 	 181.6035 	 1.032 	 95.800
0.1866202 	 2.1962596 	 190.5488 	 1.033 	 95.798
0.1945295 	 2.2782435 	 200.9378 	 1.035 	 95.769
0.2022346 	 2.3617784 	 212.0674 	 1.036 	 95.734
0.2097638 	 2.4472785 	 223.8569 	 1.038 	 95.709
0.2171076 	 2.5340959 	 234.8430 	 1.038 	 95.712
0.2242803 	 2.6221127 	 245.9890 	 1.040 	 95.681
0.2312897 	 2.7124959 	 256.3189 	 1.041 	 95.661
0.2381364 	 2.8038694 	 267.7378 	 1.042 	 95.650
0.2448294 	 2.8973398 	 279.1905 	 1.043 	 95.663
0.2513782 	 2.9918565 	 288.2423 	 1.044 	 95.625
0.2577807 	 3.0877123 	 297.4812 	 1.045 	 95.614
0.2640458 	 3.1856548 	 303.7075 	 1.046 	 95.575
0.2701778 	 3.2856566 	 313.6269 	 1.047 	 95.608
0.2761773 	 3.3857059 	 321.9745 	 1.048 	 95.544
0.2820521 	 3.4883925 	 331.0507 	 1.049 	 95.560
0.2878057 	 3.5919687 	 341.4406 	 1.051 	 95.545
0.2934455 	 3.6981521 	 350.3108 	 1.052 	 95.539
0.2989700 	 3.8046310 	 362.5859 	 1.053 	 95.517
0.3043866 	 3.9126415 	 373.5501 	 1.054 	 95.512
0.3096949 	 4.0227210 	 381.9907 	 1.055 	 95.474
0.3148975 	 4.1339473 	 391.3205 	 1.055 	 95.482
0.3200008 	 4.2473323 	 399.0032 	 1.056 	 95.504
0.3250047 	 4.3617310 	 407.8697 	 1.058 	 95.445
0.3299202 	 4.4770187 	 417.2718 	 1.059 	 95.437
0.3347395 	 4.5943279 	 429.3237 	 1.059 	 95.430
0.3394702 	 4.7141035 	 438.1331 	 1.060 	 95.421
0.3441156 	 4.8337370 	 450.6975 	 1.062 	 95.436
0.3486793 	 4.9559729 	 462.8427 	 1.064 	 95.392
0.3531576 	 5.0784635 	 474.3281 	 1.063 	 95.385
0.3575587 	 5.2030439 	 482.1667 	 1.064 	 95.375
0.3618846 	 5.3290910 	 495.9203 	 1.066 	 95.370
0.3661363 	 5.4560508 	 507.6096 	 1.066 	 95.346
0.3703099 	 5.5848260 	 517.2028 	 1.067 	 95.316
0.3744203 	 5.7162130 	 532.0664 	 1.067 	 95.359
0.3784574 	 5.8470318 	 545.1251 	 1.068 	 95.315
0.3824296 	 5.9809268 	 558.4150 	 1.069 	 95.296
0.3863326 	 6.1146613 	 571.2416 	 1.070 	 95.279
0.3901733 	 6.2520865 	 585.8648 	 1.070 	 95.304
0.3939580 	 6.3890440 	 597.8716 	 1.071 	 95.283
0.3976777 	 6.5278302 	 611.4079 	 1.072 	 95.275
0.4013350 	 6.6694387 	 622.0324 	 1.072 	 95.280
0.4049368 	 6.8110905 	 634.9489 	 1.073 	 95.250
0.4084827 	 6.9543626 	 645.2080 	 1.074 	 95.276
0.4119731 	 7.0971734 	 658.5413 	 1.075 	 95.234
0.4154119 	 7.2425393 	 668.2570 	 1.075 	 95.222
0.4187981 	 7.3909265 	 678.8587 	 1.076 	 95.218
0.4221348 	 7.5400979 	 696.3531 	 1.077 	 95.218
0.4254219 	 7.6911842 	 703.0907 	 1.077 	 95.213
0.4286589 	 7.8407652 	 716.1317 	 1.077 	 95.212
0.4318501 	 7.9952507 	 725.7332 	 1.078 	 95.199
0.4349927 	 8.1481108 	 736.4098 	 1.080 	 95.191
0.4380914 	 8.3038466 	 755.1771 	 1.079 	 95.183
0.4411437 	 8.4608744 	 764.2510 	 1.080 	 95.179
0.4441548 	 8.6182974 	 782.5570 	 1.080 	 95.174
0.4471229 	 8.7779703 	 794.1736 	 1.080 	 95.161
0.4500518 	 8.9410910 	 799.6176 	 1.082 	 95.168
0.4529388 	 9.1034881 	 809.0860 	 1.081 	 95.148
0.4557866 	 9.2676746 	 818.8460 	 1.081 	 95.153
0.4585959 	 9.4304186 	 828.8046 	 1.081 	 95.130
0.4613686 	 9.5964475 	 827.8060 	 1.082 	 95.142
0.4641026 	 9.7648823 	 836.5477 	 1.082 	 95.122
0.4668002 	 9.9339225 	 848.9583 	 1.082 	 95.143
0.4694624 	 10.1032034 	 855.4926 	 1.082 	 95.137
0.4720882 	 10.2765676 	 857.9728 	 1.083 	 95.131
0.4746810 	 10.4462319 	 867.2319 	 1.083 	 95.117
0.4772414 	 10.6220527 	 880.1449 	 1.083 	 95.096
0.4797704 	 10.7969959 	 892.0057 	 1.084 	 95.081
0.4822659 	 10.9764015 	 897.8515 	 1.083 	 95.090
0.4847301 	 11.1563337 	 909.7401 	 1.084 	 95.089
0.4871626 	 11.3352335 	 916.3646 	 1.084 	 95.055
0.4895645 	 11.5149044 	 926.6866 	 1.084 	 95.076
0.4919368 	 11.6986248 	 932.9891 	 1.084 	 95.073
0.4942809 	 11.8817168 	 950.7947 	 1.085 	 95.028
0.4965965 	 12.0675456 	 962.9176 	 1.086 	 95.072
0.4988843 	 12.2537059 	 970.1385 	 1.086 	 95.060
0.5011428 	 12.4431074 	 981.9196 	 1.087 	 95.039
0.5033754 	 12.6337021 	 996.0820 	 1.086 	 95.045
0.5055796 	 12.8246209 	 1004.7421 	 1.087 	 95.044
0.5077594 	 13.0174070 	 1016.2658 	 1.087 	 95.055
0.5099136 	 13.2089955 	 1022.8306 	 1.087 	 95.020
0.5120454 	 13.4022484 	 1041.8111 	 1.087 	 95.027
0.5141513 	 13.6020816 	 1050.5619 	 1.087 	 95.034
0.5162328 	 13.8004244 	 1055.8019 	 1.087 	 95.027
0.5182901 	 14.0002033 	 1069.2590 	 1.088 	 95.012
0.5203243 	 14.1981231 	 1083.5807 	 1.087 	 94.973
0.5223349 	 14.4026691 	 1090.5859 	 1.088 	 95.013
0.5243243 	 14.6019724 	 1105.3665 	 1.088 	 94.948
