N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001349 	 1.0005134 	 1.1026 	 0.996 	 10.125
0.0132655 	 1.1626864 	 12.1984 	 0.951 	 46.797
0.0260980 	 1.1528448 	 22.9140 	 1.004 	 78.921
0.0385240 	 1.1919466 	 33.6498 	 1.014 	 88.272
0.0505397 	 1.2396352 	 44.2563 	 1.016 	 92.009
0.0621797 	 1.2922756 	 54.7941 	 1.018 	 93.831
0.0734753 	 1.3483868 	 65.0867 	 1.019 	 94.771
0.0844385 	 1.4076584 	 76.0658 	 1.020 	 95.253
0.0950841 	 1.4696712 	 86.3341 	 1.021 	 95.501
0.1054207 	 1.5337959 	 95.8110 	 1.022 	 95.668
0.1154559 	 1.6001446 	 106.1516 	 1.023 	 95.764
0.1252196 	 1.6683775 	 116.2443 	 1.025 	 95.770
0.1347153 	 1.7388441 	 126.2882 	 1.026 	 95.831
0.1439549 	 1.8103251 	 137.5464 	 1.028 	 95.901
0.1529465 	 1.8841331 	 147.9677 	 1.028 	 95.865
0.1617018 	 1.9599735 	 158.0212 	 1.030 	 95.842
0.1702284 	 2.0369272 	 168.0140 	 1.031 	 95.803
0.1785426 	 2.1159801 	 178.5871 	 1.033 	 95.791
0.1866464 	 2.1962625 	 190.2728 	 1.034 	 95.767
0.1945556 	 2.2788741 	 202.1243 	 1.035 	 95.772
0.2022659 	 2.3621348 	 212.0265 	 1.036 	 95.726
0.2097857 	 2.4473213 	 221.0187 	 1.037 	 95.718
0.2171324 	 2.5344837 	 231.2532 	 1.039 	 95.709
0.2243068 	 2.6224825 	 241.1375 	 1.040 	 95.682
0.2313163 	 2.7127537 	 251.6841 	 1.041 	 95.663
0.2381640 	 2.8046460 	 263.4961 	 1.042 	 95.672
0.2448566 	 2.8976052 	 273.2240 	 1.043 	 95.647
0.2514037 	 2.9921504 	 283.1831 	 1.044 	 95.627
0.2578051 	 3.0878465 	 294.2015 	 1.045 	 95.593
0.2640703 	 3.1858756 	 303.1622 	 1.047 	 95.582
0.2702008 	 3.2850407 	 313.9815 	 1.047 	 95.577
0.2762010 	 3.3864085 	 326.2242 	 1.048 	 95.562
0.2820840 	 3.4886867 	 338.2440 	 1.050 	 95.545
0.2878332 	 3.5931395 	 349.2764 	 1.051 	 95.553
0.2934680 	 3.6974466 	 358.9752 	 1.052 	 95.510
0.2989939 	 3.8052095 	 371.5697 	 1.053 	 95.543
