N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001354 	 1.0005145 	 1.1027 	 1.006 	 10.125
0.0132546 	 1.1626576 	 12.2142 	 0.950 	 46.789
0.0260767 	 1.1528019 	 22.7730 	 1.004 	 78.900
0.0384948 	 1.1918513 	 33.2276 	 1.013 	 88.231
0.0505006 	 1.2395599 	 43.8034 	 1.016 	 92.026
0.0621485 	 1.2920794 	 54.1033 	 1.017 	 93.808
0.0734419 	 1.3480851 	 63.9115 	 1.019 	 94.760
0.0844122 	 1.4075071 	 74.3145 	 1.020 	 95.227
0.0950610 	 1.4694786 	 84.5907 	 1.021 	 95.533
0.1054024 	 1.5338200 	 94.8620 	 1.022 	 95.658
0.1154468 	 1.6000974 	 106.0650 	 1.024 	 95.743
0.1252104 	 1.6683447 	 116.1219 	 1.024 	 95.791
0.1347037 	 1.7385659 	 126.1219 	 1.026 	 95.824
0.1439474 	 1.8099943 	 136.9190 	 1.027 	 95.883
0.1529427 	 1.8842468 	 147.7512 	 1.028 	 95.855
0.1616991 	 1.9597220 	 157.6274 	 1.030 	 95.829
0.1702307 	 2.0371937 	 168.3352 	 1.031 	 95.852
0.1785424 	 2.1159151 	 178.8504 	 1.032 	 95.788
0.1866450 	 2.1962169 	 187.6342 	 1.034 	 95.752
0.1945454 	 2.2784471 	 199.1370 	 1.035 	 95.776
0.2022636 	 2.3622298 	 210.5506 	 1.036 	 95.761
0.2097880 	 2.4476796 	 221.4583 	 1.038 	 95.735
0.2171336 	 2.5343422 	 229.5446 	 1.038 	 95.708
0.2243129 	 2.6225815 	 239.6624 	 1.039 	 95.679
0.2313186 	 2.7124997 	 249.3189 	 1.041 	 95.654
0.2381656 	 2.8043107 	 260.0118 	 1.042 	 95.666
0.2448541 	 2.8976558 	 270.1158 	 1.043 	 95.646
0.2513990 	 2.9920902 	 279.2240 	 1.044 	 95.604
0.2578006 	 3.0877649 	 289.7636 	 1.046 	 95.583
0.2640660 	 3.1859836 	 301.7305 	 1.046 	 95.615
0.2701940 	 3.2850896 	 311.4503 	 1.048 	 95.596
0.2761965 	 3.3862225 	 323.0823 	 1.049 	 95.563
0.2820712 	 3.4885144 	 332.6655 	 1.050 	 95.582
0.2878264 	 3.5921707 	 340.6411 	 1.051 	 95.528
0.2934630 	 3.6978886 	 353.3730 	 1.052 	 95.523
0.2989890 	 3.8053738 	 364.0742 	 1.053 	 95.551
0.3044007 	 3.9132160 	 372.3421 	 1.054 	 95.516
0.3097099 	 4.0235549 	 385.7054 	 1.055 	 95.506
0.3149122 	 4.1342737 	 396.6909 	 1.056 	 95.476
0.3200145 	 4.2476115 	 406.7335 	 1.057 	 95.465
0.3250210 	 4.3616258 	 418.9282 	 1.057 	 95.458
0.3299330 	 4.4775149 	 427.7308 	 1.059 	 95.426
0.3347507 	 4.5952491 	 437.4872 	 1.060 	 95.437
0.3394826 	 4.7137295 	 451.5125 	 1.061 	 95.427
0.3441316 	 4.8343164 	 461.7796 	 1.061 	 95.407
0.3486906 	 4.9558107 	 468.3394 	 1.062 	 95.412
0.3531753 	 5.0792580 	 480.2124 	 1.063 	 95.409
0.3575760 	 5.2026196 	 492.1559 	 1.064 	 95.364
0.3618994 	 5.3289355 	 505.3834 	 1.065 	 95.356
0.3661495 	 5.4577884 	 517.5482 	 1.066 	 95.371
0.3703290 	 5.5854308 	 525.6868 	 1.066 	 95.339
0.3744352 	 5.7157001 	 534.3231 	 1.068 	 95.340
0.3784725 	 5.8493027 	 547.0269 	 1.068 	 95.344
0.3824429 	 5.9811163 	 558.5403 	 1.069 	 95.305
