N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001339 	 1.0005079 	 1.1028 	 1.002 	 10.124
0.0132435 	 1.1627975 	 12.1865 	 0.950 	 46.747
0.0260693 	 1.1528284 	 22.8726 	 1.004 	 78.896
0.0384934 	 1.1917922 	 33.4957 	 1.013 	 88.237
0.0505088 	 1.2395416 	 44.2316 	 1.016 	 92.007
0.0621621 	 1.2921389 	 54.8775 	 1.018 	 93.779
0.0734621 	 1.3481231 	 65.2097 	 1.019 	 94.751
0.0844301 	 1.4075694 	 75.5212 	 1.020 	 95.218
0.0950741 	 1.4694406 	 85.6199 	 1.021 	 95.500
0.1054013 	 1.5337573 	 95.8205 	 1.022 	 95.686
0.1154463 	 1.6001329 	 106.0635 	 1.023 	 95.755
0.1252133 	 1.6684980 	 116.6183 	 1.025 	 95.806
0.1347089 	 1.7388491 	 127.2244 	 1.026 	 95.854
0.1439506 	 1.8099588 	 138.3555 	 1.027 	 95.866
0.1529377 	 1.8841506 	 148.3529 	 1.029 	 95.887
0.1616905 	 1.9597112 	 159.0772 	 1.030 	 95.841
0.1702246 	 2.0366892 	 169.1831 	 1.031 	 95.786
0.1785358 	 2.1156169 	 179.3064 	 1.032 	 95.768
0.1866388 	 2.1962610 	 189.0400 	 1.033 	 95.764
0.1945469 	 2.2783422 	 199.6114 	 1.035 	 95.753
0.2022622 	 2.3621558 	 210.1952 	 1.036 	 95.752
0.2097896 	 2.4473560 	 221.1667 	 1.038 	 95.713
0.2171440 	 2.5343223 	 230.3540 	 1.039 	 95.688
0.2243222 	 2.6226413 	 241.0904 	 1.039 	 95.679
0.2313344 	 2.7120481 	 251.8797 	 1.041 	 95.639
0.2381831 	 2.8047555 	 261.8286 	 1.042 	 95.654
0.2448776 	 2.8976265 	 272.6670 	 1.043 	 95.631
0.2514241 	 2.9929297 	 285.3926 	 1.045 	 95.634
0.2578268 	 3.0887702 	 296.0348 	 1.046 	 95.612
0.2640934 	 3.1867557 	 307.3776 	 1.046 	 95.601
0.2702228 	 3.2859666 	 316.1712 	 1.048 	 95.549
0.2762203 	 3.3863659 	 328.1978 	 1.049 	 95.542
0.2820917 	 3.4887266 	 339.6162 	 1.050 	 95.554
