N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.5055970 	 12.8218031 	 958.1685 	 1.088 	 95.014
0.5077782 	 13.0144248 	 965.2428 	 1.088 	 95.023
0.5099349 	 13.2099592 	 974.8965 	 1.087 	 95.024
0.5120633 	 13.4026471 	 987.0581 	 1.088 	 95.028
0.5141684 	 13.6005648 	 999.9043 	 1.088 	 95.014
0.5162493 	 13.7995939 	 1015.9682 	 1.088 	 95.011
0.5183061 	 13.9965085 	 1030.5776 	 1.089 	 95.016
0.5203379 	 14.1978540 	 1040.2966 	 1.088 	 95.017
0.5223486 	 14.3993281 	 1055.1732 	 1.088 	 95.008
0.5243378 	 14.6037529 	 1064.5141 	 1.088 	 94.999
0.5263029 	 14.8065841 	 1074.1681 	 1.088 	 94.965
0.5282467 	 15.0136846 	 1087.8331 	 1.088 	 94.984
0.5301715 	 15.2271305 	 1106.2175 	 1.088 	 95.002
0.5320743 	 15.4289363 	 1117.6799 	 1.089 	 94.964
0.5339547 	 15.6391923 	 1129.8335 	 1.089 	 94.975
0.5358163 	 15.8523839 	 1145.9216 	 1.089 	 94.991
0.5376575 	 16.0607381 	 1152.5412 	 1.087 	 94.948
0.5394792 	 16.2799731 	 1172.4431 	 1.087 	 94.969
0.5412809 	 16.4918370 	 1190.2671 	 1.087 	 94.927
0.5430641 	 16.7101988 	 1218.5908 	 1.087 	 94.935
0.5448285 	 16.9358525 	 1241.9605 	 1.087 	 94.928
0.5465732 	 17.1538483 	 1261.9000 	 1.087 	 94.958
0.5482994 	 17.3698091 	 1288.5997 	 1.086 	 94.914
0.5500074 	 17.5989364 	 1316.7234 	 1.086 	 94.911
0.5516968 	 17.8242510 	 1353.1724 	 1.086 	 94.920
0.5533708 	 18.0563130 	 1399.2508 	 1.086 	 94.914
0.5550269 	 18.2856108 	 1447.2483 	 1.086 	 94.904
0.5566668 	 18.5184863 	 1512.6331 	 1.085 	 94.921
0.5582889 	 18.7446425 	 1589.9069 	 1.084 	 94.872
0.5598937 	 18.9874652 	 1689.6719 	 1.084 	 94.903
0.5614819 	 19.2270818 	 1788.2567 	 1.083 	 94.909
0.5630538 	 19.4597581 	 1915.3661 	 1.083 	 94.867
0.5646109 	 19.7042862 	 2090.6899 	 1.083 	 94.868
0.5661527 	 19.9498424 	 2309.7356 	 1.083 	 94.866
0.5676772 	 20.2110499 	 2588.2975 	 1.082 	 94.879
0.5691863 	 20.4569731 	 3007.7007 	 1.082 	 94.851
0.5706807 	 20.7168751 	 3535.7193 	 1.082 	 94.876
0.5721568 	 20.9710161 	 4341.6265 	 1.082 	 94.858
0.5736183 	 21.2333018 	 5425.6025 	 1.082 	 94.863
0.5750655 	 21.4919689 	 6880.8389 	 1.082 	 94.845
0.5764972 	 21.7643994 	 9021.1607 	 1.082 	 94.877
0.5779146 	 22.0301760 	 12270.2607 	 1.082 	 94.847
0.5793159 	 22.3069730 	 17071.9441 	 1.082 	 94.846
0.5807035 	 22.5916222 	 23652.6701 	 1.082 	 94.864
0.5820757 	 22.8758064 	 33249.6480 	 1.084 	 94.865
0.5834331 	 23.1517205 	 46448.3625 	 1.085 	 94.844
0.5847762 	 23.4588167 	 63120.8785 	 1.086 	 94.862
0.5861039 	 23.7681512 	 85537.5007 	 1.088 	 94.835
0.5874165 	 24.0918045 	 111938.9376 	 1.090 	 94.883
0.5887136 	 24.4257899 	 144291.8407 	 1.092 	 94.863
0.5899947 	 24.7827161 	 178116.6158 	 1.095 	 94.867
0.5912586 	 25.1549076 	 215193.5078 	 1.097 	 94.861
0.5925055 	 25.5447929 	 253277.0407 	 1.099 	 94.863
0.5937344 	 25.9469701 	 290790.7867 	 1.103 	 94.846
0.5949454 	 26.3630780 	 328315.1952 	 1.106 	 94.809
0.5961388 	 26.8114255 	 362411.7132 	 1.110 	 94.836
0.5973143 	 27.2782891 	 394768.1361 	 1.113 	 94.833
0.5984716 	 27.7437651 	 423427.2200 	 1.115 	 94.799
0.5996099 	 28.2431735 	 450903.9569 	 1.118 	 94.794
0.6007300 	 28.7480194 	 475971.3997 	 1.121 	 94.774
0.6018308 	 29.2737809 	 495857.8381 	 1.124 	 94.769
0.6029140 	 29.8117745 	 514245.3201 	 1.127 	 94.746
0.6039777 	 30.3555735 	 534074.2243 	 1.129 	 94.721
0.6050234 	 30.9305214 	 545512.6739 	 1.132 	 94.698
0.6060515 	 31.5077106 	 556192.5499 	 1.134 	 94.682
0.6070612 	 32.0978283 	 564812.5757 	 1.136 	 94.625
0.6080526 	 32.7192233 	 565466.0527 	 1.138 	 94.651
0.6090275 	 33.3359398 	 565615.4831 	 1.140 	 94.609
0.6099847 	 33.9810108 	 565775.0783 	 1.141 	 94.593
0.6109253 	 34.6337956 	 562223.3793 	 1.143 	 94.569
0.6118492 	 35.2959609 	 553016.3033 	 1.144 	 94.560
0.6127565 	 35.9849936 	 545182.8396 	 1.145 	 94.539
0.6136474 	 36.6600348 	 537453.3417 	 1.145 	 94.494
0.6145219 	 37.3688753 	 523568.4215 	 1.146 	 94.491
0.6153810 	 38.0862634 	 506490.8222 	 1.145 	 94.486
0.6162245 	 38.8113293 	 492120.0991 	 1.145 	 94.441
0.6170527 	 39.5648243 	 474785.3311 	 1.146 	 94.431
0.6178657 	 40.3119469 	 455827.6407 	 1.145 	 94.381
0.6186643 	 41.0693739 	 432281.7469 	 1.144 	 94.353
0.6194484 	 41.8587199 	 406589.2640 	 1.141 	 94.374
0.6202188 	 42.6356416 	 383971.1406 	 1.139 	 94.295
0.6209753 	 43.4597069 	 362221.2948 	 1.136 	 94.330
0.6217188 	 44.2726217 	 341638.9096 	 1.134 	 94.300
0.6224495 	 45.1180673 	 326145.4301 	 1.133 	 94.289
0.6231662 	 45.9726774 	 310747.3817 	 1.131 	 94.256
0.6238714 	 46.8332453 	 296499.3758 	 1.128 	 94.231
0.6245629 	 47.7221055 	 284522.2507 	 1.126 	 94.236
0.6252427 	 48.6115591 	 274508.1209 	 1.124 	 94.204
0.6259104 	 49.5152163 	 264742.4269 	 1.122 	 94.195
0.6265663 	 50.4502864 	 256474.1993 	 1.120 	 94.188
0.6272104 	 51.3983668 	 247316.9304 	 1.119 	 94.212
0.6278437 	 52.3280157 	 240673.0948 	 1.117 	 94.162
0.6284662 	 53.2808792 	 233674.3269 	 1.115 	 94.189
0.6290773 	 54.2462495 	 227806.5122 	 1.116 	 94.166
0.6296783 	 55.2310552 	 222371.7991 	 1.115 	 94.178
