N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001344 	 1.0005117 	 1.1026 	 1.003 	 10.125
0.0132627 	 1.1624768 	 12.1985 	 0.950 	 46.825
0.0260871 	 1.1528746 	 22.8801 	 1.004 	 78.924
0.0385056 	 1.1918140 	 33.5378 	 1.013 	 88.269
0.0505204 	 1.2394431 	 43.9547 	 1.016 	 91.992
0.0621726 	 1.2921881 	 54.1592 	 1.017 	 93.793
0.0734703 	 1.3483514 	 64.6025 	 1.019 	 94.794
0.0844361 	 1.4077036 	 75.4024 	 1.020 	 95.265
0.0950769 	 1.4696400 	 85.1626 	 1.021 	 95.501
0.1054122 	 1.5338208 	 96.4683 	 1.022 	 95.668
0.1154595 	 1.6001745 	 105.2032 	 1.023 	 95.768
0.1252205 	 1.6684009 	 115.6139 	 1.024 	 95.791
0.1347145 	 1.7384913 	 125.9396 	 1.026 	 95.789
0.1439634 	 1.8103562 	 136.3975 	 1.027 	 95.889
0.1529551 	 1.8841836 	 147.2313 	 1.028 	 95.829
0.1617080 	 1.9599051 	 158.0925 	 1.030 	 95.845
0.1702409 	 2.0370437 	 168.5279 	 1.031 	 95.805
0.1785531 	 2.1160252 	 178.8400 	 1.033 	 95.797
0.1866563 	 2.1962976 	 189.3247 	 1.034 	 95.768
0.1945667 	 2.2786823 	 200.6520 	 1.035 	 95.763
0.2022810 	 2.3621689 	 212.4237 	 1.037 	 95.728
0.2098080 	 2.4477574 	 222.0377 	 1.037 	 95.722
0.2171458 	 2.5345751 	 232.7252 	 1.038 	 95.710
0.2243149 	 2.6228480 	 242.8327 	 1.040 	 95.678
0.2313264 	 2.7128278 	 252.2167 	 1.040 	 95.669
0.2381733 	 2.8042599 	 260.5678 	 1.042 	 95.647
0.2448670 	 2.8977561 	 270.9405 	 1.043 	 95.632
0.2514087 	 2.9920128 	 281.9014 	 1.044 	 95.632
0.2578082 	 3.0884604 	 293.1143 	 1.045 	 95.604
0.2640686 	 3.1860701 	 303.5902 	 1.046 	 95.615
0.2701981 	 3.2852059 	 316.0241 	 1.048 	 95.599
0.2761973 	 3.3864760 	 327.5902 	 1.048 	 95.568
0.2820753 	 3.4882200 	 337.8325 	 1.049 	 95.527
0.2878270 	 3.5926922 	 345.5142 	 1.051 	 95.532
0.2934690 	 3.6975277 	 357.0001 	 1.052 	 95.539
0.2989909 	 3.8060521 	 368.9033 	 1.053 	 95.561
0.3044010 	 3.9132746 	 378.4877 	 1.054 	 95.500
0.3097071 	 4.0230848 	 392.6764 	 1.055 	 95.480
0.3149073 	 4.1346343 	 401.5798 	 1.055 	 95.484
0.3200119 	 4.2470425 	 414.0051 	 1.057 	 95.463
0.3250198 	 4.3615607 	 426.5765 	 1.057 	 95.474
0.3299345 	 4.4773094 	 437.8357 	 1.058 	 95.421
0.3347560 	 4.5946459 	 451.3164 	 1.060 	 95.432
0.3394899 	 4.7138999 	 463.1116 	 1.061 	 95.427
0.3441374 	 4.8344364 	 471.8939 	 1.061 	 95.430
0.3487019 	 4.9569182 	 481.5259 	 1.062 	 95.449
0.3531822 	 5.0802804 	 492.4727 	 1.063 	 95.399
0.3575843 	 5.2040799 	 500.1868 	 1.065 	 95.395
