N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001343 	 1.0005119 	 1.1027 	 1.004 	 10.125
0.0132566 	 1.1626397 	 12.1699 	 0.951 	 46.789
0.0260841 	 1.1528524 	 22.8240 	 1.005 	 78.917
0.0385092 	 1.1918431 	 33.5199 	 1.013 	 88.273
0.0505284 	 1.2396568 	 44.0284 	 1.016 	 92.039
0.0621755 	 1.2923182 	 54.5503 	 1.018 	 93.833
0.0734802 	 1.3483595 	 65.3112 	 1.019 	 94.774
0.0844464 	 1.4077829 	 75.6213 	 1.020 	 95.252
0.0951000 	 1.4696790 	 85.2540 	 1.021 	 95.514
0.1054369 	 1.5339594 	 95.7231 	 1.022 	 95.659
0.1154805 	 1.6002864 	 106.2152 	 1.024 	 95.736
0.1252428 	 1.6685140 	 116.6687 	 1.025 	 95.766
0.1347381 	 1.7389797 	 126.9878 	 1.026 	 95.845
0.1439735 	 1.8103885 	 137.0292 	 1.027 	 95.885
0.1529663 	 1.8841606 	 147.0659 	 1.028 	 95.836
0.1617161 	 1.9599748 	 157.7441 	 1.030 	 95.842
0.1702466 	 2.0370960 	 166.9063 	 1.031 	 95.815
0.1785646 	 2.1157042 	 177.7854 	 1.032 	 95.782
0.1866636 	 2.1962451 	 187.8692 	 1.033 	 95.750
0.1945668 	 2.2785666 	 198.6056 	 1.035 	 95.754
0.2022746 	 2.3625798 	 208.5290 	 1.036 	 95.757
0.2098022 	 2.4476262 	 218.5160 	 1.037 	 95.714
0.2171445 	 2.5344343 	 229.2472 	 1.038 	 95.710
0.2243206 	 2.6230859 	 241.5088 	 1.040 	 95.701
0.2313301 	 2.7125070 	 253.1434 	 1.041 	 95.647
0.2381851 	 2.8042917 	 262.0819 	 1.042 	 95.636
0.2448834 	 2.8980845 	 273.1687 	 1.043 	 95.679
0.2514285 	 2.9925981 	 284.0765 	 1.044 	 95.610
0.2578298 	 3.0883715 	 294.6791 	 1.045 	 95.626
0.2640960 	 3.1865931 	 306.4047 	 1.047 	 95.586
0.2702226 	 3.2858870 	 320.6387 	 1.047 	 95.572
0.2762264 	 3.3866814 	 329.3907 	 1.049 	 95.584
0.2821010 	 3.4891349 	 342.9385 	 1.049 	 95.545
0.2878493 	 3.5923177 	 356.6716 	 1.051 	 95.546
0.2934871 	 3.6977222 	 369.9348 	 1.052 	 95.517
0.2990087 	 3.8044981 	 377.5129 	 1.053 	 95.494
0.3044273 	 3.9141703 	 387.1507 	 1.054 	 95.526
0.3097318 	 4.0232664 	 397.4727 	 1.055 	 95.492
0.3149340 	 4.1347972 	 409.4972 	 1.056 	 95.476
0.3200414 	 4.2475192 	 419.7352 	 1.057 	 95.451
0.3250465 	 4.3631512 	 430.2654 	 1.058 	 95.486
0.3299568 	 4.4770595 	 436.8694 	 1.058 	 95.450
0.3347753 	 4.5950988 	 444.1267 	 1.060 	 95.450
0.3395072 	 4.7145335 	 452.5269 	 1.061 	 95.402
0.3441535 	 4.8357160 	 464.2008 	 1.061 	 95.411
0.3487115 	 4.9565085 	 475.7954 	 1.062 	 95.421
0.3531946 	 5.0795740 	 486.9298 	 1.064 	 95.408
0.3575968 	 5.2028984 	 493.3845 	 1.064 	 95.338
0.3619196 	 5.3293677 	 506.3829 	 1.064 	 95.348
0.3661687 	 5.4573454 	 518.0918 	 1.066 	 95.351
0.3703471 	 5.5866765 	 528.8561 	 1.066 	 95.350
0.3744538 	 5.7171279 	 540.6780 	 1.067 	 95.343
0.3784936 	 5.8501082 	 554.2566 	 1.068 	 95.342
0.3824630 	 5.9821460 	 561.5475 	 1.069 	 95.338
0.3863658 	 6.1194748 	 573.0928 	 1.070 	 95.353
0.3902076 	 6.2541208 	 584.9792 	 1.070 	 95.289
0.3939860 	 6.3914467 	 597.4851 	 1.071 	 95.289
0.3977052 	 6.5301933 	 611.6571 	 1.072 	 95.292
0.4013653 	 6.6704592 	 626.9571 	 1.073 	 95.276
0.4049694 	 6.8122591 	 642.7010 	 1.073 	 95.279
0.4085175 	 6.9546638 	 655.0318 	 1.074 	 95.255
0.4120091 	 7.0984051 	 669.4394 	 1.074 	 95.230
0.4154465 	 7.2447830 	 678.3467 	 1.075 	 95.246
0.4188310 	 7.3941184 	 685.1988 	 1.076 	 95.241
0.4221646 	 7.5410719 	 696.9242 	 1.076 	 95.217
0.4254518 	 7.6922245 	 710.4233 	 1.077 	 95.225
0.4286896 	 7.8448092 	 721.1135 	 1.078 	 95.232
0.4318802 	 7.9973721 	 727.0652 	 1.077 	 95.224
0.4350251 	 8.1507685 	 741.6074 	 1.078 	 95.201
0.4381243 	 8.3060732 	 751.2852 	 1.078 	 95.190
0.4411794 	 8.4623337 	 766.3464 	 1.078 	 95.182
0.4441890 	 8.6212726 	 776.8675 	 1.080 	 95.196
0.4471581 	 8.7806224 	 796.2685 	 1.080 	 95.178
0.4500870 	 8.9418683 	 804.3081 	 1.081 	 95.201
0.4529751 	 9.1066224 	 817.0658 	 1.081 	 95.156
0.4558220 	 9.2685552 	 822.8808 	 1.082 	 95.134
0.4586292 	 9.4329388 	 824.0804 	 1.081 	 95.161
0.4614025 	 9.5987832 	 833.2252 	 1.082 	 95.131
0.4641350 	 9.7692701 	 848.0850 	 1.083 	 95.123
0.4668347 	 9.9347709 	 860.6625 	 1.083 	 95.103
0.4694968 	 10.1083183 	 865.4705 	 1.083 	 95.122
0.4721256 	 10.2777715 	 867.3760 	 1.084 	 95.093
0.4747164 	 10.4499355 	 877.9894 	 1.083 	 95.097
0.4772780 	 10.6234029 	 892.7260 	 1.084 	 95.096
0.4798061 	 10.8038824 	 905.9595 	 1.084 	 95.099
0.4823002 	 10.9813331 	 913.3567 	 1.084 	 95.097
0.4847637 	 11.1559950 	 925.5886 	 1.085 	 95.081
0.4871947 	 11.3357861 	 932.0330 	 1.085 	 95.047
0.4895982 	 11.5162258 	 944.7233 	 1.085 	 95.062
0.4919722 	 11.6984237 	 952.8656 	 1.084 	 95.060
0.4943159 	 11.8841956 	 961.0535 	 1.085 	 95.041
0.4966314 	 12.0731765 	 974.1332 	 1.084 	 95.044
0.4989191 	 12.2572853 	 994.6788 	 1.086 	 95.050
0.5011795 	 12.4442930 	 1005.2351 	 1.086 	 95.030
0.5034115 	 12.6340493 	 1023.4747 	 1.085 	 95.007
0.5056172 	 12.8218414 	 1036.5631 	 1.086 	 95.039
0.5077984 	 13.0209820 	 1042.1734 	 1.086 	 95.060
0.5099538 	 13.2126917 	 1050.1596 	 1.086 	 95.034
0.5120850 	 13.4096816 	 1050.2827 	 1.087 	 95.031
0.5141906 	 13.6024130 	 1065.7340 	 1.087 	 95.021
0.5162727 	 13.8030238 	 1073.0557 	 1.087 	 95.010
0.5183284 	 14.0011371 	 1082.9967 	 1.087 	 94.999
0.5203623 	 14.1996947 	 1089.3012 	 1.087 	 94.975
0.5223744 	 14.4021883 	 1098.6891 	 1.087 	 94.993
0.5243608 	 14.6078620 	 1117.3769 	 1.087 	 95.002
0.5263264 	 14.8059630 	 1121.5812 	 1.087 	 94.984
0.5282690 	 15.0163863 	 1135.6730 	 1.086 	 94.977
0.5301915 	 15.2244046 	 1150.4845 	 1.086 	 95.006
0.5320943 	 15.4328804 	 1172.5095 	 1.086 	 94.984
0.5339757 	 15.6424679 	 1191.3970 	 1.086 	 94.959
0.5358361 	 15.8548961 	 1200.7099 	 1.086 	 94.969
0.5376758 	 16.0696540 	 1214.1097 	 1.086 	 94.944
0.5394975 	 16.2831498 	 1228.4350 	 1.086 	 94.937
0.5412994 	 16.5023940 	 1248.5740 	 1.086 	 94.934
0.5430814 	 16.7199776 	 1264.7894 	 1.086 	 94.961
0.5448451 	 16.9366533 	 1281.0941 	 1.085 	 94.921
0.5465906 	 17.1602595 	 1310.2665 	 1.085 	 94.939
0.5483169 	 17.3812773 	 1331.5204 	 1.085 	 94.913
0.5500262 	 17.6008296 	 1373.5702 	 1.084 	 94.898
0.5517164 	 17.8329208 	 1410.2668 	 1.083 	 94.928
0.5533880 	 18.0611213 	 1454.8696 	 1.082 	 94.944
0.5550447 	 18.2817950 	 1510.3879 	 1.081 	 94.893
0.5566853 	 18.5161813 	 1585.9627 	 1.081 	 94.897
0.5583073 	 18.7444320 	 1676.0737 	 1.081 	 94.888
0.5599127 	 18.9809136 	 1791.2423 	 1.080 	 94.882
0.5615005 	 19.2206812 	 1916.5070 	 1.081 	 94.883
0.5630727 	 19.4579650 	 2080.5900 	 1.079 	 94.874
0.5646287 	 19.7011236 	 2301.0000 	 1.080 	 94.889
0.5661697 	 19.9542753 	 2576.5186 	 1.079 	 94.873
0.5676941 	 20.2048507 	 2890.9721 	 1.079 	 94.888
0.5692018 	 20.4656486 	 3311.8398 	 1.078 	 94.892
0.5706930 	 20.7174509 	 3837.6879 	 1.078 	 94.863
0.5721700 	 20.9851155 	 4446.8012 	 1.078 	 94.839
0.5736306 	 21.2633158 	 5206.0883 	 1.078 	 94.825
0.5750755 	 21.5414024 	 6084.2360 	 1.077 	 94.812
0.5765039 	 21.8292778 	 7088.4527 	 1.077 	 94.815
0.5779148 	 22.1212133 	 8213.3752 	 1.077 	 94.816
0.5793099 	 22.4262660 	 9467.9814 	 1.077 	 94.823
0.5806887 	 22.7453243 	 11079.7805 	 1.076 	 94.828
0.5820503 	 23.0561085 	 12703.0553 	 1.075 	 94.802
0.5833947 	 23.3825439 	 14379.4807 	 1.075 	 94.801
0.5847234 	 23.7295444 	 16375.2772 	 1.074 	 94.773
0.5860346 	 24.0763543 	 18261.3277 	 1.074 	 94.783
0.5873276 	 24.4456130 	 20197.9577 	 1.073 	 94.807
0.5886035 	 24.8162643 	 22342.6451 	 1.073 	 94.806
0.5898624 	 25.1934780 	 24505.2960 	 1.072 	 94.748
0.5911041 	 25.5877523 	 26350.6370 	 1.072 	 94.759
0.5923280 	 25.9994534 	 28538.2741 	 1.072 	 94.747
0.5935342 	 26.4105110 	 30845.1629 	 1.072 	 94.748
0.5947242 	 26.8449224 	 33150.4916 	 1.072 	 94.765
0.5958970 	 27.2816063 	 35317.2315 	 1.072 	 94.742
0.5970510 	 27.7342042 	 37628.5964 	 1.072 	 94.733
0.5981873 	 28.1846980 	 40046.9651 	 1.072 	 94.706
0.5993074 	 28.6593093 	 42474.7886 	 1.072 	 94.709
0.6004104 	 29.1404950 	 44971.8421 	 1.073 	 94.701
0.6014961 	 29.6313035 	 47413.8780 	 1.072 	 94.693
0.6025652 	 30.1337024 	 50342.1974 	 1.073 	 94.699
0.6036180 	 30.6330627 	 53303.5810 	 1.074 	 94.684
0.6046546 	 31.1479757 	 56358.9153 	 1.076 	 94.676
0.6056762 	 31.6575861 	 61039.3236 	 1.076 	 94.669
0.6066817 	 32.1750659 	 66067.2394 	 1.078 	 94.688
0.6076724 	 32.7089133 	 72354.9644 	 1.080 	 94.674
0.6086476 	 33.2492774 	 79024.7984 	 1.082 	 94.695
0.6096092 	 33.7910785 	 87661.3889 	 1.084 	 94.708
0.6105553 	 34.3414134 	 97112.8196 	 1.086 	 94.771
0.6114883 	 34.8852274 	 108714.3965 	 1.089 	 94.769
0.6124076 	 35.4467135 	 120913.5300 	 1.091 	 94.816
0.6133130 	 36.0011005 	 133660.1680 	 1.095 	 94.820
0.6142056 	 36.5754153 	 148499.2833 	 1.097 	 94.838
0.6150845 	 37.1466224 	 164007.7466 	 1.100 	 94.857
0.6159507 	 37.7425830 	 180803.5018 	 1.103 	 94.879
0.6168048 	 38.3244693 	 197262.9399 	 1.105 	 94.921
0.6176462 	 38.9426043 	 216369.2495 	 1.108 	 94.922
0.6184750 	 39.5527856 	 235201.2471 	 1.111 	 94.939
0.6192913 	 40.1862070 	 255533.4326 	 1.113 	 94.955
0.6200964 	 40.8389790 	 275937.4686 	 1.115 	 94.963
0.6208889 	 41.4846804 	 297332.2271 	 1.115 	 94.952
0.6216698 	 42.1750863 	 319544.8873 	 1.116 	 94.981
0.6224379 	 42.8607459 	 339972.3209 	 1.117 	 94.965
0.6231947 	 43.5793541 	 360627.9961 	 1.116 	 94.949
0.6239400 	 44.3099178 	 382025.2244 	 1.116 	 94.965
0.6246733 	 45.0659259 	 400719.9803 	 1.115 	 94.939
0.6253952 	 45.8335520 	 416835.4227 	 1.114 	 94.915
0.6261046 	 46.6374638 	 430268.0478 	 1.113 	 94.868
0.6268019 	 47.4677037 	 442039.3562 	 1.112 	 94.851
0.6274879 	 48.3330863 	 453067.9777 	 1.111 	 94.843
0.6281619 	 49.2120879 	 462843.7466 	 1.111 	 94.794
0.6288248 	 50.1303714 	 471281.4574 	 1.110 	 94.784
0.6294753 	 51.0680119 	 480107.8806 	 1.110 	 94.750
