N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001338 	 1.0005077 	 1.1027 	 1.015 	 10.124
0.0132646 	 1.1625432 	 12.2002 	 0.950 	 46.856
0.0260961 	 1.1528229 	 22.9628 	 1.004 	 78.940
0.0385172 	 1.1918595 	 33.5309 	 1.013 	 88.250
0.0505355 	 1.2396296 	 44.4122 	 1.016 	 92.038
0.0621900 	 1.2922977 	 54.8773 	 1.018 	 93.797
0.0734909 	 1.3484090 	 64.9939 	 1.019 	 94.766
0.0844609 	 1.4077483 	 75.6616 	 1.020 	 95.252
0.0951043 	 1.4698033 	 86.1863 	 1.021 	 95.524
0.1054436 	 1.5339375 	 97.0775 	 1.022 	 95.673
0.1154886 	 1.6003800 	 107.5059 	 1.023 	 95.769
0.1252511 	 1.6687629 	 118.4594 	 1.025 	 95.804
0.1347467 	 1.7389096 	 129.5968 	 1.026 	 95.800
0.1439799 	 1.8104170 	 139.5856 	 1.027 	 95.855
0.1529720 	 1.8842297 	 149.4769 	 1.029 	 95.860
0.1617203 	 1.9598695 	 159.5949 	 1.030 	 95.817
0.1702563 	 2.0372330 	 169.7845 	 1.031 	 95.797
0.1785717 	 2.1157596 	 179.9206 	 1.032 	 95.790
0.1866718 	 2.1964697 	 189.5416 	 1.034 	 95.768
0.1945728 	 2.2789660 	 197.8975 	 1.035 	 95.772
0.2022855 	 2.3622585 	 208.7556 	 1.036 	 95.722
0.2098082 	 2.4477498 	 218.1319 	 1.037 	 95.695
0.2171492 	 2.5349011 	 227.7755 	 1.038 	 95.719
0.2243254 	 2.6230647 	 236.7720 	 1.040 	 95.714
0.2313332 	 2.7125249 	 246.7274 	 1.040 	 95.653
0.2381828 	 2.8051964 	 256.3524 	 1.042 	 95.688
0.2448797 	 2.8976041 	 267.9793 	 1.043 	 95.654
0.2514257 	 2.9926940 	 278.1416 	 1.044 	 95.618
0.2578297 	 3.0883296 	 290.2111 	 1.045 	 95.591
0.2640922 	 3.1862482 	 301.1134 	 1.046 	 95.580
0.2702204 	 3.2858397 	 310.3242 	 1.047 	 95.578
0.2762168 	 3.3862540 	 322.0850 	 1.048 	 95.545
0.2820903 	 3.4884425 	 329.4914 	 1.050 	 95.560
0.2878458 	 3.5928400 	 339.1967 	 1.051 	 95.537
0.2934834 	 3.6983810 	 348.9503 	 1.052 	 95.526
0.2990049 	 3.8053689 	 360.1548 	 1.053 	 95.535
0.3044196 	 3.9133326 	 371.0200 	 1.054 	 95.491
0.3097264 	 4.0234058 	 384.2322 	 1.055 	 95.497
0.3149306 	 4.1349894 	 393.3880 	 1.056 	 95.458
0.3200341 	 4.2478848 	 403.0784 	 1.056 	 95.475
0.3250438 	 4.3614751 	 412.0562 	 1.058 	 95.429
0.3299572 	 4.4784009 	 421.4681 	 1.059 	 95.438
0.3347739 	 4.5958676 	 431.8293 	 1.060 	 95.446
0.3395065 	 4.7145039 	 442.3482 	 1.060 	 95.430
0.3441514 	 4.8347140 	 451.9214 	 1.062 	 95.400
0.3487132 	 4.9559997 	 460.5204 	 1.063 	 95.388
0.3531938 	 5.0785077 	 472.7136 	 1.063 	 95.399
0.3575945 	 5.2037900 	 485.9166 	 1.064 	 95.355
0.3619216 	 5.3290195 	 494.5455 	 1.065 	 95.355
0.3661691 	 5.4573678 	 509.3133 	 1.066 	 95.358
0.3703481 	 5.5875041 	 521.1808 	 1.067 	 95.362
0.3744511 	 5.7171849 	 532.4048 	 1.067 	 95.355
0.3784890 	 5.8500067 	 539.5839 	 1.067 	 95.336
0.3824594 	 5.9827259 	 555.0610 	 1.069 	 95.327
0.3863603 	 6.1165439 	 564.5120 	 1.070 	 95.315
0.3902025 	 6.2533950 	 572.1225 	 1.071 	 95.312
0.3939835 	 6.3912420 	 579.6199 	 1.071 	 95.302
0.3977006 	 6.5306391 	 587.7227 	 1.072 	 95.266
0.4013605 	 6.6702834 	 599.2744 	 1.073 	 95.280
0.4049583 	 6.8115975 	 608.2858 	 1.073 	 95.274
0.4085031 	 6.9558846 	 618.9302 	 1.074 	 95.273
0.4119929 	 7.1004713 	 634.8100 	 1.074 	 95.265
0.4154277 	 7.2430541 	 637.8064 	 1.075 	 95.227
0.4188137 	 7.3914074 	 646.4454 	 1.076 	 95.249
0.4221505 	 7.5413538 	 659.1314 	 1.077 	 95.256
0.4254370 	 7.6900521 	 664.7083 	 1.077 	 95.223
0.4286731 	 7.8432103 	 676.9271 	 1.077 	 95.228
0.4318623 	 7.9950850 	 691.8435 	 1.077 	 95.203
0.4350047 	 8.1464985 	 700.2597 	 1.077 	 95.178
0.4381019 	 8.3053864 	 714.8162 	 1.078 	 95.193
0.4411566 	 8.4627055 	 721.7045 	 1.079 	 95.172
0.4441687 	 8.6223771 	 734.5522 	 1.079 	 95.185
0.4471392 	 8.7808070 	 735.4237 	 1.080 	 95.188
0.4500656 	 8.9418464 	 743.2224 	 1.080 	 95.155
0.4529543 	 9.1052750 	 756.3713 	 1.081 	 95.159
0.4558057 	 9.2656754 	 771.9470 	 1.082 	 95.161
0.4586164 	 9.4321185 	 783.2666 	 1.082 	 95.133
0.4613863 	 9.5974094 	 787.7609 	 1.082 	 95.128
0.4641190 	 9.7619358 	 795.8268 	 1.083 	 95.110
0.4668173 	 9.9344743 	 799.8439 	 1.082 	 95.142
0.4694807 	 10.1049708 	 808.4478 	 1.083 	 95.134
0.4721071 	 10.2786854 	 816.2773 	 1.084 	 95.116
0.4746988 	 10.4509082 	 823.8197 	 1.084 	 95.123
0.4772589 	 10.6224164 	 832.1278 	 1.084 	 95.099
0.4797864 	 10.8013014 	 839.8147 	 1.086 	 95.116
0.4822818 	 10.9766201 	 845.5052 	 1.086 	 95.108
0.4847467 	 11.1555874 	 856.5484 	 1.085 	 95.086
0.4871799 	 11.3403690 	 869.4474 	 1.086 	 95.114
0.4895829 	 11.5185481 	 880.6947 	 1.085 	 95.081
0.4919547 	 11.6977758 	 885.1269 	 1.085 	 95.086
0.4942989 	 11.8849997 	 888.4801 	 1.085 	 95.064
0.4966143 	 12.0667137 	 895.5711 	 1.086 	 95.091
0.4989014 	 12.2541008 	 907.1122 	 1.086 	 95.043
0.5011615 	 12.4470041 	 920.2633 	 1.087 	 95.070
0.5033935 	 12.6339245 	 933.1026 	 1.086 	 95.061
0.5056000 	 12.8235988 	 938.3074 	 1.087 	 95.036
0.5077804 	 13.0163208 	 951.1967 	 1.087 	 95.035
0.5099357 	 13.2063210 	 959.4296 	 1.086 	 95.022
0.5120643 	 13.4016526 	 973.4112 	 1.087 	 95.032
0.5141693 	 13.6012054 	 981.6326 	 1.087 	 95.007
0.5162495 	 13.7978385 	 983.5859 	 1.086 	 95.007
0.5183070 	 13.9988734 	 992.6970 	 1.087 	 95.012
0.5203400 	 14.1976085 	 1005.9276 	 1.087 	 95.007
0.5223521 	 14.3945451 	 1009.6166 	 1.087 	 95.002
0.5243398 	 14.5980401 	 1022.6015 	 1.087 	 94.982
0.5263067 	 14.8058490 	 1036.5130 	 1.088 	 94.968
0.5282494 	 15.0168985 	 1043.5022 	 1.088 	 94.970
0.5301720 	 15.2286985 	 1053.6496 	 1.088 	 94.975
0.5320726 	 15.4343924 	 1070.8326 	 1.089 	 94.973
0.5339526 	 15.6432915 	 1086.3966 	 1.088 	 94.988
0.5358114 	 15.8532069 	 1096.0766 	 1.089 	 94.981
0.5376510 	 16.0649023 	 1105.8715 	 1.089 	 94.938
0.5394715 	 16.2776329 	 1127.1663 	 1.089 	 94.937
0.5412729 	 16.4982718 	 1145.9660 	 1.089 	 94.945
0.5430548 	 16.7165236 	 1172.1514 	 1.089 	 94.918
0.5448179 	 16.9343231 	 1185.4468 	 1.090 	 94.931
0.5465615 	 17.1582648 	 1203.8868 	 1.088 	 94.952
0.5482873 	 17.3791884 	 1230.2748 	 1.088 	 94.923
0.5499956 	 17.6016461 	 1252.1841 	 1.088 	 94.914
0.5516861 	 17.8273231 	 1285.8702 	 1.088 	 94.932
0.5533585 	 18.0596851 	 1327.1519 	 1.088 	 94.923
0.5550148 	 18.2813026 	 1370.0052 	 1.089 	 94.911
