# Phi	Z	lower	upper	k	lower	upper	var_S	like/unlike	lower	upper
0.000000000000000000e+00	1.000512697261663586e+00	1.000512527281948394e+00	1.000512868661258326e+00	7.260799711140078216e+03	7.258778291512539909e+03	7.262799676716120302e+03	0.000000000000000000e+00	1.006898580121703191e+00	1.006537525354969764e+00	1.007257606490870705e+00
6.306306306306305861e-04	1.006639209486147601e+00	1.006638676714932235e+00	1.006639720333663002e+00	6.988618947539375768e+03	6.986691545246983878e+03	6.990522093554780440e+03	6.404823469506852357e-11	1.004765698916839645e+00	1.004418431401256973e+00	1.005111261075936513e+00
1.261261261261261172e-03	1.014429828181294679e+00	1.014428868190844879e+00	1.014430762894454663e+00	6.642518849731701266e+03	6.640689338680968831e+03	6.644328106497944646e+03	9.878358646863736260e-11	1.002053500847344791e+00	1.001723614090328507e+00	1.002382348640675103e+00
1.891891891891891650e-03	1.022220445241869058e+00	1.022219007434558957e+00	1.022221841583585533e+00	6.296418786435661787e+03	6.294685021975984455e+03	6.298132547072214038e+03	1.605149671037635277e-10	9.993413070399338460e-01	9.990290015542938606e-01	9.996532707594616429e-01
2.522522522522522345e-03	1.030011060667798128e+00	1.030009139623200953e+00	1.030012912134071756e+00	5.950318757655928493e+03	5.948680724269019265e+03	5.951935940433858377e+03	2.492446313112504883e-10	9.966291174943519016e-01	9.963337629249440219e-01	9.969245308593654986e-01
3.153153153153153039e-03	1.037801674459013945e+00	1.037799280845352223e+00	1.037803986343759366e+00	5.604218763397158909e+03	5.602675774193367943e+03	5.605739963160841398e+03	3.649748363344579768e-10	9.939169322103533766e-01	9.936384005401653896e-01	9.941943949826296256e-01
3.783783783783783300e-03	1.045592286615455446e+00	1.045589389398253299e+00	1.045595087007873181e+00	5.258118803664049665e+03	5.256666810413284111e+03	5.259541020187526556e+03	5.077078419964706065e-10	9.912047511876888040e-01	9.909430940463233028e-01	9.914649128441533898e-01
4.414414414414414428e-03	1.053382897137046914e+00	1.053379501097043258e+00	1.053386157694980785e+00	4.912018878461254644e+03	4.910660950095454609e+03	4.913345337692054272e+03	6.774459106597649967e-10	9.884925744260999458e-01	9.882484859580658032e-01	9.887354519717218571e-01
5.045045045045044689e-03	1.061173506023725288e+00	1.061169628053259428e+00	1.061177246775064198e+00	4.565918987793420456e+03	4.564655921099685656e+03	4.567151919972831820e+03	8.741913073223268162e-10	9.857804019253442185e-01	9.855535484481328101e-01	9.860064407405152442e-01
5.675675675675674950e-03	1.068964113275421290e+00	1.068959730463888480e+00	1.068968324802435532e+00	4.219819131665240093e+03	4.218654322686976229e+03	4.220959461272808767e+03	1.097946299412579526e-09	9.830682336851651604e-01	9.828584768965503704e-01	9.832771393801340576e-01
6.306306306306306078e-03	1.076754718892066975e+00	1.076749830551837039e+00	1.076759418395233814e+00	3.873719310081364711e+03	3.872653353551200780e+03	3.874764015903781001e+03	1.348713157064650338e-09	9.803560697053145256e-01	9.801638442972454568e-01	9.805479794365506985e-01
